basin_id,lit_fra_Alluvium,lit_fra_Carbonate rocks,lit_fra_Granitoids,lit_fra_Impermeable,lit_fra_Inland water,lit_fra_Limestones,"lit_fra_Limestones, sandstones and gravels","lit_fra_Limestones, sandstones and marls",lit_fra_Magmatic rocks,lit_fra_Massif,lit_fra_Molasses and clays,lit_fra_Plutonic rocks,"lit_fra_Sand, gravel and pebbles",lit_fra_Sands and clays,"lit_fra_Schists, gneisses, granites",lit_fra_Sedimentary rocks,lit_fra_Sediments mesosoics,lit_fra_Shales,lit_dom,tot_area
ES000333,0.0,0.0,0.0,0.0,0.218,6.0,0.0,0.0,0.214,0.092,0.0,35.509,0.0,0.0,0.0,0.0,0.0,57.967,Shales,99.99
ES000453,0.0,0.0,0.0,0.0,0.0,2.025,0.0,0.0,0.662,0.025,0.0,48.304,0.0,0.0,0.0,0.0,0.0,48.985,Shales,99.765
ES000507,0.0,0.0,0.0,0.0,0.0,2.015,0.0,0.0,0.658,0.025,0.0,48.065,0.0,0.0,0.0,0.0,0.0,49.236,Shales,99.766
FR001495,0.0,0.0,0.0,0.0,0.174,4.797,0.0,0.0,0.171,0.623,0.0,30.61,0.0,0.0,0.0,0.0,0.0,63.624,Shales,100.544
FR001496,0.0,0.0,0.0,0.0,0.176,4.853,0.0,0.0,0.173,0.166,0.0,30.966,0.0,0.0,0.0,0.0,0.0,63.666,Shales,100.083
FR001497,0.0,0.0,0.0,0.0,0.134,5.985,0.0,0.0,0.132,10.613,0.0,23.617,0.0,0.0,0.0,0.0,0.0,59.519,Shales,112.142
FR001498,0.0,0.0,0.0,0.0,0.142,3.938,0.0,0.0,0.14,9.657,0.0,24.99,0.0,0.0,0.0,0.0,0.0,61.133,Shales,110.634
FR001499,0.0,0.0,0.0,0.0,0.134,5.985,0.0,0.0,0.132,10.613,0.0,23.617,0.0,0.0,0.0,0.0,0.0,59.519,Shales,112.142
FR001500,0.0,0.0,0.0,0.0,0.134,6.008,0.0,0.0,0.132,10.61,0.0,23.611,0.0,0.0,0.0,0.0,0.0,59.504,Shales,112.139
FR001501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.478,0.0,0.445,0.0,0.0,0.0,0.0,0.0,39.077,Massif,163.482
FR001502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.352,Massif,104.55
FR001503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.264,Massif,164.211
FR001504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.488,Massif,179.041
FR001505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.325,Massif,193.517
FR001506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.584,Massif,165.092
FR001507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.761,Massif,135.68
FR001508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.525,Massif,120.054
FR001509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.79,Massif,119.779
FR001510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.366,Massif,129.836
FR001511,0.0,0.0,0.0,0.0,0.0,4.055,0.0,0.0,0.0,68.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.554,Massif,137.766
FR001512,0.0,0.0,0.0,0.0,0.0,1.714,0.0,0.0,0.0,69.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.473,Massif,139.524
FR001513,0.0,0.0,0.0,0.0,0.0,3.054,0.0,0.0,0.0,68.862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.084,Massif,138.775
FR001514,0.0,0.0,0.0,0.0,0.0,1.649,0.0,0.0,0.0,69.859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.492,Massif,139.56
FR001515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.875,Massif,142.294
FR001516,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Limestones,100.0
FR001517,3.154,0.0,0.0,3.419,0.034,12.39,0.0,0.0,0.033,41.751,0.0,6.058,0.0,0.0,0.0,0.0,0.0,33.161,Massif,126.145
FR001518,3.172,0.0,0.0,3.48,0.034,12.38,0.0,0.0,0.033,41.716,0.0,6.053,0.0,0.0,0.0,0.0,0.0,33.133,Massif,126.117
FR001519,3.172,0.0,0.0,3.48,0.034,12.38,0.0,0.0,0.033,41.716,0.0,6.053,0.0,0.0,0.0,0.0,0.0,33.133,Massif,126.117
FR001520,3.169,0.0,0.0,3.48,0.034,12.38,0.0,0.0,0.033,41.717,0.0,6.053,0.0,0.0,0.0,0.0,0.0,33.134,Massif,126.118
FR001521,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Impermeable,100.0
FR001522,0.0,0.0,0.0,3.929,0.0,95.953,0.0,0.0,0.0,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Limestones,100.0
FR001523,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Limestones,100.0
FR001524,3.977,0.0,0.0,6.023,0.03,17.867,0.0,0.0,0.029,37.524,0.0,5.266,0.0,0.0,0.0,0.0,0.0,29.283,Massif,122.66
FR001525,4.041,0.0,0.0,6.015,0.03,17.913,0.0,0.0,0.029,37.471,0.0,5.259,0.0,0.0,0.0,0.0,0.0,29.242,Massif,122.621
FR001526,0.0,0.0,0.0,34.802,0.0,65.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Limestones,100.0
FR001527,3.931,0.0,0.0,6.03,0.03,17.831,0.0,0.0,0.029,37.563,0.0,5.272,0.0,0.0,0.0,0.0,0.0,29.314,Massif,122.689
FR001528,3.96,0.0,0.0,6.025,0.03,17.861,0.0,0.0,0.029,37.536,0.0,5.268,0.0,0.0,0.0,0.0,0.0,29.292,Massif,122.668
FR001529,3.97,0.0,0.0,6.025,0.03,17.859,0.0,0.0,0.029,37.532,0.0,5.268,0.0,0.0,0.0,0.0,0.0,29.289,Massif,122.665
FR001530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.128,Shales,199.482
FR001531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.103,Shales,199.587
FR001532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.072,Shales,199.714
