basin_id,lit_fra_Alluvium,lit_fra_Basement,lit_fra_Chalk,lit_fra_Clastic deposits,lit_fra_Clastics with flint,lit_fra_Clayey and fractured limestones,"lit_fra_Dolomites, sandstones, and marls","lit_fra_Faluns, sands, and clayey-sandy",lit_fra_Fissured clayey limestones,lit_fra_Horsts,lit_fra_Infra-gypsiferous marls,lit_fra_Limestones,lit_fra_Limestones and dolomites,"lit_fra_Limestones, marls and sands","lit_fra_Limestones, sandstones, clayey limestones and clays",lit_fra_Marls,lit_fra_Massif basement,lit_fra_Outcropping limestones,lit_fra_Post-secondary weathered materials,lit_fra_Sands,lit_fra_Sands and clays,lit_fra_Sandstones and dolomites,lit_dom,tot_area
FR001178,0.0,0.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.357,0.0,0.0,0.0,0.0,0.0,Massif basement,99.998
FR001179,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36,0.0,0.0,0.0,0.0,0.0,Massif basement,99.998
FR001180,0.0,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.809,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001183,0.0,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.893,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001184,0.0,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.891,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001190,0.0,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.946,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001191,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.947,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001193,0.0,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.811,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001196,0.0,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.906,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001198,0.0,0.243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.757,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001199,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.911,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001200,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.911,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001202,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.929,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001203,0.0,0.103,0.0,0.0,0.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.336,98.706,0.0,0.005,0.0,0.0,0.001,Massif basement,100.0
FR001204,0.0,0.0,0.0,0.0,6.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.697,0.0,0.0,17.432,74.84,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001205,0.0,0.092,0.0,0.0,2.333,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.496,0.873,0.0,2.922,93.246,0.0,0.005,0.0,0.0,0.001,Massif basement,100.0
FR001206,0.0,0.0,0.0,0.0,38.222,45.407,0.0,0.0,0.0,0.0,0.0,7.162,0.0,9.042,0.0,0.0,0.0,0.0,0.166,0.0,0.0,0.0,Clayey and fractured limestones,100.0
FR001207,0.0,0.0,0.0,0.0,41.94,40.836,0.0,0.0,0.0,0.0,0.0,6.487,0.0,9.767,0.0,0.82,0.0,0.0,0.149,0.0,0.0,0.0,Clastics with flint,100.0
FR001208,0.0,0.0,0.0,0.0,35.647,53.906,0.0,0.0,5.205,0.0,0.0,1.094,0.0,3.778,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,Clayey and fractured limestones,100.0
FR001209,0.0,0.0,0.0,0.0,62.597,33.854,0.0,0.0,0.0,0.0,0.0,1.745,0.0,1.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clastics with flint,100.0
FR001210,0.0,0.0,0.0,0.0,55.664,21.431,0.0,0.0,0.514,0.003,0.0,4.488,2.345,10.345,0.0,2.001,2.168,0.0,1.033,0.0,0.0,0.007,Clastics with flint,100.0
FR001211,0.0,0.0,0.0,0.0,34.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.01,0.0,0.0,10.386,40.603,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001212,0.0,0.0,0.0,0.0,56.443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75,1.725,0.0,10.633,21.448,0.0,0.0,0.0,0.0,0.0,Clastics with flint,100.0
FR001213,0.0,0.0,0.0,0.0,12.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.588,0.0,0.0,0.0,58.808,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001214,0.0,0.0,0.0,0.0,48.046,0.0,0.0,0.0,0.0,0.055,0.0,13.226,2.223,29.909,0.0,3.782,2.759,0.0,0.0,0.0,0.0,0.0,Clastics with flint,100.0
FR001215,0.0,0.0,0.0,0.0,77.354,0.0,0.0,0.0,0.0,0.0,0.0,2.642,0.0,20.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clastics with flint,100.0
FR001216,0.0,0.0,0.0,0.0,56.888,9.74,0.0,0.0,0.234,0.028,0.0,4.828,2.893,14.274,0.0,6.031,4.611,0.0,0.47,0.0,0.0,0.003,Clastics with flint,100.0
FR001217,0.0,0.0,0.0,0.0,56.875,9.738,0.0,0.0,0.234,0.028,0.0,4.827,2.892,14.295,0.0,6.029,4.61,0.0,0.47,0.0,0.0,0.003,Clastics with flint,100.0
FR001218,0.0,0.0,0.0,0.0,74.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,15.353,0.0,6.442,3.426,0.0,0.0,0.0,0.0,0.0,Clastics with flint,100.0
FR001219,0.0,0.0,0.0,0.0,70.523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,19.966,0.0,6.417,3.078,0.0,0.0,0.0,0.0,0.0,Clastics with flint,100.0
FR001220,0.0,0.0,0.0,0.0,69.619,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.092,9.372,0.0,16.784,1.594,0.0,0.0,0.0,0.0,0.0,Clastics with flint,100.0
FR001221,0.0,0.0,0.0,0.0,69.619,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.092,9.372,0.0,16.784,1.594,0.0,0.0,0.0,0.0,0.0,Clastics with flint,100.0
FR001222,0.0,0.0,0.0,0.0,60.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553,3.713,0.0,22.731,12.724,0.0,0.0,0.0,0.0,0.0,Clastics with flint,100.0
FR001223,0.0,0.0,0.0,0.0,56.298,3.832,0.0,0.0,0.0,0.0,0.0,0.0,0.191,11.206,0.0,24.184,4.286,0.0,0.0,0.004,0.0,0.0,Clastics with flint,100.0
FR001224,0.0,0.0,4.02,0.0,0.942,72.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.733,0.0,0.0,0.0,12.512,0.0,0.0,Clayey and fractured limestones,100.0
