basin_id,lit_fra_Alluvium,"lit_fra_Faluns, sands, and clayey-sandy",lit_fra_Holocene deposits,lit_fra_Limestones,lit_fra_Massif basement,lit_fra_Sands,lit_fra_Sandy clays,lit_dom,tot_area
FR000791,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Massif basement,100.0
FR000792,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Massif basement,100.0
FR000793,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Massif basement,100.0
FR000794,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Massif basement,100.0
FR000795,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Massif basement,100.0
FR000796,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Massif basement,100.0
FR000797,0.0,0.0,0.0,0.0,99.811,0.189,0.0,Massif basement,100.0
FR000798,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Massif basement,100.0
FR000799,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Massif basement,100.0
FR000800,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Massif basement,100.0
FR000801,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Massif basement,100.0
FR000802,0.0,0.0,0.0,0.0,99.918,0.082,0.0,Massif basement,100.0
FR000803,0.0,0.0,0.0,0.0,99.911,0.089,0.0,Massif basement,100.0
FR000804,0.0,0.0,0.0,0.0,99.383,0.617,0.0,Massif basement,100.0
FR000805,0.0,0.0,0.0,0.0,99.839,0.161,0.0,Massif basement,100.0
FR000806,0.0,0.0,0.0,0.0,99.833,0.167,0.0,Massif basement,100.0
FR000807,0.0,0.0,0.0,0.0,99.841,0.159,0.0,Massif basement,100.0
FR000808,0.0,0.0,0.0,0.0,99.833,0.167,0.0,Massif basement,100.0
FR000809,0.0,0.061,0.0,0.0,97.958,1.982,0.0,Massif basement,100.0
FR000810,0.0,0.453,0.0,0.0,98.467,1.081,0.0,Massif basement,100.0
FR000811,0.0,0.097,0.0,0.0,99.482,0.422,0.0,Massif basement,100.0
FR000812,0.0,0.097,0.0,0.0,99.482,0.422,0.0,Massif basement,100.0
