,nse_nogeo,nse_g1comp,nse_c1comp,nse_r1comp,nse_rand,bfi_obs,bfi_r1comp,bfi_c1comp,bfi_g1comp,bfi_nogeo,bfi_rand,hfd_obs,hfd_r1comp,hfd_c1comp,hfd_g1comp,hfd_nogeo,hfd_rand,slope_obs,slope_r1comp,slope_c1comp,slope_g1comp,slope_nogeo,slope_rand,qmean_obs,qmean_r1comp,qmean_c1comp,qmean_g1comp,qmean_nogeo,qmean_rand,p_mean,ele_mt_mean,gauge_name,gauge_id
FR001526,0.6976349435101984,0.7117533871194324,0.7219482635687943,0.708220181676918,0.7301213833414446,0.5394226985111503,0.6364023024988579,0.5744177589912299,0.6240116897097681,0.624723855396618,0.5785519113309953,132.0,136.33333333333334,133.5,135.33333333333334,135.66666666666666,131.66666666666666,3.0587772815018663,2.936140212758978,2.8888953838997256,2.9230163141587773,2.7686591104484317,3.1772858255346628,0.6823465498579204,0.8913550692209999,0.8970511249687206,0.8913398663538015,0.8936542485309369,0.8882839520063122,2.365,411.43,O0295310,O029531001
FR001544,0.685333600958336,0.6998129049966433,0.702821573978138,0.696486683629541,0.7161257237180378,0.5561672038547741,0.5587644151304146,0.5738783359298641,0.6239421606298713,0.6302874620500889,0.5957735657648784,131.33333333333334,124.0,128.5,132.33333333333334,134.0,127.33333333333333,2.807810203359703,3.0459562548316583,2.415886737010485,2.1827895697157635,2.272120531629382,2.630877013424007,1.684589904098767,1.275253182887579,1.29115214823278,1.2753336754913143,1.2604276569340471,1.2848786162460246,2.599,671.291,O0554010,O055401001
FR001545,0.5324006150512307,0.5715224188667531,0.6007729387924226,0.5949586455198985,0.5682574616618797,0.6658129649349432,0.7201514168243672,0.7260588959326502,0.6628930458253957,0.6064221388791543,0.659666776041594,150.33333333333334,143.83333333333334,143.33333333333334,135.16666666666666,133.66666666666666,135.66666666666666,2.2401160099273865,1.7781491642829952,1.7896568724030941,2.0412270551748875,2.4807289808689266,2.1142463243879823,2.2908533829484745,1.6259788618820568,1.6336603486320753,1.6042062502471748,1.6073665409371434,1.5920805294069975,2.689,981.246,O0592510,O059251001
FR001547,0.690959930925293,0.7237773314720114,0.7352731658557285,0.6846877078110103,0.7286314186557755,0.45665648166572126,0.625720014605258,0.4969567645854752,0.5924403166141344,0.5983712129039263,0.5425154025805513,127.66666666666667,148.33333333333334,138.0,143.0,147.66666666666666,141.33333333333334,3.45283106473821,3.0797448681773885,4.171360783840631,3.4438466002996755,3.2680698117861686,3.9823394599158064,0.9138814503146127,0.8177636595513716,0.8271324147202115,0.8027952589346555,0.7990026510680599,0.8024783328667353,2.246,475.752,O0624010,O062401001
FR001551,0.8072968487157378,0.8047275925208962,0.779917262213979,0.7971035147382773,0.7982069132589276,0.5226672136068433,0.6470895511680255,0.6609373534845672,0.6373718159460314,0.6331848615693226,0.6412540441869489,127.33333333333333,141.83333333333334,143.33333333333334,141.0,141.5,141.33333333333334,3.4528310861703213,2.4814772824168476,2.5166670779706664,2.537619989844481,2.3828515493660722,2.427963267231251,0.992136556922654,0.9962941310538886,1.003261278467607,0.9965310671916159,0.9994664511722834,1.0030700681601927,2.276,454.496,O0794010,O079401001
FR001577,0.7303333419001862,0.7805015630899039,0.776030280170868,0.7773018722898206,0.7213760660809158,0.4652755325644947,0.5087757406040873,0.5064418583497705,0.5466807860353871,0.5957697108441313,0.6098971439532466,130.0,128.66666666666666,129.66666666666666,130.5,142.83333333333334,142.66666666666666,4.753381444482029,3.45167078914982,3.3431012929334876,3.418582143635633,2.735926599337145,2.5354873831276783,1.1240720058942422,1.2900627698496683,1.2981504528969794,1.2710585193431136,1.2747266199680276,1.2880562484069138,2.282,559.939,O1584610,O158461001
FR001584,0.555361880548314,0.658044239521404,0.669173224865846,0.7206984281810969,0.6474772367056378,0.7270929879956677,0.6973578459970633,0.6747850796106188,0.6633469040703965,0.6093049797303624,0.6471393187358342,155.16666666666666,144.33333333333334,140.5,137.16666666666666,136.33333333333334,138.83333333333334,1.8393014530746288,1.9585204952204676,2.0493011360880544,2.154521347621163,2.545151319666639,2.1849246586703837,1.585828227062397,1.4216411274156322,1.3389650425291213,1.4007919546935936,1.4029040816438936,1.4024683136280336,2.53,896.438,O1900010,O200001001
FR001592,0.5991818699644618,0.628271015705612,0.5812241484658153,0.5779338035144808,0.6063723419295213,0.5359695591494424,0.5018102921626322,0.5020278301597355,0.5790644295670497,0.5960781832631072,0.5276037526050853,124.83333333333333,156.16666666666666,156.0,156.83333333333334,166.5,157.66666666666666,3.6682731715552204,5.202822074309825,5.120723097362784,4.189638350623162,3.7348306286757795,4.815629663023421,0.4426361278551579,0.5255423053691696,0.53567623498727,0.5239914391148672,0.5162490297981447,0.5231121364034587,1.802,210.916,O2215010,O221501001
FR001593,0.7420568435938568,0.7746538437641045,0.7437535529354884,0.716541059668385,0.7626972739950157,0.5617159131995819,0.5077002442998757,0.5207073359267488,0.6041895739569252,0.5972690242804108,0.605996331318581,132.33333333333334,156.5,155.66666666666666,158.16666666666666,165.66666666666666,160.83333333333334,3.3822260380739904,5.319969227929537,4.617944682806963,3.8369578356732146,3.930565303861075,3.8105662183652966,0.5823512462747625,0.5472315857545311,0.5055552021436409,0.5439102341845873,0.5363449661964288,0.5439586915930644,1.822,221.214,O2222510,O222251001
FR001604,0.7352499420090589,0.7492287349309339,0.7765651280308096,0.7787987344415174,0.7115867651057608,0.6921409463273123,0.71184293468919,0.6848289353896785,0.6556530619596037,0.6412344552608649,0.6319927972103492,147.5,147.0,143.83333333333334,138.83333333333334,139.5,136.0,2.2912787008401487,1.9278218500775186,2.1345830874367437,2.45447319973435,2.2897736386766803,2.4274677312754758,1.2405384932980263,1.1201320472232357,1.1305442717712286,1.1185053904918996,1.1117467713024287,1.1266808013845777,2.349,708.503,O2620010,O262002002
FR004091,0.5404370946716139,0.4985900374829476,0.5681214397289284,0.5743455298508402,0.4523388288598519,0.6555935401118167,0.6672646500092619,0.6984441291282977,0.5943482361891381,0.6124599639497382,0.5545900561137512,139.66666666666666,137.66666666666666,137.5,126.16666666666667,135.16666666666666,123.66666666666667,2.5410165989006868,1.9475201589757596,1.7992438696645887,2.4321056712102624,2.332899489427787,2.6494196590930277,2.699063347642317,1.8529479614022828,1.860771252396847,1.8321816707426004,1.8354642579005274,1.834416183298485,2.85,1035.152,Le Ger Ã  Aspet [2],O023402001
FR004114,0.7445008533175709,0.740654107769005,0.7191527993407983,0.698710448721363,0.7108486001070333,0.5602168749446911,0.700905303257042,0.6634407178219577,0.6416989112792582,0.6340611269062154,0.6818613500061368,127.5,147.83333333333334,142.16666666666666,141.16666666666666,141.66666666666666,146.0,2.811570378873095,2.0632512899814834,2.7436347221701287,2.4613784344771745,2.2808336644166047,2.1156853208412834,1.4139356623984485,1.0900414674918484,1.0985791224357329,1.088774823364073,1.087033853643249,1.0971731964834102,2.354,579.685,L'Arize au Mas-d'Azil,O074404001
FR004119,0.7063279459355525,0.7022914363845287,0.7321255344528691,0.7286477461824343,0.7330106386575803,0.5033092795312237,0.5677679656980233,0.5909123297988862,0.63293928415902,0.6268111854049533,0.5738537908441158,131.0,132.66666666666666,135.16666666666666,136.16666666666666,136.66666666666666,132.66666666666666,3.2382770268651067,3.7519160291151428,2.798507563276871,3.1844116674226446,2.808695222571127,3.5028632415080234,0.647690617949341,0.793980422810554,0.7973967630029177,0.7952319894252409,0.8012270935975152,0.7999423000967891,2.255,358.935,Le Louge au Fousseret,O095000101
FR004132,0.7160917863003498,0.7144943180939718,0.7318568954202925,0.6847750975726208,0.7313114275547388,0.6522506445761157,0.5701525891268668,0.6096773033980819,0.6151539631713069,0.6193512476299596,0.6214627466290857,143.0,131.0,138.16666666666666,141.16666666666666,142.16666666666666,139.0,2.7907003143905253,2.734070049808611,2.3331935312772205,2.1187522394223284,2.191702822120355,2.316327776320834,1.9007025633550896,1.4246387280761437,1.447127880106064,1.4245092503710575,1.4020360563292815,1.4360348260832299,2.421,1063.854,Le Grand Hers Ã  Laroque-d'Olmes et au Peyrat,O144291002
FR004133,0.6920173578040836,0.6958578519875823,0.7370995186823601,0.794150675055554,0.683115890031204,0.37549230549596446,0.4960698047382738,0.5577940520426584,0.596906854496163,0.6172456036270119,0.6304131638328833,125.16666666666667,130.0,140.16666666666666,143.33333333333334,144.33333333333334,144.5,5.038023244650567,4.0120570193715155,2.6257836684423834,2.270812453151095,2.4336505022338106,2.3727801395372397,1.1374979178640148,1.1369444876675425,1.146977775492933,1.1425741575425772,1.1458054422484476,1.1372154598765727,2.241,676.001,Le Blau Ã  Chalabre,O146401001
FR004136,0.547683240695611,0.5445777576721528,0.5556061778318178,0.5546177709032851,0.5436741511008061,0.603355913275635,0.6640116961372129,0.6772788391554584,0.6327441656083233,0.5941526974363658,0.6682889622001299,143.66666666666666,144.5,145.83333333333334,137.0,139.0,148.33333333333334,3.170738948437231,2.0954570815579516,2.0272804899019885,2.2637562079438873,2.573932014212853,1.9005052985671478,2.4007551467212465,1.5491736163419176,1.5570130181041393,1.528955165982606,1.5316945879496913,1.5339391213638758,2.435,1097.04,Le Touyre Ã  Lavelanet et Ã  Saint-Quentin-la-Tour,O149431003
FR004137,0.657394022038241,0.671577883571597,0.6823389221580105,0.6731289040875679,0.6677213061578929,0.6177474222644621,0.6542765277886666,0.6349121952728926,0.6264148979218624,0.6198187191278235,0.6243673280111783,141.16666666666666,142.66666666666666,139.16666666666666,139.66666666666666,142.0,139.5,2.9037519868009736,2.1161860558216343,2.4007599950508,2.2679424184618107,2.191639017667671,2.17473566781936,1.8734440443269949,1.4282031246638123,1.4488510328762432,1.425872940144326,1.4028992904062079,1.4233932100496665,2.431,940.039,Le Touyre Ã  LÃ©ran,O149433001
FR004140,0.6580716904599996,0.6958618062026628,0.7076124571030804,0.7074724489101465,0.6903426201195153,0.4699533056083927,0.48804847255699807,0.49207232490579383,0.5710881204863083,0.5869812785959355,0.5626484400991021,128.33333333333334,136.83333333333334,139.83333333333334,144.16666666666666,150.0,145.33333333333334,6.658255663333431,4.6047624193741115,4.264236645742373,3.8309342867889216,3.4988063764087887,3.7863948484599184,0.5826882809244037,0.7527236732203737,0.7264855521216598,0.7398102825709912,0.7424339789947172,0.742151915491745,1.969,326.545,La VixiÃ¨ge Ã  Belpech,O163401001
FR004143,0.5259824042913822,0.5559862656145182,0.6114570790355041,0.6897268216674275,0.6331105884694399,0.7376636419106052,0.7104862090315521,0.6640082685592509,0.6428294550492936,0.6311225648355446,0.6762436682630796,154.16666666666666,147.16666666666666,142.0,139.66666666666666,140.5,143.5,1.976929744472664,1.724762600844492,1.9957480230467912,2.0894876753451506,2.095861887589041,1.8541241199492717,1.500219018626465,1.4104415809077493,1.4288907795322408,1.407673212643647,1.3858003325948784,1.4193804530231964,2.451,915.593,L'AriÃ¨ge Ã  Auterive,O171251001
FR004149,0.6283596446864292,0.6746195804094341,0.6827900384869537,0.6636380204195949,0.6248249128558658,0.47718852287385266,0.5200300765045185,0.5088830071438094,0.5625378642637475,0.5986132371152627,0.6218081149429264,132.33333333333334,139.83333333333334,138.66666666666666,141.66666666666666,148.83333333333334,148.5,4.173875553504807,3.9538591736306605,3.8998972091705246,3.9260695387311957,3.2709904342592133,3.07435092645197,0.5719268350287291,0.807011566427853,0.7826998624923606,0.7899491112296004,0.7912533694860234,0.7931564447931218,2.124,347.817,La LÃ¨ze Ã  LÃ©zat-sur-LÃ¨ze,O184402001
FR004152,0.6639771202931266,0.7045595933914937,0.7430145039966778,0.7103835314414766,0.6121881546919572,0.47978665350901945,0.5297398629054758,0.5157438927216088,0.582623586591912,0.5995462788468983,0.6546810344151782,131.33333333333334,142.83333333333334,141.0,144.5,150.66666666666666,154.66666666666666,5.1496546869403,4.064093296326286,3.9292662730429297,3.8792484877669122,3.4927232179170096,2.8631726199303476,0.541440842516332,0.7386747188706536,0.690493879303729,0.7233723057685161,0.7231091837003537,0.7266888527473176,2.028,313.515,La LÃ¨ze Ã  Labarthe-sur-LÃ¨ze,O187401001
FR004162,0.6384685905436681,0.6414546569241701,0.6316878104592725,0.6363185638432108,0.6072177216153056,0.5642949917479222,0.5793739927480945,0.6398758295152224,0.6374334897807195,0.6343777891049374,0.6611925904709641,132.0,134.83333333333334,142.5,139.33333333333334,139.33333333333334,143.0,2.8628724124262437,3.7310446758584024,2.4053373554073563,3.288613896015904,2.9264498842875506,2.88952624576734,0.4465152729152328,0.6155871566466002,0.6162953478480628,0.6174811542880636,0.6285158735829913,0.6278716905319576,2.026,254.384,La Save Ã  Larra,O255000201
