,nse_nogeo,nse_g1comp,nse_c1comp,nse_r1comp,nse_rand,bfi_obs,bfi_r1comp,bfi_c1comp,bfi_g1comp,bfi_nogeo,bfi_rand,hfd_obs,hfd_r1comp,hfd_c1comp,hfd_g1comp,hfd_nogeo,hfd_rand,slope_obs,slope_r1comp,slope_c1comp,slope_g1comp,slope_nogeo,slope_rand,qmean_obs,qmean_r1comp,qmean_c1comp,qmean_g1comp,qmean_nogeo,qmean_rand,p_mean
BEWA0066,0.8566728643617766,0.7491576696527243,0.894250691133925,0.9165356082492087,0.7726438158155932,0.5376415836181221,0.542708413299685,0.5744035278351338,0.7188291621420572,0.6180156533439314,0.7059937230915163,111.0,116.0,117.0,135.0,124.0,129.0,3.23152612468825,3.588222811876876,3.5741898831766123,1.9421917682769327,2.25159917884571,2.0982383939657887,1.6179740954188773,1.744827424604652,1.7621998569473691,1.650789441875714,1.701487953477532,1.7038624367165245,2.799
BEWA0067,0.7798143042318033,0.689315243792612,0.8474951931343138,0.8750948201650396,0.791520058213761,0.49599591051386516,0.5665043514913068,0.5902631735866849,0.7143682563813901,0.645194318640293,0.6476792086370065,,,,,,,4.059478627463189,3.2402948505625786,3.4034521245952702,1.6466228635774727,1.9322144173619578,2.272554237774314,1.7292409410786576,1.9732764007895032,1.9744744275900303,1.9507320671282415,1.972265548943763,1.950794807655214,2.875
BEWA0106,0.716112059817414,0.6507176049055393,0.7653687208058205,0.7873330375472898,0.7329956427107658,0.5075647914873822,0.536039293723176,0.5711363768762835,0.695186257041029,0.641479856405681,0.6333629269079891,126.25,126.625,129.75,140.25,135.5,135.5,4.169902423904824,3.74412861808653,3.1353715868304737,2.6870589016617963,2.183398595448646,2.298960207211798,1.2361987019795009,1.4024802533582301,1.354018826954798,1.3318377961058836,1.3517287129505668,1.29775460196282,2.487
BEWA0107,0.7936416515203982,0.6493300964321267,0.8353970783340999,0.8382116900277443,0.8059426551699481,0.5780388719788524,0.5565310844808129,0.571962884751283,0.7710603904734668,0.644799449223223,0.6718149205762283,121.0,120.875,120.875,139.0,129.75,127.625,3.2648952067661168,3.5428103556156527,3.5470050854929536,1.2912780268245645,2.0414870196484665,2.2908095354456575,1.4657256924161086,1.4989525942565123,1.5156767911926536,1.372940424105655,1.4098846564083933,1.4537299138508226,2.928
BEWA0119,0.7924350762097158,0.6970073055172928,0.8538411363172403,0.8672677370376669,0.8324353786485942,0.5271118298820672,0.5803579215687819,0.5941497511901443,0.7354590862270328,0.66665818371814,0.6360941279351101,111.42857142857143,118.28571428571429,117.71428571428571,134.14285714285714,127.14285714285714,120.71428571428571,3.137418138681719,3.209920702161736,3.295509578103243,1.3946696987007623,1.8895519273972552,2.4345441389190996,1.3990538145248927,1.4908032305016332,1.5092617999352962,1.416895777048427,1.4212477505430217,1.476525231205055,2.77
DEBU1956,0.8922770107388818,0.8888608228439204,0.8895979027721748,0.8717369805619112,0.8971821670152905,0.5855015287887154,0.5550926466478838,0.5676772589822391,0.5643859687323252,0.6059668615519994,0.5955895999672299,128.4,125.0,126.7,126.7,128.5,127.2,2.5119657820676053,2.82325011558571,2.7612821209234064,2.9584399302138134,2.2875025689788835,2.596082468870116,1.078042831605601,0.9271529274248036,0.9476454083506567,0.9421527712589858,0.9366371928433047,0.9433805086800251,2.503
DEBU1957,0.9043364998649495,0.9038458955224715,0.892011660422002,0.9156295126577659,0.8840470024762227,0.60470571951811,0.6450358633937684,0.6467742916528365,0.6166123554001631,0.6337685158901413,0.6067748463211282,132.7,133.4,133.5,129.2,129.6,128.3,1.850960303884523,1.9316985007901495,2.0476550542558214,2.4064071917567906,2.1649381720361562,2.6558105059465187,0.8652636621573079,0.8813799501803219,0.8691079156676992,0.8763157896324552,0.8653494697834918,0.8732311716515996,2.311
DEBU1958,0.9112112015008048,0.9319687989235056,0.92961562696413,0.933072843798962,0.924215465113798,0.5916392394365082,0.6138900203308639,0.6204455984374383,0.6180818615617258,0.674216332659861,0.6615979795182096,128.2,129.7,128.8,129.3,132.8,131.3,2.20965789078769,2.535604976521177,2.4175957410389692,2.382221497641601,1.7393805375850258,2.0036576423132213,0.9724332269493163,0.9373774972630295,0.9345574865677829,0.9285503787936394,0.9213220183598879,0.9354177597216697,2.412
DEBU1959,0.9172194366002049,0.9025989568651746,0.8695868195802141,0.9023100884195443,0.9093157524821147,0.6024435775363216,0.6307349495919659,0.6358195998784608,0.6192115742185201,0.6348172652262614,0.6580104310721836,129.8,131.4,131.3,129.7,129.7,132.6,2.3679993170375933,2.1486320872576097,2.2409734445726555,2.5052479395883163,2.208884693486689,2.256331926478993,1.0290214624595224,0.9591798649296819,0.9421289682123123,0.9445855734808284,0.9379943638220166,0.9661369491914155,2.39
DERP2003,0.8650609356060214,0.8531909623888142,0.8817033606155111,0.8789992065030273,0.8758906873477011,0.5471030344699008,0.6253099278147417,0.6480073864017191,0.6745132222795581,0.671159719519085,0.6597372945603381,122.1,131.2,132.5,134.6,133.2,132.3,2.114375401309403,2.7623666142308925,2.1149643281670922,1.7985204080678832,1.6864206156639758,1.983213303003989,1.080341110786078,0.9935913378576142,0.9856667107123483,0.967640941005567,0.9759051129023047,0.9837681473752341,2.4
