,gauge_id,gauge_name,gauge_country,gauge_provider,river,lon_snap,lat_snap,lon,lat,elevation,area_official,area_estreams,area_flag,area_rel,start_date,end_date,num_years,num_months,num_days,num_continuous_days,num_days_gaps,num_days_reliable,num_days_noflag,num_days_suspect,gauge_flag,duplicated_suspect,watershed_group,gauges_upstream,nested_catchments,q_mean,q_runoff_ratio,q_elas_Sankarasubramanian,slope_sawicz,baseflow_index,hfd_mean,hfd_std,q_5,q_95,hq_freq,hq_dur,lq_freq,lq_dur,zero_q_freq,p_mean,pet_mean,aridity,p_seasonality,frac_snow,hp_freq,hp_dur,hp_time,lp_freq,lp_dur,lp_time,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens,lit_dom,bedrk_dep,perm_verylow_glob,perm_low_glob,perm_medium_glob,perm_high_glob,lit_fra_su,lit_fra_ss,lit_fra_sm,lit_fra_sc,lit_fra_mt,lit_fra_pi,lit_fra_py,lit_fra_vi,lit_fra_ev,lit_fra_ig,lit_fra_pa,lit_fra_pb,lit_fra_va,lit_fra_vb,perm_high_cont,perm_medium_cont,perm_low_cont,perm_verylow_cont,lit_fra_Conglomerates,lit_fra_Conglomerates and sands,lit_fra_Gravels,lit_fra_Sands,lit_fra_Sandstones,lit_fra_Sandstones and sands,root_dep_mean,root_dep_max,root_dep_min,soil_tawc_mean,soil_fra_sand_mean,soil_fra_silt_mean,soil_fra_clay_mean,soil_fra_grav_mean,soil_bd_mean,soil_oc_mean,lai_mean,ndvi_mean,lulc_2006_urban,lulc_2006_NonIrriAgri,lulc_2006_Agric,lulc_2006_forest,lulc_2006_grass,lulc_2006_agriculture,dam_num,res_num,lakes_num,lakes_tot_area,lakes_tot_vol,sno_cov_mean,irri_1990,irri_2005,stations_num_p_mean,perm_high_glob2,perm_medium_glob2,perm_low_glob2,perm_high_cont2,perm_medium_cont2,perm_low_cont2,basin_id,group
0,Q122402002,Le Bahus Ã  Classun et Ã  EugÃ©nie-les-Bains,FR,FR_EAUFRANCE,Le Bahus à Classun et à Eugénie-les-Bains,-0.405211,43.711595,-0.405211,43.711595,80,56.7,56.446,0,0.4479717813051233,1999-07-29,2023-09-30,25,289,8696,3951,134.0,7447.0,778.0,471.0,C,,741,2,"['FR004410', 'FR002007']",0.883,0.344,3.335,3.173,0.408,144.4,32.822,0.06,3.72,38.121,4.751,136.523,8.06,0.0,2.681,2.667,0.995,-0.196,0.003,18.532,1.285,2.0,229.458,4.364,4.0,264.6,175.09,81.5,2.37,72.711,0.073,0.312,0.276,11,24.472,0.0,0.0,40.89,59.11,59.11,0.0,40.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.912,87.088,0.0,0.0,0.0,0.0,12.912,0.0,0.0,0.0,130.0,130.0,130.0,57.858,41.492,38.017,20.492,3.542,1.412,0.964,0.111,0.589,0.007,0.717,0.154,0.1159999999999999,0.0,0.871,1.0,1.0,1.0,0.43,1.29,0.408,28.388,33.168,1.0,59.0,41.0,0.0,12.912,87.088,0.0,FR004410,Group_1
1,Q021401001,L'Echez Ã  Louey,FR,FR_EAUFRANCE,L'Echez à Louey,0.022191,43.175522,0.022191,43.175522,333,89.6,91.107,0,-1.6819196428571486,1968-11-01,2023-09-30,56,659,20017,12451,40.0,19367.0,485.0,165.0,A,,741,1,['FR004391'],1.357,0.459,1.759,2.257,0.618,158.365,29.004,0.303,3.877,5.169,1.63,10.009,4.748,0.0,2.919,2.436,0.835,-0.151,0.017,18.287,1.239,2.0,224.437,3.999,4.0,1022.475,502.556,331.764,11.349,16.087,31.476,0.65,0.142,2,2.061,1.043,56.485,7.483,34.989,20.621,14.368,4.915,2.568,56.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.043,28.238,0.0,71.762,0.0,0.0,0.0,28.238,0.0,0.0,0.0,93.478,130.0,70.0,52.76,38.163,40.304,21.533,7.022,1.394,0.8,0.219,0.71,0.033,0.051,0.48,0.325,0.11,0.531,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,2.0,35.0,64.0,1.0,28.238,71.762,0.0,FR004391,Group_1
2,Q132401001,Q1324010,FR,FR_EAUFRANCE,Le Gabas à Poursiugues-Boucoue,-0.351557,43.55463,-0.351557,43.55463,119,142.0,143.055,0,-0.742957746478878,1967-09-04,2023-09-30,57,673,20481,20481,0.0,19476.0,532.0,473.0,A,,741,2,"['FR004412', 'FR002008']",1.36,0.466,2.084,3.34,0.446,145.964,31.759,0.044,5.089,16.069,2.392,100.337,14.624,0.004,2.91,2.56,0.88,-0.176,0.005,18.845,1.264,2.0,227.172,4.145,4.0,536.595,307.595,121.698,2.56,73.67,0.251,0.282,0.334,11,16.297,0.0,0.16,8.403,91.438,91.438,0.0,1.961,6.442,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.239,62.761,0.0,0.0,0.0,0.0,37.239,0.0,0.0,0.0,130.0,130.0,130.0,65.255,35.915,50.746,13.338,2.07,1.469,1.196,0.12,0.608,0.009,0.568,0.301,0.082,0.021,0.869,1.0,1.0,0.0,0.0,0.0,0.51,5.182,10.786,4.0,91.0,9.0,0.0,37.239,62.761,0.0,FR002008,Group_1
3,Q052252001,L'Arros Ã  Gourgue,FR,FR_EAUFRANCE,L'Arros à Gourgue,0.259233,43.131532,0.259233,43.131532,292,173.0,182.692,0,-5.602312138728328,1968-10-01,2015-01-01,47,533,16158,12404,736.0,16155.0,0.0,3.0,A,,741,1,['FR004396'],1.727,0.616,1.312,2.206,0.584,165.581,30.352,0.414,5.108,6.036,1.443,4.182,9.25,0.0,2.765,2.455,0.888,-0.125,0.018,17.28,1.232,2.0,227.417,4.043,4.0,1887.617,651.359,293.799,15.415,4.502,43.805,0.7,0.123,2,1.505,0.926,50.262,38.028,10.783,8.799,1.984,2.798,35.23,50.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.926,0.0,36.249,63.749,0.002,0.0,0.0,0.0,0.0,0.0,0.0,76.409,130.0,30.0,55.972,37.552,41.901,20.547,8.486,1.402,1.105,0.238,0.722,0.004,0.003,0.386,0.539,0.068,0.389,0.0,0.0,0.0,0.0,0.0,1.898,0.0,0.0,2.0,11.0,88.0,1.0,0.0,99.998,0.002,FR004396,Group_1
4,Q052253001,L'Arros Ã  Tournay,FR,FR_EAUFRANCE,L'Arros à Tournay,0.241107,43.18408,0.241107,43.18408,263,238.0,238.318,0,-0.1336134453781563,1993-11-01,2023-09-30,28,277,8027,3535,2899.0,7265.0,0.0,762.0,E,,741,2,"['FR004396', 'FR004397']",1.72,0.603,1.499,2.912,0.542,150.583,21.828,0.319,5.438,8.101,1.814,25.961,11.059,0.0,2.761,2.46,0.891,-0.125,0.018,17.335,1.233,2.0,227.88,4.052,4.0,1887.617,601.276,257.555,13.859,7.506,37.173,0.653,0.127,2,1.926,0.71,39.415,34.766000000000005,25.108,23.587,1.521,7.759,27.007,39.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,4.895,46.116,48.987,0.002,0.0,0.0,4.895,0.0,0.0,0.0,89.072,130.0,30.0,55.152,38.544,41.004,20.451,8.713,1.404,1.16,0.236,0.724,0.011,0.008,0.414,0.513,0.054,0.422,0.0,0.0,0.0,0.0,0.0,1.549,0.0,0.0,2.0,25.0,74.0,1.0,4.895,95.10300000000001,0.002,FR004397,Group_1
5,Q012006002,L'Adour Ã  Tarbes,FR,FR_EAUFRANCE,L'Adour à Tarbes,0.088685,43.231731,0.088685,43.231731,309,402.0,381.587,0,5.077860696517416,1981-12-05,2023-09-30,43,502,15274,14940,1.0,14671.0,489.0,114.0,A,,741,14,"['FR004383', 'FR004384', 'FR004385', 'FR004386', 'FR004387', 'FR001980', 'FR001981', 'FR001982', 'FR001983', 'FR001984', 'FR001985', 'FR001986', 'FR001987', 'FR004389']",1.984,0.622,1.016,2.059,0.726,185.375,31.885,0.537,4.845,0.553,1.769,3.176,4.0,0.0,3.138,2.165,0.69,-0.154,0.13,15.865,1.212,2.0,215.498,3.92,4.0,2849.89,1317.28,314.016,20.574,7.526,69.548,0.472,0.186,2,1.446,6.63,41.089,21.099,31.183,9.057,22.126,2.985,18.114,39.934,1.155,0.0,0.0,0.0,0.0,6.118,0.345,0.0,0.167,10.833,8.031999999999998,20.204,60.93,0.0,0.0,10.833,0.0,0.0,0.0,61.192,130.0,30.0,52.32,43.039,36.202,20.759,11.298,1.411,1.356,0.16,0.549,0.0249999999999999,0.011,0.181,0.289,0.491,0.192,3.0,3.0,1.0,0.44,4.69,15.724,0.0,0.0,5.0,31.0,62.0,7.000000000000001,10.833,28.235999999999997,60.93,FR004389,Group_1
6,Q109402001,Le LÃ©es Ã  BernÃ¨de et Ã  Lannux,FR,FR_EAUFRANCE,Le Lées à Bernède et à Lannux,-0.234488,43.647182,-0.234488,43.647182,89,430.0,428.663,0,0.310930232558137,1968-10-01,2023-09-30,47,530,16001,11413,4087.0,15230.0,749.0,22.0,E,,741,1,['FR004407'],0.994,0.359,1.757,4.478,0.416,144.625,32.713,0.019,4.051,24.704,2.745,135.709,17.54,0.009,2.752,2.602,0.945,-0.17,0.003,18.804,1.278,2.0,229.309,4.244,4.0,409.59,230.072,91.311,4.726,45.595,1.166,0.525,0.223,9,9.267,0.0,0.0,53.638,46.362,46.362,0.0,53.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.622,55.378,0.0,0.0,0.0,0.0,44.622,0.0,0.0,0.0,130.0,130.0,130.0,58.742,40.597,40.581,18.822,4.815,1.426,1.038,0.131,0.623,0.009,0.481,0.321,0.185,0.002,0.802,3.0,3.0,3.0,0.67,3.36,0.394,63.836,86.87,3.0,46.0,54.0,0.0,44.622,55.378,0.0,FR004407,Group_1
7,Q061251001,L'Arros Ã  Juillac,FR,FR_EAUFRANCE,L'Arros à Juillac,0.108653,43.545043,0.108653,43.545043,140,590.0,572.003,0,3.05033898305084,1967-01-01,2023-09-30,57,679,20563,7139,164.0,19638.0,786.0,139.0,B,,741,5,"['FR004396', 'FR004397', 'FR004398', 'FR001999', 'FR002000', 'FR004399']",1.041,0.384,1.957,3.005,0.498,157.902,31.38,0.113,3.837,13.917,2.197,73.742,11.051,0.0,2.701,2.512,0.93,-0.132,0.011,18.151,1.235,2.0,229.513,4.127,4.0,1887.617,425.826,141.817,9.043,22.887,16.998,0.404,0.189,11,5.223,0.313,18.464,37.685,43.539,42.905,0.634,26.403,11.282,18.464,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.296,21.39,57.321,21.289,0.001,0.0,0.0,21.39,0.0,0.0,0.0,112.351,130.0,30.0,57.862,36.625,40.684,22.691,7.391,1.398,1.183,0.2,0.687,0.012,0.122,0.4409999999999999,0.4,0.023,0.563,1.0,1.0,1.0,0.98,6.88,0.829,44.776,46.909,3.0,44.0,56.00000000000001,0.0,21.39,78.61,0.001,FR004399,Group_1
8,Q028003001,L'Adour Ã  Estirac,FR,FR_EAUFRANCE,L'Adour à Estirac,0.028681,43.498162,0.028681,43.498162,164,906.0,869.918,0,3.982560706401765,1968-10-01,2023-09-30,56,644,19535,9405,553.0,18745.0,679.0,111.0,B,,741,23,"['FR004383', 'FR004384', 'FR004385', 'FR004386', 'FR004387', 'FR004388', 'FR004389', 'FR004390', 'FR004391', 'FR004392', 'FR001980', 'FR001981', 'FR001982', 'FR001983', 'FR001984', 'FR001985', 'FR001986', 'FR001987', 'FR001988', 'FR001989', 'FR001990', 'FR001991', 'FR004393']",1.528,0.514,1.606,2.464,0.685,169.02,27.098,0.279,3.903,1.183,1.658,23.576,8.596,0.0,2.943,2.369,0.805,-0.152,0.03,17.022,1.235,2.0,217.212,3.918,4.0,2849.89,772.011,163.986,11.35,39.484,34.05,0.442,0.22,11,12.845,3.0169999999999995,25.708,11.196,60.079,48.441,11.638,2.195,9.001,25.201,0.507,0.0,0.0,0.0,0.0,2.683,0.151,0.0,0.183,41.348,14.46,17.465,26.727,0.0,0.0,41.348,0.0,0.0,0.0,94.652,130.0,30.0,55.812,40.886,38.594,20.52,7.639,1.414,1.144,0.157,0.589,0.074,0.189,0.2499999999999999,0.249,0.233,0.4389999999999999,3.0,3.0,4.0,1.1,5.94,7.153,119.371,100.522,9.0,60.0,37.0,3.0,41.348,31.925,26.727,FR004393,Group_1
9,Q045001001,Q0450010,FR,FR_EAUFRANCE,L'Adour à Cahuzac-sur-Adour,-0.019905,43.641092,-0.019905,43.641092,120,1290.0,1286.789,0,0.2489147286821715,1973-06-06,2023-09-30,47,542,16386,7353,1993.0,15555.0,620.0,211.0,D,,741,30,"['FR004383', 'FR004384', 'FR004385', 'FR004386', 'FR004387', 'FR004388', 'FR004389', 'FR004390', 'FR004391', 'FR004392', 'FR004393', 'FR004394', 'FR004395', 'FR001980', 'FR001981', 'FR001982', 'FR001983', 'FR001984', 'FR001985', 'FR001986', 'FR001987', 'FR001988', 'FR001989', 'FR001990', 'FR001991', 'FR001992', 'FR001993', 'FR001994', 'FR001995', 'FR001996', 'FR001997']",1.447,0.497,2.35,2.172,0.64,162.564,28.669,0.211,4.232,2.578,1.855,36.068,9.811,0.0,2.855,2.44,0.855,-0.152,0.017,17.457,1.242,2.0,220.274,3.969,4.0,2849.89,605.662,114.56,8.656,48.294,23.191,0.442,0.24,11,15.403,2.039,17.531,14.501,65.928,58.061,7.867,8.416,6.085,17.188,0.343,0.0,0.0,0.0,0.0,1.814,0.102,0.0,0.123,49.819,20.269,11.843,18.068,0.0,0.0,49.819,0.0,0.0,0.0,106.034,130.0,30.0,57.102,40.339,39.262,20.399,6.577,1.416,1.113,0.148,0.592,0.062,0.291,0.2499999999999999,0.233,0.158,0.5409999999999999,4.0,4.0,8.0,1.87,9.2,4.953,186.472,175.009,9.0,66.0,32.0,2.0,49.819,32.111999999999995,18.068,FR001997,Group_1
10,Q259331001,La Midouze Ã  Campagne,FR,FR_EAUFRANCE,La Midouze à Campagne,-0.659127,43.907637,-0.659127,43.907637,17,2500.0,2478.622,0,0.8551200000000062,1967-01-01,2023-09-30,57,681,20676,12087,51.0,20203.0,413.0,60.0,A,,741,23,"['FR004414', 'FR004415', 'FR004416', 'FR004417', 'FR004418', 'FR004419', 'FR002010', 'FR002011', 'FR002012', 'FR002013', 'FR002014', 'FR002015', 'FR002016', 'FR002017', 'FR002018', 'FR002019', 'FR002020', 'FR002021', 'FR002022', 'FR002023', 'FR002024', 'FR002025', 'FR002026', 'FR004420']",0.716,0.296,2.086,1.716,0.682,155.13,21.188,0.203,2.171,2.768,3.805,0.852,6.857,0.0,2.424,2.697,1.113,-0.174,0.003,17.253,1.285,2.0,229.649,4.498,4.0,277.646,110.053,16.092,1.996,79.009,0.001,0.556,0.179,11,28.662,0.0,0.0,51.376000000000005,48.624,48.624,0.0,26.184,25.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.124,27.84,0.0,0.037,0.0,42.204,5.943,23.977,0.0,0.0,110.008,130.0,30.0,50.953,54.876,30.841,14.283,4.268,1.531,1.407,0.156,0.642,0.018,0.219,0.206,0.473,0.082,0.425,1.0,1.0,11.0,2.94,12.53,0.474,305.881,368.971,5.0,49.0,51.0,0.0,72.124,27.84,0.037,FR004420,Group_1
11,Q142001001,L'Adour Ã  Audon et Ã  Onard,FR,FR_EAUFRANCE,L'Adour à Audon et à Onard,-0.836261,43.789283,-0.836261,43.789283,15,4100.0,4063.419,0,0.8922195121951252,1974-01-01,2023-09-30,44,507,15239,5351,2931.0,14043.0,636.0,560.0,D,,741,58,"['FR004383', 'FR004384', 'FR004385', 'FR004386', 'FR004387', 'FR004388', 'FR004389', 'FR004390', 'FR004391', 'FR004392', 'FR004393', 'FR004394', 'FR004395', 'FR004396', 'FR004397', 'FR004398', 'FR004399', 'FR004400', 'FR004401', 'FR004402', 'FR004403', 'FR004404', 'FR004405', 'FR004406', 'FR004407', 'FR004408', 'FR004409', 'FR004410', 'FR004411', 'FR004412', 'FR004413', 'FR001980', 'FR001981', 'FR001982', 'FR001983', 'FR001984', 'FR001985', 'FR001986', 'FR001987', 'FR001988', 'FR001989', 'FR001990', 'FR001991', 'FR001992', 'FR001993', 'FR001994', 'FR001995', 'FR001996', 'FR001997', 'FR001998', 'FR001999', 'FR002000', 'FR002001', 'FR002002', 'FR002003', 'FR002004', 'FR002005', 'FR002006', 'FR002007', 'FR002008', 'FR002009']",1.156,0.427,2.09,2.612,0.566,153.829,25.39,0.135,4.159,8.607,3.306,56.419,12.928,0.0,2.711,2.567,0.947,-0.162,0.007,17.117,1.262,2.0,223.948,4.158,4.0,2849.89,338.933,-23.321,5.745,52.151,9.945,0.495,0.226,11,15.161,0.69,8.156,32.495000000000005,58.659000000000006,56.078,2.581,26.597,5.898,8.048,0.108,0.0,0.0,0.0,0.0,0.574,0.035,0.0,0.081,48.958,38.525000000000006,6.747,5.77,0.0,4.4,44.558,0.0,0.0,0.0,118.947,130.0,30.0,59.237,38.515,41.767,19.718,5.762,1.421,1.094,0.142,0.614,0.03,0.377,0.294,0.235,0.0559999999999999,0.671,19.0,19.0,35.0,9.46,45.84,1.899,782.437,834.094,14.0,57.99999999999999,41.0,1.0,48.958,45.272000000000006,5.77,FR004413,Group_1
0,Q305401001,Le Louts Ã  Hagetmau,FR,FR_EAUFRANCE,Le Louts à Hagetmau,-0.592228,43.64986,-0.592228,43.64986,87,89.0,88.511,0,0.5494382022471959,1984-12-28,2016-06-26,33,379,11504,11504,0.0,11406.0,0.0,98.0,A,,741,1,['FR004423'],1.001,0.376,2.205,3.752,0.398,141.4,34.819,0.038,4.363,31.94,3.457,139.921,16.383,0.0,2.753,2.673,0.971,-0.204,0.002,18.314,1.297,1.0,228.07,4.361,4.0,257.49,165.307,90.686,1.801,83.762,0.0,0.387,0.234,11,26.165,0.0,0.0,15.133,84.867,84.867,0.0,15.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.378,36.622,0.0,0.0,0.0,0.0,63.378,0.0,0.0,0.0,130.0,130.0,130.0,60.2,40.648,38.176,21.176,4.165,1.404,0.979,0.109,0.584,0.022,0.7,0.192,0.071,0.008,0.8919999999999999,1.0,1.0,2.0,0.67,2.25,0.37,10.119,9.588,1.0,85.0,15.0,0.0,63.378,36.622,0.0,FR004423,Group_2
1,Q258461001,Q2584610,FR,FR_EAUFRANCE,Le ruisseau de Geloux à Saint-Martin-d'Oney,-0.627412,43.932308,-0.627412,43.932308,33,130.0,130.381,0,-0.2930769230769232,1993-09-16,2023-09-30,31,357,10760,10531,212.0,9963.0,627.0,170.0,B,,741,1,['FR002026'],0.673,0.261,2.182,1.682,0.748,159.741,23.069,0.231,1.816,2.294,3.045,,,0.0,2.607,2.712,1.04,-0.213,0.003,17.729,1.286,1.0,227.757,4.459,4.0,110.52,77.308,28.665,1.133,96.934,0.0,0.613,0.129,11,41.145,0.0,0.0,21.675,78.325,78.325,0.0,0.0,21.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.704,0.0,0.0,0.296,0.0,15.858,0.0,83.846,0.0,0.0,89.846,130.0,70.0,45.297,72.0,19.962,8.038,3.531,1.64,1.803,0.179,0.651,0.006,0.075,0.0579999999999999,0.6910000000000001,0.17,0.133,0.0,0.0,0.0,0.0,0.0,0.703,9.737,9.917,1.0,78.0,22.0,0.0,99.704,0.0,0.296,FR002026,Group_2
2,Q022402001,Q0224020,FR,FR_EAUFRANCE,L'Echez à Bordères-sur-l'Échez,0.045,43.259043,0.045,43.259043,283,168.0,164.379,0,2.1553571428571483,1968-10-01,2022-05-17,55,644,19587,19587,0.0,19437.0,64.0,86.0,A,,741,4,"['FR004391', 'FR004392', 'FR001990', 'FR001988']",1.562,0.527,1.366,1.506,0.694,167.0,23.721,0.531,3.884,1.827,1.4,0.634,3.778,0.0,2.915,2.437,0.836,-0.151,0.017,18.328,1.239,2.0,224.587,4.005,4.0,1022.475,444.878,285.502,7.517,41.064,18.051,0.575,0.154,11,10.271,0.578,35.274,6.732,57.415,47.19,10.225,2.724,4.008,35.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578,53.963,0.51,45.526,0.0,0.0,0.0,53.963,0.0,0.0,0.0,104.85,130.0,70.0,56.357,37.335,41.485,21.18,6.054,1.403,0.896,0.186,0.657,0.133,0.089,0.478,0.222,0.064,0.5670000000000001,0.0,0.0,0.0,0.0,0.0,0.614,10.284,5.935,3.0,56.99999999999999,42.0,1.0,53.963,46.036,0.0,FR001988,Group_2
