,gauge_id,gauge_name,gauge_country,gauge_provider,river,lon_snap,lat_snap,lon,lat,elevation,area_official,area_estreams,area_flag,area_rel,start_date,end_date,num_years,num_months,num_days,num_continuous_days,num_days_gaps,num_days_reliable,num_days_noflag,num_days_suspect,gauge_flag,duplicated_suspect,watershed_group,gauges_upstream,nested_catchments,q_mean,q_runoff_ratio,q_elas_Sankarasubramanian,slope_sawicz,baseflow_index,hfd_mean,hfd_std,q_5,q_95,hq_freq,hq_dur,lq_freq,lq_dur,zero_q_freq,p_mean,pet_mean,aridity,p_seasonality,frac_snow,hp_freq,hp_dur,hp_time,lp_freq,lp_dur,lp_time,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens,lit_dom,bedrk_dep,perm_verylow_glob,perm_low_glob,perm_medium_glob,perm_high_glob,lit_fra_su,lit_fra_ss,lit_fra_sm,lit_fra_sc,lit_fra_mt,lit_fra_pi,lit_fra_py,lit_fra_vi,lit_fra_ev,lit_fra_ig,lit_fra_pa,lit_fra_pb,lit_fra_va,lit_fra_vb,perm_high_cont,perm_medium_cont,perm_low_cont,perm_verylow_cont,lit_fra_Conglomerates,lit_fra_Conglomerates and sands,lit_fra_Gravels,lit_fra_Sands,lit_fra_Sandstones,lit_fra_Sandstones and sands,root_dep_mean,root_dep_max,root_dep_min,soil_tawc_mean,soil_fra_sand_mean,soil_fra_silt_mean,soil_fra_clay_mean,soil_fra_grav_mean,soil_bd_mean,soil_oc_mean,lai_mean,ndvi_mean,lulc_2006_urban,lulc_2006_NonIrriAgri,lulc_2006_Agric,lulc_2006_forest,lulc_2006_grass,lulc_2006_agriculture,dam_num,res_num,lakes_num,lakes_tot_area,lakes_tot_vol,sno_cov_mean,irri_1990,irri_2005,stations_num_p_mean,perm_high_glob2,perm_medium_glob2,perm_low_glob2,perm_high_cont2,perm_medium_cont2,perm_low_cont2,lakes_depth_mean,lakes_depth_mean_norm,q_mean_yr,p_mean_yr,norm_ups_cap,NSE,NSElstm,basin_id,group
0,O149431003,Le Touyre Ã  Lavelanet et Ã  Saint-Quentin-la-Tour,FR,FR_EAUFRANCE,Le Touyre à Lavelanet et à Saint-Quentin-la-Tour,1.850824,42.940862,1.850824,42.940862,442,68.0,68.443,0,-0.6514705882352909,1969-01-01,2023-09-30,55,657,19919,9932,77.0,19433.0,0.0,486.0,A,,541,4,"['FR004134', 'FR004135', 'FR004136', 'FR001570']",2.32,0.932,0.797,2.685,0.625,180.154,29.834,0.313,6.918,2.376,1.654,41.081,6.657,0.0,2.435,2.259,0.928,-0.118,0.051,18.26,1.248,3.0,241.663,4.383,4.0,2327.901,1097.04,505.403,17.331,6.567,60.688,0.564,0.177,2,0.827,0.0,43.981,33.071,22.949,6.607,16.342,24.036,9.035,43.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.985,7.878,47.137,0.0,0.0,0.0,0.0,0.0,0.0,64.0,130.0,30.0,47.981,52.943,29.786,17.271,10.886,1.465,1.199,0.198,0.635,0.06,0.0,0.16,0.612,0.169,0.16,0.0,0.0,0.0,0.0,0.0,8.588,0.0,0.0,1.0,23.0,77.0,0.0,0.0,52.863,47.137,,0.0,846.8,888.775,0.0,0.7000213234581474,0.8152177482843399,FR004136,Group_1
1,O062401001,O0624010,FR,FR_EAUFRANCE,Le Volp à Montberaud et à Sainte-Croix-Volvestre,1.141456,43.144783,1.141456,43.144783,274,91.0,90.577,0,0.4648351648351668,1968-01-30,2023-09-30,56,669,20290,18221,43.0,19883.0,54.0,353.0,A,,541,1,['FR001547'],0.926,0.41,1.77,3.203,0.434,160.038,32.893,0.086,3.415,19.584,2.192,104.866,15.505,0.0,2.246,2.588,1.152,-0.061,0.009,19.158,1.22,3.0,245.582,4.462,4.0,741.238,475.752,278.268,9.442,7.585,12.876,0.554,0.188,8,1.007,0.0,20.864,66.349,12.788,0.0,12.788,16.721,49.628,20.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.088,130.0,30.0,52.873,36.176,38.835,24.989,9.626,1.381,1.381,0.26,0.742,0.0,0.027,0.41,0.559,0.005,0.437,0.0,0.0,0.0,0.0,0.0,0.539,1.189,0.517,2.0,13.0,87.0,0.0,0.0,100.0,0.0,,0.0,337.99,819.79,0.0,0.8234555338146552,0.8767879083752632,FR001547,Group_1
2,O023402001,Le Ger Ã  Aspet [2],FR,FR_EAUFRANCE,Le Ger à Aspet [2],0.79535,43.021419,0.79535,43.021419,416,95.0,93.134,0,1.9642105263157887,1983-01-01,2023-09-30,41,489,14882,7813,1.0,14506.0,0.0,376.0,A,,541,2,"['FR004090', 'FR004091']",2.52,0.897,0.808,2.354,0.642,169.897,32.109,0.602,7.004,2.42,1.463,3.729,4.719,0.0,2.85,2.176,0.764,-0.1,0.118,15.702,1.205,1.0,224.274,4.05,4.0,2105.65,1035.152,422.123,22.366,0.901,78.242,0.589,0.136,8,0.644,8.827,30.803,56.45099999999999,3.918,1.006,2.912,19.474,36.977,30.803,0.0,0.0,0.0,0.0,0.0,0.0,8.827,0.0,0.0,0.0,44.107,5.742,50.151,0.0,0.0,0.0,0.0,0.0,0.0,46.344,130.0,30.0,53.684,44.882,36.075,19.043,13.43,1.432,1.449,0.22,0.679,0.004,0.0,0.088,0.78,0.128,0.088,0.0,0.0,0.0,0.0,0.0,5.654,0.0,0.0,0.0,4.0,87.0,9.0,0.0,49.849,50.151,,0.0,919.8,1040.25,0.0,0.7236981426560894,0.8489941507577896,FR004091,Group_1
3,O221501001,O2215010,FR,FR_EAUFRANCE,La Saune à Quint-Fonsegrives,1.548308,43.574698,1.548308,43.574698,,106.0,108.995,0,-2.825471698113212,1971-06-05,2023-09-30,52,612,18568,12690,543.0,18459.0,0.0,109.0,A,,541,2,"['FR004158', 'FR001592']",0.321,0.18,3.388,5.176,0.475,156.872,37.862,0.009,1.11,24.948,4.64,153.723,21.721,0.015,1.802,2.639,1.464,-0.073,0.008,19.797,1.208,3.0,256.644,5.001,4.0,294.699,210.916,145.828,3.478,50.943,0.011,0.458,0.204,9,1.047,0.0,0.0,89.179,10.821,10.821,0.0,89.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.197,97.803,0.0,0.0,0.0,0.0,2.197,0.0,0.0,0.0,108.505,130.0,30.0,56.9,25.271,35.252,39.477,8.271,1.292,1.11,0.08,0.464,0.031,0.836,0.11,0.023,0.0,0.946,0.0,0.0,3.0,0.37,1.35,0.327,10.823,14.816,1.0,11.0,89.0,0.0,2.197,97.803,0.0,3.648648648648649,12.385889260975276,117.165,657.73,0.018831267025945717,0.809931586673124,0.8118488639593124,FR001592,Group_1
4,O158461001,O1584610,FR,FR_EAUFRANCE,Le Douctouyre à Dun et à Vira [Engraviès],1.772643,43.04356,1.772643,43.04356,301,131.0,135.007,0,-3.058778625954202,1968-01-31,2023-09-30,56,665,20137,11165,195.0,19238.0,1.0,898.0,C,,541,3,"['FR001575', 'FR001576', 'FR001577']",1.042,0.448,1.197,4.691,0.451,150.771,29.656,0.047,3.896,22.85,3.159,138.775,23.009,0.002,2.282,2.355,1.032,-0.122,0.03,18.464,1.242,3.0,243.772,4.441,4.0,1555.522,559.939,307.421,12.257,7.508,33.019,0.554,0.157,9,0.972,0.0,5.119,91.888,2.994,0.237,2.757,75.561,16.327,5.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.518,0.0,5.483,0.0,0.0,0.0,0.0,0.0,0.0,93.556,130.0,30.0,44.976,55.726,26.748,17.526,9.156,1.472,1.001,0.209,0.685,0.0,0.031,0.275,0.55,0.143,0.306,0.0,0.0,0.0,0.0,0.0,0.873,2.87,2.04,1.0,3.0,97.0,0.0,0.0,94.518,5.483,,0.0,380.33000000000004,832.9300000000001,0.0,0.8528870937025781,0.8491630852222443,FR001577,Group_1
5,O144291002,Le Grand Hers Ã  Laroque-d'Olmes et au Peyrat,FR,FR_EAUFRANCE,Le Grand Hers à Laroque-d'Olmes et au Peyrat,1.935437,42.954244,1.935437,42.954244,413,190.0,189.677,0,0.1700000000000039,1962-01-01,2023-09-30,62,740,22492,13958,61.0,20986.0,2.0,1504.0,C,,541,5,"['FR004131', 'FR004132', 'FR001566', 'FR001567', 'FR001568']",1.837,0.747,0.813,2.752,0.664,174.525,27.912,0.389,4.965,2.413,1.591,12.278,7.844,0.0,2.421,2.257,0.932,-0.123,0.049,18.397,1.246,3.0,241.808,4.395,4.0,2326.972,1063.854,416.463,18.218,3.907,59.97,0.558,0.185,8,0.825,0.616,14.036,74.645,10.702,0.0,10.702,16.473,58.172,14.036,0.0,0.0,0.0,0.0,0.0,0.0,0.616,0.0,0.0,0.0,63.723,13.532,22.745,0.0,0.0,0.0,0.0,0.0,0.0,85.729,130.0,30.0,52.729,42.234,37.427,20.339,11.88,1.411,1.17,0.212,0.672,0.009,0.001,0.139,0.6379999999999999,0.208,0.14,0.0,0.0,0.0,0.0,0.0,7.511,0.0,0.02,2.0,11.0,88.0,1.0,0.0,77.255,22.745,,0.0,670.505,883.665,0.0,0.8085237317627847,0.8758973330259323,FR004132,Group_1
6,O074404001,L'Arize au Mas-d'Azil,FR,FR_EAUFRANCE,L'Arize au Mas-d'Azil,1.361074,43.082951,1.361074,43.082951,280,218.0,236.993,0,-8.712385321100916,1974-01-01,2023-09-30,50,596,18100,12134,70.0,12340.0,3831.0,1929.0,C,,541,5,"['FR004113', 'FR004114', 'FR001548', 'FR001549', 'FR001550']",1.516,0.634,0.374,2.901,0.534,160.733,33.059,0.194,4.958,9.127,1.982,65.026,11.45,0.0,2.354,2.429,1.032,-0.079,0.022,18.355,1.216,3.0,239.364,4.292,4.0,1606.318,579.685,272.477,13.222,7.556,36.801,0.621,0.161,8,0.968,0.643,11.457,63.551,24.348,0.0,24.348,19.199,44.352,11.457,0.0,0.0,0.0,0.0,0.0,0.0,0.643,0.0,0.0,0.0,56.047,0.0,43.953,0.0,0.0,0.0,0.0,0.0,0.0,58.739,130.0,30.0,49.963,40.782,38.584,20.634,11.651,1.405,1.502,0.236,0.729,0.005,0.034,0.39,0.509,0.0579999999999999,0.424,1.0,1.0,1.0,0.59,3.64,1.393,1.178,0.915,1.0,24.0,75.0,1.0,0.0,56.047,43.953,6.169491525423729,15.359103433434743,553.34,859.21,0.01787584342993534,0.814796664814459,0.8771713823080063,FR004114,Group_1
7,O095000101,Le Louge au Fousseret,FR,FR_EAUFRANCE,Le Louge au Fousseret,1.05995,43.267264,1.05995,43.267264,246,272.0,273.571,0,-0.5775735294117744,1970-10-01,2018-09-30,46,528,16033,14610,1499.0,15568.0,0.0,465.0,C,,541,3,"['FR004118', 'FR004119', 'FR001552']",0.619,0.274,1.774,2.331,0.506,163.619,36.604,0.087,2.069,13.327,2.294,44.628,7.836,0.0,2.255,2.591,1.149,-0.073,0.008,18.396,1.217,3.0,240.316,4.413,4.0,589.567,358.935,248.945,5.039,32.337,0.66,0.347,0.269,9,6.959,0.0,0.0,70.634,29.366,29.366,0.0,65.506,5.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.462,94.538,0.0,0.0,0.0,0.0,5.462,0.0,0.0,0.0,104.945,130.0,30.0,55.153,29.187,36.63,34.183,10.333,1.323,1.28,0.149,0.626,0.008,0.322,0.499,0.169,0.003,0.821,0.0,0.0,1.0,0.1,0.42,0.421,10.777,16.014,3.0,28.999999999999996,71.0,0.0,5.462,94.538,0.0,4.199999999999999,1.5352504468675405,225.935,823.0749999999999,0.0018652619103575502,0.8051072426283448,0.8645194321870804,FR004119,Group_1
8,O079401001,O0794010,FR,FR_EAUFRANCE,L'Arize à Rieux-Volvestre [Volvestre],1.193608,43.241706,1.193608,43.241706,205,476.0,478.037,0,-0.4279411764705835,1968-10-02,2023-09-30,56,657,19911,11807,176.0,18930.0,0.0,981.0,C,,541,6,"['FR004113', 'FR004114', 'FR001548', 'FR001549', 'FR001550', 'FR001551']",0.931,0.405,1.804,3.228,0.523,161.06,33.871,0.114,3.091,11.168,2.141,79.467,9.561,0.0,2.276,2.501,1.099,-0.073,0.015,18.736,1.222,3.0,243.364,4.418,4.0,1606.318,454.496,209.213,9.939,16.623,20.633,0.548,0.169,9,2.856,0.319,5.68,71.982,22.019,9.909,12.11,45.207,26.775,5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.319,0.0,0.0,11.199,67.011,0.0,21.79,0.0,0.0,11.199,0.0,0.0,0.0,79.937,130.0,30.0,51.27,37.339,34.568,28.093,11.013,1.369,1.348,0.201,0.688,0.006,0.135,0.437,0.389,0.03,0.5720000000000001,1.0,1.0,2.0,0.71,4.21,0.903,11.708,11.365,2.0,22.0,78.0,0.0,11.199,67.011,21.79,5.929577464788733,8.806849678999743,339.815,830.7399999999999,0.010601210582131286,0.879980016294058,0.9207520633935928,FR001551,Group_1
9,O255000201,La Save Ã  Larra,FR,FR_EAUFRANCE,La Save à Larra,1.244217,43.728025,1.244217,43.728025,111,1110.0,1113.035,0,-0.2734234234234308,1965-10-01,2023-09-30,55,633,19265,16801,1919.0,18757.0,0.0,508.0,C,,541,9,"['FR004161', 'FR001521', 'FR001597', 'FR001599', 'FR001600', 'FR001601', 'FR001602', 'FR001603', 'FR004162']",0.458,0.225,2.113,2.55,0.539,160.51,37.875,0.063,1.545,12.249,2.845,47.226,5.436,0.0,2.026,2.622,1.294,-0.06,0.006,18.886,1.218,3.0,245.419,4.61,4.0,635.938,254.384,113.157,4.724,36.005,0.543,0.44,0.197,9,9.976,0.0,0.063,70.25500000000001,29.682,29.682,0.0,69.811,0.444,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.266,82.734,0.0,0.0,0.0,0.0,17.266,0.0,0.0,0.0,97.112,130.0,30.0,54.16,32.875,41.105,26.021,10.221,1.372,1.289,0.11,0.547,0.013,0.6,0.2799999999999999,0.103,0.001,0.8799999999999999,1.0,1.0,4.0,0.87,3.87,0.346,88.317,120.641,7.0,30.0,70.0,0.0,17.266,82.734,0.0,4.448275862068965,3.476979609805621,167.17000000000002,739.4899999999999,0.004701861566492612,0.8133498128556356,0.8589849174022675,FR004162,Group_1
