,gauge_id,gauge_name,gauge_country,gauge_provider,river,lon_snap,lat_snap,lon,lat,elevation,area_official,area_estreams,area_flag,area_rel,start_date,end_date,num_years,num_months,num_days,num_continuous_days,num_days_gaps,num_days_reliable,num_days_noflag,num_days_suspect,gauge_flag,duplicated_suspect,watershed_group,gauges_upstream,nested_catchments,q_mean,q_runoff_ratio,q_elas_Sankarasubramanian,slope_sawicz,baseflow_index,hfd_mean,hfd_std,q_5,q_95,hq_freq,hq_dur,lq_freq,lq_dur,zero_q_freq,p_mean,pet_mean,aridity,p_seasonality,frac_snow,hp_freq,hp_dur,hp_time,lp_freq,lp_dur,lp_time,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens,lit_dom,bedrk_dep,perm_verylow_glob,perm_low_glob,perm_medium_glob,perm_high_glob,lit_fra_su,lit_fra_ss,lit_fra_sm,lit_fra_sc,lit_fra_mt,lit_fra_pi,lit_fra_py,lit_fra_vi,lit_fra_ev,lit_fra_ig,lit_fra_pa,lit_fra_pb,lit_fra_va,lit_fra_vb,perm_high_cont,perm_medium_cont,perm_low_cont,perm_verylow_cont,lit_fra_Conglomerates,lit_fra_Conglomerates and sands,lit_fra_Gravels,lit_fra_Sands,lit_fra_Sandstones,lit_fra_Sandstones and sands,root_dep_mean,root_dep_max,root_dep_min,soil_tawc_mean,soil_fra_sand_mean,soil_fra_silt_mean,soil_fra_clay_mean,soil_fra_grav_mean,soil_bd_mean,soil_oc_mean,lai_mean,ndvi_mean,lulc_2006_urban,lulc_2006_NonIrriAgri,lulc_2006_Agric,lulc_2006_forest,lulc_2006_grass,lulc_2006_agriculture,dam_num,res_num,lakes_num,lakes_tot_area,lakes_tot_vol,sno_cov_mean,irri_1990,irri_2005,stations_num_p_mean,perm_high_glob2,perm_medium_glob2,perm_low_glob2,perm_high_cont2,perm_medium_cont2,perm_low_cont2,lakes_depth_mean,lakes_depth_mean_norm,q_mean_yr,p_mean_yr,norm_ups_cap,KGE,KGElstm,basin_id,group
0,O012622101,O0126210,FR,FR_EAUFRANCE,La Neste de Rioumajou à Tramezaïgues [Maison Blanche],0.299401,42.792046,0.299401,42.792046,1026,63.7,66.46,0,-4.332810047095747,1948-01-01,2021-08-31,74,884,26907,26907,0.0,18744.0,7210.0,953.0,B,,541,1,['FR001504'],2.76,0.88,0.844,2.45,0.641,233.571,11.226,0.524,8.294,1.995,1.907,21.112,5.199,0.0,3.113,2.004,0.644,-0.128,0.268,14.451,1.204,1.0,224.132,4.14,4.0,3005.921,2074.086,1064.65,31.327,0.279,93.393,0.624,0.107,2,0.481,0.427,75.589,11.728,12.222,0.0,12.222,2.595,9.133,75.589,0.0,0.0,0.0,0.0,0.0,0.0,0.427,0.0,0.0,0.0,8.187,0.0,91.812,0.0,0.0,0.0,0.0,0.0,0.0,98.485,150.0,30.0,43.049,61.303,24.485,14.212,17.727,1.515,1.577,0.09,0.381,0.0,0.0,0.0,0.347,0.6529999999999999,0.0,1.0,0.0,0.0,0.0,0.0,29.529,0.0,0.0,2.0,12.0,88.0,0.0,0.0,8.187,91.812,,0.0,1007.4,1136.245,0.0,0.7223800814071226,0.7783480014586098,FR001504,Group_1
1,O146401001,Le Blau Ã  Chalabre,FR,FR_EAUFRANCE,Le Blau à Chalabre,2.015837,42.977773,2.015837,42.977773,375,67.0,70.736,0,-5.576119402985081,1961-08-01,2023-09-30,63,744,22620,16274,86.0,21659.0,1.0,960.0,A,,541,1,['FR004133'],1.072,0.47,1.749,4.938,0.375,147.644,33.902,0.021,4.739,35.572,4.236,161.921,29.202,0.0,2.241,2.345,1.046,-0.032,0.032,18.778,1.241,3.0,249.469,4.638,4.0,1144.136,676.001,380.175,11.94,11.775,32.665,0.548,0.119,9,0.919,0.0,0.0,100.0,0.0,0.0,0.0,70.87,29.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.26,130.0,30.0,51.278,42.534,28.562,28.904,15.493,1.379,1.356,0.239,0.725,0.006,0.041,0.274,0.655,0.025,0.315,0.0,0.0,0.0,0.0,0.0,1.612,1.233,1.055,3.0,0.0,100.0,0.0,0.0,100.0,0.0,,0.0,391.28000000000003,817.965,0.0,0.6139596873469177,0.7000931068124983,FR004133,Group_1
2,O023402001,Le Ger Ã  Aspet [2],FR,FR_EAUFRANCE,Le Ger à Aspet [2],0.79535,43.021419,0.79535,43.021419,416,95.0,93.134,0,1.9642105263157887,1983-01-01,2023-09-30,41,489,14882,7813,1.0,14506.0,0.0,376.0,A,,541,2,"['FR004090', 'FR004091']",2.52,0.897,0.808,2.354,0.642,169.897,32.109,0.602,7.004,2.42,1.463,3.729,4.719,0.0,2.85,2.176,0.764,-0.1,0.118,15.702,1.205,1.0,224.274,4.05,4.0,2105.65,1035.152,422.123,22.366,0.901,78.242,0.589,0.136,8,0.644,8.827,30.803,56.45099999999999,3.918,1.006,2.912,19.474,36.977,30.803,0.0,0.0,0.0,0.0,0.0,0.0,8.827,0.0,0.0,0.0,44.107,5.742,50.151,0.0,0.0,0.0,0.0,0.0,0.0,46.344,130.0,30.0,53.684,44.882,36.075,19.043,13.43,1.432,1.449,0.22,0.679,0.004,0.0,0.088,0.78,0.128,0.088,0.0,0.0,0.0,0.0,0.0,5.654,0.0,0.0,0.0,4.0,87.0,9.0,0.0,49.849,50.151,,0.0,919.8,1040.25,0.0,0.6361544077540381,0.8685826147885415,FR004091,Group_1
3,O221501001,O2215010,FR,FR_EAUFRANCE,La Saune à Quint-Fonsegrives,1.548308,43.574698,1.548308,43.574698,,106.0,108.995,0,-2.825471698113212,1971-06-05,2023-09-30,52,612,18568,12690,543.0,18459.0,0.0,109.0,A,,541,2,"['FR004158', 'FR001592']",0.321,0.18,3.388,5.176,0.475,156.872,37.862,0.009,1.11,24.948,4.64,153.723,21.721,0.015,1.802,2.639,1.464,-0.073,0.008,19.797,1.208,3.0,256.644,5.001,4.0,294.699,210.916,145.828,3.478,50.943,0.011,0.458,0.204,9,1.047,0.0,0.0,89.179,10.821,10.821,0.0,89.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.197,97.803,0.0,0.0,0.0,0.0,2.197,0.0,0.0,0.0,108.505,130.0,30.0,56.9,25.271,35.252,39.477,8.271,1.292,1.11,0.08,0.464,0.031,0.836,0.11,0.023,0.0,0.946,0.0,0.0,3.0,0.37,1.35,0.327,10.823,14.816,1.0,11.0,89.0,0.0,2.197,97.803,0.0,3.648648648648649,12.385889260975276,117.165,657.73,0.018831267025945717,0.616066995477019,0.8703324133371292,FR001592,Group_1
4,O158461001,O1584610,FR,FR_EAUFRANCE,Le Douctouyre à Dun et à Vira [Engraviès],1.772643,43.04356,1.772643,43.04356,301,131.0,135.007,0,-3.058778625954202,1968-01-31,2023-09-30,56,665,20137,11165,195.0,19238.0,1.0,898.0,C,,541,3,"['FR001575', 'FR001576', 'FR001577']",1.042,0.448,1.197,4.691,0.451,150.771,29.656,0.047,3.896,22.85,3.159,138.775,23.009,0.002,2.282,2.355,1.032,-0.122,0.03,18.464,1.242,3.0,243.772,4.441,4.0,1555.522,559.939,307.421,12.257,7.508,33.019,0.554,0.157,9,0.972,0.0,5.119,91.888,2.994,0.237,2.757,75.561,16.327,5.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.518,0.0,5.483,0.0,0.0,0.0,0.0,0.0,0.0,93.556,130.0,30.0,44.976,55.726,26.748,17.526,9.156,1.472,1.001,0.209,0.685,0.0,0.031,0.275,0.55,0.143,0.306,0.0,0.0,0.0,0.0,0.0,0.873,2.87,2.04,1.0,3.0,97.0,0.0,0.0,94.518,5.483,,0.0,380.33000000000004,832.9300000000001,0.0,0.7122642306293342,0.8098044792090673,FR001577,Group_1
5,O074404001,L'Arize au Mas-d'Azil,FR,FR_EAUFRANCE,L'Arize au Mas-d'Azil,1.361074,43.082951,1.361074,43.082951,280,218.0,236.993,0,-8.712385321100916,1974-01-01,2023-09-30,50,596,18100,12134,70.0,12340.0,3831.0,1929.0,C,,541,5,"['FR004113', 'FR004114', 'FR001548', 'FR001549', 'FR001550']",1.516,0.634,0.374,2.901,0.534,160.733,33.059,0.194,4.958,9.127,1.982,65.026,11.45,0.0,2.354,2.429,1.032,-0.079,0.022,18.355,1.216,3.0,239.364,4.292,4.0,1606.318,579.685,272.477,13.222,7.556,36.801,0.621,0.161,8,0.968,0.643,11.457,63.551,24.348,0.0,24.348,19.199,44.352,11.457,0.0,0.0,0.0,0.0,0.0,0.0,0.643,0.0,0.0,0.0,56.047,0.0,43.953,0.0,0.0,0.0,0.0,0.0,0.0,58.739,130.0,30.0,49.963,40.782,38.584,20.634,11.651,1.405,1.502,0.236,0.729,0.005,0.034,0.39,0.509,0.0579999999999999,0.424,1.0,1.0,1.0,0.59,3.64,1.393,1.178,0.915,1.0,24.0,75.0,1.0,0.0,56.047,43.953,6.169491525423729,15.359103433434743,553.34,859.21,0.01787584342993534,0.7404941421297331,0.9065619030541848,FR004114,Group_1
6,O095000101,Le Louge au Fousseret,FR,FR_EAUFRANCE,Le Louge au Fousseret,1.05995,43.267264,1.05995,43.267264,246,272.0,273.571,0,-0.5775735294117744,1970-10-01,2018-09-30,46,528,16033,14610,1499.0,15568.0,0.0,465.0,C,,541,3,"['FR004118', 'FR004119', 'FR001552']",0.619,0.274,1.774,2.331,0.506,163.619,36.604,0.087,2.069,13.327,2.294,44.628,7.836,0.0,2.255,2.591,1.149,-0.073,0.008,18.396,1.217,3.0,240.316,4.413,4.0,589.567,358.935,248.945,5.039,32.337,0.66,0.347,0.269,9,6.959,0.0,0.0,70.634,29.366,29.366,0.0,65.506,5.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.462,94.538,0.0,0.0,0.0,0.0,5.462,0.0,0.0,0.0,104.945,130.0,30.0,55.153,29.187,36.63,34.183,10.333,1.323,1.28,0.149,0.626,0.008,0.322,0.499,0.169,0.003,0.821,0.0,0.0,1.0,0.1,0.42,0.421,10.777,16.014,3.0,28.999999999999996,71.0,0.0,5.462,94.538,0.0,4.199999999999999,1.5352504468675405,225.935,823.0749999999999,0.0018652619103575502,0.7494381407553663,0.8358835394104809,FR004119,Group_1
7,O187401001,La LÃ¨ze Ã  Labarthe-sur-LÃ¨ze,FR,FR_EAUFRANCE,La Lèze à Labarthe-sur-Lèze,1.406594,43.45119,1.406594,43.45119,159,351.0,368.121,0,-4.877777777777773,1968-09-28,2023-09-30,56,661,20076,12990,15.0,19948.0,0.0,128.0,A,,541,8,"['FR004146', 'FR004147', 'FR004148', 'FR004149', 'FR004150', 'FR004151', 'FR004152', 'FR001580']",0.442,0.217,2.099,4.597,0.461,164.528,38.919,0.019,1.655,27.635,4.075,148.026,18.576,0.0,2.028,2.578,1.272,-0.067,0.009,19.335,1.216,3.0,250.63,4.679,4.0,791.756,313.515,165.3,6.586,23.584,5.027,0.4,0.188,9,7.092,0.0,2.666,83.67899999999999,13.656,13.656,0.0,74.698,8.981,2.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.37,81.17399999999999,0.0,0.4559999999999999,0.0,0.0,18.37,0.0,0.0,0.0,94.558,130.0,30.0,54.094,29.727,35.684,34.59,11.338,1.325,1.278,0.134,0.58,0.014,0.424,0.3959999999999999,0.153,0.012,0.82,1.0,1.0,1.0,0.42,3.18,0.407,29.664,24.07,3.0,14.000000000000002,86.0,0.0,18.37,81.17399999999999,0.4559999999999999,7.571428571428572,8.638463983309837,161.33,740.22,0.011670130479195153,0.6558046820986716,0.8178389263666433,FR004152,Group_1
8,O098401001,Le Louge Ã  Muret,FR,FR_EAUFRANCE,Le Louge à Muret,1.31701,43.459968,1.31701,43.459968,163,486.0,495.639,0,-1.983333333333336,1968-09-11,2023-09-30,56,652,19708,14745,400.0,18898.0,0.0,810.0,C,,541,6,"['FR004118', 'FR004119', 'FR004120', 'FR001552', 'FR001553', 'FR001587']",0.993,0.47,1.338,1.22,0.67,154.062,29.314,0.275,2.301,2.7,1.835,7.131,6.079,0.001,2.124,2.602,1.225,-0.065,0.008,18.695,1.221,3.0,243.745,4.539,4.0,589.567,310.062,166.391,3.659,52.576,0.45,0.312,0.276,11,17.986,0.0,0.0,44.987,55.013,55.013,0.0,41.127,3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.056,68.944,0.0,0.0,0.0,0.0,31.056,0.0,0.0,0.0,113.895,130.0,30.0,57.122,30.84,40.594,28.566,9.404,1.36,1.146,0.131,0.592,0.022,0.404,0.429,0.13,0.002,0.8330000000000001,0.0,0.0,7.0,1.25,2.71,0.396,61.881,80.417,5.0,55.00000000000001,45.0,0.0,31.056,68.944,0.0,2.168,5.467689185072199,362.445,775.26,0.007052716746732966,0.7347997945901881,0.8012575470448824,FR004120,Group_1
9,O017402701,O0174010,FR,FR_EAUFRANCE,La Neste à Sarrancolin [Beyrède],0.380714,42.956531,0.380714,42.956531,630,606.0,613.227,0,-1.1925742574257383,1961-01-01,2021-08-31,61,728,22158,22158,0.0,19159.0,2529.0,470.0,B,,541,13,"['FR004088', 'FR004089', 'FR001502', 'FR001503', 'FR001504', 'FR001505', 'FR001506', 'FR001507', 'FR001508', 'FR001509', 'FR001510', 'FR001514', 'FR001515']",2.63,0.813,0.831,1.253,0.773,217.322,15.591,1.04,5.819,0.115,1.4,1.187,3.789,0.0,3.133,2.065,0.659,-0.137,0.218,14.783,1.208,1.0,220.182,4.048,4.0,3149.636,1773.804,638.899,26.798,1.81,85.205,0.854,0.142,10,0.594,10.789,20.421000000000003,33.108,35.678999999999995,1.458,34.221,10.257,22.851,18.981,1.44,0.0,0.0,0.0,0.0,10.511,0.278,0.0,0.0,0.0,2.341,2.911,94.748,0.0,0.0,0.0,0.0,0.0,0.0,73.213,150.0,30.0,49.416,47.708,33.241,19.051,14.387,1.437,1.472,0.119,0.438,0.006,0.0,0.0669999999999999,0.316,0.5990000000000001,0.0669999999999999,6.0,5.0,6.0,1.73,16.93,23.147,0.0,0.0,3.0,36.0,53.0,11.0,0.0,5.252000000000001,94.748,9.786127167630058,27.608047264716003,959.9499999999999,1143.545,0.024142510583069317,0.6024230948759434,0.8074186123333355,FR001514,Group_1
