,gauge_id,gauge_name,gauge_country,gauge_provider,river,lon_snap,lat_snap,lon,lat,elevation,area_official,area_estreams,area_flag,area_rel,start_date,end_date,num_years,num_months,num_days,num_continuous_days,num_days_gaps,num_days_reliable,num_days_noflag,num_days_suspect,gauge_flag,duplicated_suspect,watershed_group,gauges_upstream,nested_catchments,q_mean,q_runoff_ratio,q_elas_Sankarasubramanian,slope_sawicz,baseflow_index,hfd_mean,hfd_std,q_5,q_95,hq_freq,hq_dur,lq_freq,lq_dur,zero_q_freq,p_mean,pet_mean,aridity,p_seasonality,frac_snow,hp_freq,hp_dur,hp_time,lp_freq,lp_dur,lp_time,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens,lit_dom,bedrk_dep,perm_verylow_glob,perm_low_glob,perm_medium_glob,perm_high_glob,lit_fra_su,lit_fra_ss,lit_fra_sm,lit_fra_sc,lit_fra_mt,lit_fra_pi,lit_fra_py,lit_fra_vi,lit_fra_ev,lit_fra_ig,lit_fra_pa,lit_fra_pb,lit_fra_va,lit_fra_vb,perm_high_cont,perm_medium_cont,perm_low_cont,perm_verylow_cont,lit_fra_Conglomerates,lit_fra_Conglomerates and sands,lit_fra_Gravels,lit_fra_Sands,lit_fra_Sandstones,lit_fra_Sandstones and sands,root_dep_mean,root_dep_max,root_dep_min,soil_tawc_mean,soil_fra_sand_mean,soil_fra_silt_mean,soil_fra_clay_mean,soil_fra_grav_mean,soil_bd_mean,soil_oc_mean,lai_mean,ndvi_mean,lulc_2006_urban,lulc_2006_NonIrriAgri,lulc_2006_Agric,lulc_2006_forest,lulc_2006_grass,lulc_2006_agriculture,dam_num,res_num,lakes_num,lakes_tot_area,lakes_tot_vol,sno_cov_mean,irri_1990,irri_2005,stations_num_p_mean,perm_high_glob2,perm_medium_glob2,perm_low_glob2,perm_high_cont2,perm_medium_cont2,perm_low_cont2,basin_id,group
0,O012622101,O0126210,FR,FR_EAUFRANCE,La Neste de Rioumajou à Tramezaïgues [Maison Blanche],0.299401,42.792046,0.299401,42.792046,1026,63.7,66.46,0,-4.332810047095747,1948-01-01,2021-08-31,74,884,26907,26907,0.0,18744.0,7210.0,953.0,B,,541,1,['FR001504'],2.76,0.88,0.844,2.45,0.641,233.571,11.226,0.524,8.294,1.995,1.907,21.112,5.199,0.0,3.113,2.004,0.644,-0.128,0.268,14.451,1.204,1.0,224.132,4.14,4.0,3005.921,2074.086,1064.65,31.327,0.279,93.393,0.624,0.107,2,0.481,0.427,75.589,11.728,12.222,0.0,12.222,2.595,9.133,75.589,0.0,0.0,0.0,0.0,0.0,0.0,0.427,0.0,0.0,0.0,8.187,0.0,91.812,0.0,0.0,0.0,0.0,0.0,0.0,98.485,150.0,30.0,43.049,61.303,24.485,14.212,17.727,1.515,1.577,0.09,0.381,0.0,0.0,0.0,0.347,0.6529999999999999,0.0,1.0,0.0,0.0,0.0,0.0,29.529,0.0,0.0,2.0,12.0,88.0,0.0,0.0,8.187,91.812,FR001504,Group_1
1,O055401001,O0554010,FR,FR_EAUFRANCE,L'Arbas à Castelbiague [Pont de Prades],0.928657,43.046218,0.928657,43.046218,332,98.0,91.751,0,6.376530612244894,1968-10-02,2023-09-30,56,660,20035,19571,52.0,19166.0,0.0,869.0,A,,541,2,"['FR004109', 'FR001544']",1.673,0.637,1.175,2.616,0.539,162.135,31.978,0.258,5.245,7.564,1.553,39.78,9.611,0.0,2.599,2.366,0.91,-0.087,0.038,16.477,1.213,3.0,227.717,4.107,4.0,1566.539,671.291,334.678,16.25,7.528,52.748,0.856,0.08,8,0.791,0.0,11.821,76.062,12.117,12.117,0.0,0.0,76.062,11.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.318,63.681,0.001,0.0,0.0,0.0,0.0,0.0,0.0,54.719,130.0,30.0,52.964,46.551,32.528,20.921,12.966,1.434,1.187,0.24,0.733,0.003,0.01,0.3,0.672,0.016,0.31,0.0,0.0,0.0,0.0,0.0,1.906,0.0,0.195,0.0,12.0,88.0,0.0,0.0,99.999,0.001,FR001544,Group_1
2,O029531001,O0295310,FR,FR_EAUFRANCE,La Noue à Laffite-Toupière [Moulin Laffite],0.914831,43.17061,0.914831,43.17061,291,120.0,120.325,0,-0.2708333333333357,1968-09-11,2023-09-30,56,657,19961,19040,147.0,19643.0,46.0,272.0,A,,541,1,['FR001526'],0.695,0.293,2.205,2.701,0.524,161.019,33.371,0.093,2.204,11.618,2.142,51.766,11.0,0.0,2.365,2.57,1.086,-0.077,0.01,18.423,1.225,3.0,238.983,4.344,4.0,544.414,411.43,295.524,5.244,31.19,1.541,0.363,0.216,9,4.78,0.0,0.0,81.406,18.594,18.594,0.0,41.317,40.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.947,99.053,0.0,0.0,0.0,0.0,0.947,0.0,0.0,0.0,122.742,130.0,30.0,55.739,25.702,33.347,40.952,7.573,1.287,1.073,0.167,0.654,0.01,0.201,0.5569999999999999,0.222,0.006,0.758,0.0,0.0,0.0,0.0,0.0,0.418,0.246,2.672,2.0,19.0,81.0,0.0,0.947,99.053,0.0,FR001526,Group_1
3,O203401001,L'Aussonnelle Ã  Seilh,FR,FR_EAUFRANCE,L'Aussonnelle à Seilh,1.355595,43.691837,1.355595,43.691837,115,192.0,184.291,0,4.015104166666669,1968-09-28,2023-09-30,56,652,19717,14196,374.0,18177.0,0.0,1540.0,C,,541,1,['FR004154'],0.367,0.21,2.561,2.568,0.442,159.8,35.386,0.034,1.266,17.774,2.547,76.865,7.822,0.0,1.769,2.631,1.487,-0.039,0.006,19.961,1.205,3.0,254.644,4.929,4.0,316.398,203.627,121.778,1.775,78.942,0.013,0.52,0.199,11,29.328,0.0,0.0,4.246,95.754,95.754,0.0,4.246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.065,61.935,0.0,0.0,0.0,0.0,38.065,0.0,0.0,0.0,128.674,130.0,70.0,63.5,38.492,44.21,17.298,4.061,1.442,1.021,0.106,0.548,0.173,0.421,0.213,0.176,0.002,0.634,0.0,0.0,0.0,0.0,0.0,0.284,24.538,32.923,3.0,96.0,4.0,0.0,38.065,61.935,0.0,FR004154,Group_1
4,O184402001,La LÃ¨ze Ã  LÃ©zat-sur-LÃ¨ze,FR,FR_EAUFRANCE,La Lèze à Lézat-sur-Lèze,1.352878,43.280809,1.352878,43.280809,199,237.0,253.092,0,-6.789873417721524,1968-02-13,2023-09-30,56,668,20303,13011,16.0,19038.0,0.0,1265.0,C,,541,5,"['FR004146', 'FR004147', 'FR004148', 'FR001580', 'FR004149']",0.489,0.228,2.357,4.026,0.448,163.717,38.808,0.02,1.818,25.554,3.741,135.756,14.474,0.0,2.124,2.558,1.205,-0.072,0.01,19.348,1.217,3.0,249.242,4.585,4.0,791.756,347.817,205.086,7.509,17.995,7.304,0.465,0.169,9,5.443,0.0,3.877,90.333,5.789,5.789,0.0,77.271,13.062,3.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.526,92.809,0.0,0.664,0.0,0.0,6.526,0.0,0.0,0.0,89.612,130.0,30.0,52.769,30.353,34.527,35.12,11.806,1.325,1.354,0.156,0.619,0.004,0.27,0.4929999999999999,0.211,0.017,0.7629999999999999,1.0,1.0,1.0,0.42,3.18,0.439,20.228,16.084,2.0,6.0,94.0,0.0,6.526,92.809,0.664,FR004149,Group_1
5,O048401001,O0484010,FR,FR_EAUFRANCE,Le Lez à Engomer [Balaguères],1.055137,42.949466,1.055137,42.949466,455,360.0,364.45,0,-1.236111111111108,1970-01-01,2023-09-30,54,645,19597,6878,34.0,17917.0,0.0,1680.0,C,,541,4,"['FR004107', 'FR001538', 'FR001539', 'FR001540']",2.598,0.886,1.008,2.111,0.698,192.353,25.763,0.638,6.448,0.674,1.333,9.438,1.223,0.0,2.877,2.154,0.749,-0.098,0.124,15.57,1.202,1.0,225.136,4.047,4.0,2839.857,1283.35,461.079,24.676,0.959,82.462,0.828,0.136,2,0.661,8.314,32.927,40.335,18.423,0.0,18.423,21.41,18.925,32.789,0.138,0.0,0.0,0.0,0.0,6.031,0.88,0.0,1.403,0.0,12.705,12.077,75.218,0.0,0.0,0.0,0.0,0.0,0.0,51.433,150.0,30.0,49.223,49.865,31.256,18.879,12.182,1.445,1.502,0.187,0.578,0.005,0.0,0.135,0.509,0.349,0.135,2.0,1.0,1.0,0.25,2.7,12.556,0.0,0.0,1.0,18.0,74.00000000000001,8.0,0.0,24.782,75.218,FR001539,Group_1
6,O098401001,Le Louge Ã  Muret,FR,FR_EAUFRANCE,Le Louge à Muret,1.31701,43.459968,1.31701,43.459968,163,486.0,495.639,0,-1.983333333333336,1968-09-11,2023-09-30,56,652,19708,14745,400.0,18898.0,0.0,810.0,C,,541,6,"['FR004118', 'FR004119', 'FR004120', 'FR001552', 'FR001553', 'FR001587']",0.993,0.47,1.338,1.22,0.67,154.062,29.314,0.275,2.301,2.7,1.835,7.131,6.079,0.001,2.124,2.602,1.225,-0.065,0.008,18.695,1.221,3.0,243.745,4.539,4.0,589.567,310.062,166.391,3.659,52.576,0.45,0.312,0.276,11,17.986,0.0,0.0,44.987,55.013,55.013,0.0,41.127,3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.056,68.944,0.0,0.0,0.0,0.0,31.056,0.0,0.0,0.0,113.895,130.0,30.0,57.122,30.84,40.594,28.566,9.404,1.36,1.146,0.131,0.592,0.022,0.404,0.429,0.13,0.002,0.8330000000000001,0.0,0.0,7.0,1.25,2.71,0.396,61.881,80.417,5.0,55.00000000000001,45.0,0.0,31.056,68.944,0.0,FR004120,Group_1
7,O017402701,O0174010,FR,FR_EAUFRANCE,La Neste à Sarrancolin [Beyrède],0.380714,42.956531,0.380714,42.956531,630,606.0,613.227,0,-1.1925742574257383,1961-01-01,2021-08-31,61,728,22158,22158,0.0,19159.0,2529.0,470.0,B,,541,13,"['FR004088', 'FR004089', 'FR001502', 'FR001503', 'FR001504', 'FR001505', 'FR001506', 'FR001507', 'FR001508', 'FR001509', 'FR001510', 'FR001514', 'FR001515']",2.63,0.813,0.831,1.253,0.773,217.322,15.591,1.04,5.819,0.115,1.4,1.187,3.789,0.0,3.133,2.065,0.659,-0.137,0.218,14.783,1.208,1.0,220.182,4.048,4.0,3149.636,1773.804,638.899,26.798,1.81,85.205,0.854,0.142,10,0.594,10.789,20.421000000000003,33.108,35.678999999999995,1.458,34.221,10.257,22.851,18.981,1.44,0.0,0.0,0.0,0.0,10.511,0.278,0.0,0.0,0.0,2.341,2.911,94.748,0.0,0.0,0.0,0.0,0.0,0.0,73.213,150.0,30.0,49.416,47.708,33.241,19.051,14.387,1.437,1.472,0.119,0.438,0.006,0.0,0.0669999999999999,0.316,0.5990000000000001,0.0669999999999999,6.0,5.0,6.0,1.73,16.93,23.147,0.0,0.0,3.0,36.0,53.0,11.0,0.0,5.252000000000001,94.748,FR001514,Group_1
8,O255000201,La Save Ã  Larra,FR,FR_EAUFRANCE,La Save à Larra,1.244217,43.728025,1.244217,43.728025,111,1110.0,1113.035,0,-0.2734234234234308,1965-10-01,2023-09-30,55,633,19265,16801,1919.0,18757.0,0.0,508.0,C,,541,9,"['FR004161', 'FR001521', 'FR001597', 'FR001599', 'FR001600', 'FR001601', 'FR001602', 'FR001603', 'FR004162']",0.458,0.225,2.113,2.55,0.539,160.51,37.875,0.063,1.545,12.249,2.845,47.226,5.436,0.0,2.026,2.622,1.294,-0.06,0.006,18.886,1.218,3.0,245.419,4.61,4.0,635.938,254.384,113.157,4.724,36.005,0.543,0.44,0.197,9,9.976,0.0,0.063,70.25500000000001,29.682,29.682,0.0,69.811,0.444,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.266,82.734,0.0,0.0,0.0,0.0,17.266,0.0,0.0,0.0,97.112,130.0,30.0,54.16,32.875,41.105,26.021,10.221,1.372,1.289,0.11,0.547,0.013,0.6,0.2799999999999999,0.103,0.001,0.8799999999999999,1.0,1.0,4.0,0.87,3.87,0.346,88.317,120.641,7.0,30.0,70.0,0.0,17.266,82.734,0.0,FR004162,Group_1
9,O166291001,Le Grand Hers Ã  Calmont,FR,FR_EAUFRANCE,Le Grand Hers à Calmont,1.595355,43.292483,1.595355,43.292483,201,1350.0,1375.513,0,-1.889851851851846,1996-08-02,2023-09-30,28,326,9920,6917,1.0,9476.0,0.0,444.0,A,,541,26,"['FR004131', 'FR004132', 'FR004133', 'FR004134', 'FR004135', 'FR004136', 'FR004137', 'FR004138', 'FR004139', 'FR004140', 'FR004141', 'FR001566', 'FR001567', 'FR001568', 'FR001569', 'FR001570', 'FR001571', 'FR001572', 'FR001573', 'FR001574', 'FR001575', 'FR001576', 'FR001577', 'FR001578', 'FR001579', 'FR004142']",0.709,0.338,1.985,2.311,0.58,163.346,31.141,0.149,2.173,9.291,2.841,13.639,5.825,0.0,2.142,2.44,1.139,-0.126,0.019,18.845,1.229,3.0,248.439,4.597,4.0,2327.901,531.642,204.82,8.904,27.17,19.752,0.62,0.188,9,5.54,0.085,4.626,71.993,23.296,20.737,2.559,58.989,13.004,4.626,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.0,0.0,19.471,72.252,2.258,6.02,0.0,0.0,19.471,0.0,0.0,0.0,109.448,130.0,30.0,49.57,45.263,31.051,23.686,8.975,1.419,1.003,0.165,0.62,0.012,0.184,0.35,0.375,0.072,0.534,1.0,1.0,3.0,4.79,63.7,1.976,140.568,129.335,8.0,23.0,77.0,0.0,19.471,74.50999999999999,6.02,FR004142,Group_1
