,gauge_id,gauge_name,gauge_country,gauge_provider,river,lon_snap,lat_snap,lon,lat,elevation,area_official,area_estreams,area_flag,area_rel,start_date,end_date,num_years,num_months,num_days,num_continuous_days,num_days_gaps,num_days_reliable,num_days_noflag,num_days_suspect,gauge_flag,duplicated_suspect,watershed_group,gauges_upstream,nested_catchments,q_mean,q_runoff_ratio,q_elas_Sankarasubramanian,slope_sawicz,baseflow_index,hfd_mean,hfd_std,q_5,q_95,hq_freq,hq_dur,lq_freq,lq_dur,zero_q_freq,p_mean,pet_mean,aridity,p_seasonality,frac_snow,hp_freq,hp_dur,hp_time,lp_freq,lp_dur,lp_time,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens,lit_dom,bedrk_dep,perm_verylow_glob,perm_low_glob,perm_medium_glob,perm_high_glob,lit_fra_su,lit_fra_ss,lit_fra_sm,lit_fra_sc,lit_fra_mt,lit_fra_pi,lit_fra_py,lit_fra_vi,lit_fra_ev,lit_fra_ig,lit_fra_pa,lit_fra_pb,lit_fra_va,lit_fra_vb,perm_high_cont,perm_medium_cont,perm_low_cont,perm_verylow_cont,lit_fra_Conglomerates,lit_fra_Conglomerates and sands,lit_fra_Gravels,lit_fra_Sands,lit_fra_Sandstones,lit_fra_Sandstones and sands,root_dep_mean,root_dep_max,root_dep_min,soil_tawc_mean,soil_fra_sand_mean,soil_fra_silt_mean,soil_fra_clay_mean,soil_fra_grav_mean,soil_bd_mean,soil_oc_mean,lai_mean,ndvi_mean,lulc_2006_urban,lulc_2006_NonIrriAgri,lulc_2006_Agric,lulc_2006_forest,lulc_2006_grass,lulc_2006_agriculture,dam_num,res_num,lakes_num,lakes_tot_area,lakes_tot_vol,sno_cov_mean,irri_1990,irri_2005,stations_num_p_mean,perm_high_regi,perm_medium_regi,perm_low_regi,perm_high_glob2,perm_medium_glob2,perm_low_glob2,basin_id,group
0,5,Schoenfels,LU,LU_CONTACTFORM,Mamer,6.100795,49.723112,6.100795,49.723112,,83.6,83.614,0,-0.0167464114832655,2002-01-01,2021-07-31,20,235,7152,7152,0.0,0.0,7152.0,0.0,B,,1,1,['LU000018'],0.913,0.41,0.851,2.395,0.538,129.278,19.736,0.235,2.973,11.797,1.791,,,0.0,2.258,2.128,0.943,-0.069,0.036,17.307,1.199,2.0,225.744,4.297,3.0,401.567,327.677,227.077,4.211,55.687,4.613,0.519,0.181,8,1.132,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.784,15.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.784,129.277,130.0,70.0,44.881,44.675,23.373,31.952,7.518,1.403,1.026,0.167,0.629,0.111,0.196,0.382,0.309,0.0,0.5780000000000001,0.0,0.0,0.0,0.0,0.0,3.184,0.015,0.015,17.0,39.0,61.0,0.0,0.0,100.0,0.0,LU000018,Group_1
1,6,Hunnebuer,LU,LU_CONTACTFORM,Eisch,6.079524,49.729184,6.079524,49.729184,,164.2,163.669,0,0.3233861144945051,2002-01-01,2021-07-31,20,235,7152,7152,0.0,0.0,7152.0,0.0,B,,1,1,['LU000010'],0.921,0.396,0.847,1.553,0.612,132.0,17.931,0.277,2.807,5.618,1.594,,,0.0,2.383,2.118,0.889,-0.105,0.038,17.416,1.195,2.0,223.539,4.245,4.0,427.846,336.879,228.144,4.771,43.801,3.964,0.54,0.241,8,1.159,0.0,0.0,98.666,1.334,1.334,0.0,0.0,98.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.985,22.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.985,118.263,150.0,50.0,40.604,63.868,15.934,20.198,5.228,1.528,0.727,0.173,0.636,0.072,0.219,0.3429999999999999,0.367,0.0,0.5619999999999999,0.0,0.0,0.0,0.0,0.0,3.484,0.026,0.026,16.0,42.0,57.99999999999999,0.0,1.0,99.0,0.0,LU000010,Group_1
2,17,Bigonville,LU,LU_CONTACTFORM,Sure,5.801399,49.869821,5.801399,49.869821,,308.4,308.476,0,-0.0246433203631717,2002-01-01,2021-07-31,20,235,7152,7152,0.0,0.0,7152.0,0.0,B,,1,2,"['BEWA0087', 'LU000001']",1.252,0.478,0.688,4.085,0.545,123.889,21.238,0.067,4.747,15.423,4.507,103.059,15.89,0.0,2.662,1.967,0.739,-0.105,0.05,15.457,1.176,2.0,209.103,3.929,4.0,565.0,459.681,325.298,5.311,27.725,1.959,0.786,0.177,10,1.116,0.0,0.0,0.0,100.0,6.954,93.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5,70.0,50.0,51.537,42.375,37.75,19.875,9.25,1.411,1.394,0.192,0.647,0.039,0.032,0.519,0.395,0.015,0.551,0.0,0.0,0.0,0.0,0.0,5.972,0.0,0.0,9.0,1.0,0.0,99.0,100.0,0.0,0.0,LU000001,Group_1
3,2674030900,Eisenschmitt,DE,DE_RP,Salm,6.718,50.048,6.718,50.048,,49.8,50.0,0,-0.4016064257028169,1966-09-01,2021-12-31,56,661,20120,19480,91.0,0.0,20120.0,0.0,B,,1,1,['DERP2028'],1.16,0.49,1.154,2.272,0.613,139.556,27.507,0.27,3.499,5.9,2.031,6.844,4.488,0.0,2.363,1.935,0.819,-0.056,0.059,16.749,1.175,2.0,218.056,3.937,3.0,638.303,496.279,322.812,5.964,24.064,4.144,0.555,0.098,10,1.011,1.381,0.0,19.846,78.773,0.0,78.773,0.0,19.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.381,88.568,0.0,0.0,11.432,0.0,0.0,0.0,0.0,88.568,0.0,102.0,130.0,30.0,52.288,39.6,40.42,19.98,9.54,1.408,1.4,0.205,0.675,0.0,0.028,0.244,0.727,0.0,0.272,0.0,0.0,0.0,0.0,0.0,6.656,0.0,0.0,10.0,80.0,7.000000000000001,13.0,79.0,20.0,1.0,DERP2028,Group_1
4,A900105050,A9001050,FR,FR_EAUFRANCE,La Sarre à Laneuveville-lès-Lorquin,7.008689,48.654579,7.008689,48.654579,268,72.0,70.75,0,1.7361111111111112,1968-08-01,2023-09-30,56,651,19750,5322,399.0,19568.0,62.0,120.0,A,,1,1,['FR000183'],1.471,0.569,1.701,2.137,0.73,152.76,23.017,0.358,3.531,0.743,1.818,8.881,7.242,0.0,2.568,2.045,0.796,-0.021,0.042,15.158,1.164,1.0,217.28,3.933,4.0,859.286,423.927,265.7,9.69,18.338,22.516,0.488,0.181,10,0.887,6.076,0.0,30.489,63.435,4.222,59.213,0.0,30.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.076,0.0,62.5,20.549,16.951,0.0,0.0,0.0,0.0,0.0,62.5,0.0,93.143,130.0,30.0,43.043,71.914,16.614,11.471,7.014,1.596,1.552,0.231,0.713,0.005,0.017,0.134,0.658,0.185,0.151,0.0,0.0,0.0,0.0,0.0,5.44,0.0,0.0,4.0,66.0,28.999999999999996,5.0,64.0,30.0,6.0,FR000183,Group_1
5,2628065000,Sinspelt,DE,DE_RP,Enz,6.323,49.97,6.323,49.97,,101.46,101.0,0,0.4533806426177743,1975-11-01,2021-12-31,47,552,16774,16132,89.0,0.0,16774.0,0.0,B,,1,1,['DERP2008'],1.118,0.454,1.409,3.743,0.454,125.614,19.31,0.041,4.179,15.765,3.055,113.686,15.222,0.0,2.43,1.95,0.803,-0.058,0.058,15.511,1.18,2.0,214.342,3.965,3.0,557.256,458.549,270.492,8.292,14.137,12.667,0.651,0.143,8,0.995,0.0,6.724,92.155,1.121,0.0,1.121,0.0,92.155,6.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.567,0.0,0.0,94.433,0.0,0.0,0.0,0.0,5.567,0.0,79.388,130.0,30.0,51.891,41.204,38.337,20.459,9.469,1.407,1.374,0.164,0.616,0.013,0.148,0.4899999999999999,0.349,0.0,0.6379999999999999,0.0,0.0,0.0,0.0,0.0,5.27,0.0,0.574,8.0,3.0,3.0,94.0,1.0,99.0,0.0,DERP2008,Group_1
6,A524201001,A5242010,FR,FR_EAUFRANCE,La Gitte à Velotte-et-Tatignécourt,6.174695,48.259608,6.174695,48.259608,273,114.0,114.081,0,-0.07105263157895,1980-01-01,2023-09-30,44,518,15660,6860,319.0,15001.0,572.0,87.0,B,,1,1,['FR000137'],1.047,0.408,1.637,2.963,0.507,130.231,25.543,0.142,3.837,15.25,1.958,69.493,10.89,0.0,2.584,2.207,0.854,-0.04,0.036,15.198,1.182,1.0,217.661,3.995,4.0,455.863,346.895,273.938,4.072,42.867,0.137,0.631,0.149,9,1.045,0.0,0.0,100.0,0.0,0.0,0.0,54.46,45.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25,91.729,0.021,0.0,0.0,0.0,0.0,0.0,8.25,0.0,130.0,130.0,130.0,54.805,24.286,29.795,45.92,7.455,1.265,0.995,0.18,0.644,0.027,0.259,0.432,0.279,0.004,0.6910000000000001,0.0,0.0,0.0,0.0,0.0,2.757,0.024,0.019,2.0,9.0,91.0,0.0,0.0,100.0,0.0,FR000137,Group_1
7,A906215050,L'Isch Ã  Postroff,FR,FR_EAUFRANCE,L'Isch à Postroff,7.071085,48.850216,7.071085,48.850216,232,147.0,147.47,0,-0.3197278911564618,1969-01-01,2023-09-30,55,641,19340,4709,656.0,18056.0,0.0,1284.0,C,,1,1,['FR003294'],0.93,0.412,1.646,2.733,0.494,136.957,27.549,0.108,3.24,14.555,2.056,69.433,9.358,0.0,2.263,2.136,0.944,-0.001,0.032,16.641,1.158,1.0,224.437,4.057,3.0,373.487,300.293,234.456,2.905,59.393,0.004,0.705,0.171,8,1.046,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.414,130.0,50.0,50.134,26.2,33.545,40.255,9.697,1.291,1.363,0.154,0.616,0.071,0.364,0.442,0.119,0.002,0.806,0.0,0.0,0.0,0.0,0.0,3.364,0.102,0.705,4.0,1.0,99.0,0.0,0.0,100.0,0.0,FR003294,Group_1
8,A902101060,A9021050,FR,FR_EAUFRANCE,La Sarre à Hermelange,7.014472,48.680322,7.014472,48.680322,258,186.0,188.492,0,-1.339784946236554,1968-08-01,2010-12-30,43,461,13781,4108,1711.0,13759.0,0.0,22.0,D,['FR003292'],1,3,"['FR000183', 'FR000184', 'FR000185']",0.84,0.313,2.188,3.528,0.536,145.097,26.169,0.08,3.337,23.721,4.431,101.457,9.716,0.0,2.579,2.039,0.79,-0.022,0.043,15.076,1.164,1.0,216.913,3.922,4.0,987.742,443.634,257.384,10.674,15.401,28.095,0.634,0.166,10,0.912,2.281,0.0,27.37,70.35,1.857,68.493,0.0,27.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.281,0.0,69.868,21.443,8.688,0.0,0.0,0.0,0.0,0.0,69.868,0.0,92.353,130.0,30.0,43.41,68.257,18.866,12.877,7.235,1.576,1.629,0.229,0.71,0.02,0.02,0.136,0.7030000000000001,0.121,0.156,0.0,0.0,0.0,0.0,0.0,5.536,0.0,0.0,5.0,75.0,23.0,2.0,71.0,27.0,2.0,FR000185,Group_1
9,A687201001,A6872010,FR,FR_EAUFRANCE,Le Sanon à Dombasle-sur-Meurthe,6.34156,48.627545,6.34156,48.627545,203,284.0,289.484,0,-1.930985915492951,1988-01-01,2023-09-30,36,425,12901,5176,156.0,12880.0,0.0,21.0,A,,1,3,"['FR003263', 'FR003264', 'FR000154']",0.857,0.401,1.417,1.99,0.54,135.161,23.957,0.175,3.134,11.035,2.867,17.109,5.714,0.0,2.203,2.215,1.005,0.006,0.03,16.015,1.179,1.0,224.56,4.095,3.0,355.418,257.29,206.065,2.73,65.947,0.002,0.477,0.161,9,2.775,0.0,0.0,99.259,0.741,0.741,0.0,84.196,15.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.672,93.569,0.0,0.76,0.0,0.0,0.003,0.0,5.669,0.0,126.966,130.0,50.0,51.695,29.086,30.628,40.286,8.172,1.263,2.163,0.157,0.609,0.033,0.45,0.242,0.252,0.014,0.6920000000000001,0.0,0.0,4.0,1.32,4.67,2.672,0.107,0.169,1.0,4.0,96.0,0.0,1.0,99.0,0.0,FR000154,Group_1
