,gauge_id,gauge_name,gauge_country,gauge_provider,river,lon_snap,lat_snap,lon,lat,elevation,area_official,area_estreams,area_flag,area_rel,start_date,end_date,num_years,num_months,num_days,num_continuous_days,num_days_gaps,num_days_reliable,num_days_noflag,num_days_suspect,gauge_flag,duplicated_suspect,watershed_group,gauges_upstream,nested_catchments,q_mean,q_runoff_ratio,q_elas_Sankarasubramanian,slope_sawicz,baseflow_index,hfd_mean,hfd_std,q_5,q_95,hq_freq,hq_dur,lq_freq,lq_dur,zero_q_freq,p_mean,pet_mean,aridity,p_seasonality,frac_snow,hp_freq,hp_dur,hp_time,lp_freq,lp_dur,lp_time,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens,lit_dom,bedrk_dep,perm_verylow_glob,perm_low_glob,perm_medium_glob,perm_high_glob,lit_fra_su,lit_fra_ss,lit_fra_sm,lit_fra_sc,lit_fra_mt,lit_fra_pi,lit_fra_py,lit_fra_vi,lit_fra_ev,lit_fra_ig,lit_fra_pa,lit_fra_pb,lit_fra_va,lit_fra_vb,perm_high_cont,perm_medium_cont,perm_low_cont,perm_verylow_cont,lit_fra_Conglomerates,lit_fra_Conglomerates and sands,lit_fra_Gravels,lit_fra_Sands,lit_fra_Sandstones,lit_fra_Sandstones and sands,root_dep_mean,root_dep_max,root_dep_min,soil_tawc_mean,soil_fra_sand_mean,soil_fra_silt_mean,soil_fra_clay_mean,soil_fra_grav_mean,soil_bd_mean,soil_oc_mean,lai_mean,ndvi_mean,lulc_2006_urban,lulc_2006_NonIrriAgri,lulc_2006_Agric,lulc_2006_forest,lulc_2006_grass,lulc_2006_agriculture,dam_num,res_num,lakes_num,lakes_tot_area,lakes_tot_vol,sno_cov_mean,irri_1990,irri_2005,stations_num_p_mean,perm_high_glob2,perm_medium_glob2,perm_low_glob2,perm_high_cont2,perm_medium_cont2,perm_low_cont2,basin_id,group
0,H201301001,L'OussiÃ¨re Ã  Chaumard,FR,FR_EAUFRANCE,L'Oussière à Chaumard,3.943499,47.144285,3.943499,47.144285,331,60.0,60.888,0,-1.4799999999999969,1990-08-01,2020-11-30,31,364,11080,11080,0.0,10794.0,0.0,286.0,A,,677,1,['FR003504'],2.159,0.753,1.336,2.923,0.637,136.1,21.517,0.245,6.613,1.912,2.32,57.062,9.948,0.0,2.815,2.163,0.768,-0.097,0.029,16.573,1.16,1.0,220.723,4.17,4.0,796.567,607.838,342.566,8.619,8.555,8.895,0.619,0.107,4,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.597,0.0,31.403,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,52.903,70.0,30.0,42.402,80.274,12.887,6.839,6.097,1.665,1.901,0.25,0.736,0.008,0.0,0.166,0.8160000000000001,0.01,0.166,0.0,0.0,0.0,0.0,0.0,3.141,0.0,0.0,2.0,0.0,0.0,100.0,0.0,0.0,100.0,FR003504,Group_1
1,F411000101,H3023211,FR,FR_EAUFRANCE,L'Aveyron à la Chapelle-sur-Aveyron et à Montbouy,2.870862,47.86278,2.870862,47.86278,124,99.0,98.053,0,0.9565656565656592,1996-08-28,2023-09-30,28,326,9894,9671,1.0,9571.0,0.0,323.0,A,,677,2,"['FR000318', 'FR000316']",0.399,0.209,2.129,2.952,0.486,133.615,30.73,0.049,1.516,21.687,3.0,75.681,14.104,0.0,1.891,2.351,1.243,-0.014,0.016,17.593,1.145,1.0,238.602,4.428,4.0,206.43,177.531,125.246,1.371,92.59,0.0,0.553,0.176,11,1.15,0.0,0.0,12.664,87.336,87.272,0.064,0.0,12.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.955,61.045,0.0,0.0,0.0,0.0,0.0,38.955,0.0,0.0,130.0,130.0,130.0,58.758,43.309,38.825,17.866,3.216,1.443,1.061,0.13,0.578,0.003,0.714,0.124,0.159,0.0,0.838,0.0,0.0,0.0,0.0,0.0,1.0,,,2.0,87.0,13.0,0.0,38.955,61.045,0.0,FR000316,Group_1
2,F462000101,H4223110,FR,FR_EAUFRANCE,La Rémarde à Saint-Cyr-sous-Dourdan,2.032986,48.569185,2.032986,48.569185,77,147.0,152.986,0,-4.072108843537408,1968-02-29,2023-09-30,56,668,20303,20303,0.0,17988.0,0.0,2315.0,C,,677,1,['FR000335'],0.356,0.207,1.25,1.191,0.729,152.944,13.662,0.125,0.858,1.518,1.4,0.235,4.333,0.0,1.68,2.214,1.317,0.017,0.016,18.777,1.149,4.0,243.895,4.457,4.0,180.02,144.783,74.646,2.271,73.075,0.021,0.69,0.137,11,16.074,0.0,0.0,24.035,75.965,75.965,0.0,0.0,24.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.665,39.335,0.0,0.0,0.0,0.0,0.0,60.665,0.0,0.0,129.61,130.0,70.0,56.927,58.675,27.325,14.0,3.26,1.531,1.402,0.177,0.637,0.0689999999999999,0.285,0.086,0.536,0.003,0.371,0.0,0.0,0.0,0.0,0.0,1.139,4.872,8.612,1.0,76.0,24.0,0.0,60.665,39.335,0.0,FR000335,Group_1
3,H243401001,L'Oze Ã  Darcey,FR,FR_EAUFRANCE,L'Oze à Darcey,4.539873,47.534681,4.539873,47.534681,275,205.0,200.388,0,2.249756097560973,1993-09-30,2023-09-30,31,359,10806,8147,152.0,10516.0,0.0,290.0,A,,677,2,"['FR000426', 'FR003523']",1.106,0.485,1.515,3.837,0.524,130.852,24.256,0.033,4.003,10.432,3.732,104.42,22.689,0.0,2.313,2.218,0.959,-0.015,0.033,15.811,1.145,1.0,226.519,4.219,4.0,602.386,458.73,262.654,6.668,34.005,8.348,0.503,0.231,8,1.003,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.426,130.0,30.0,54.911,41.282,37.98,20.738,6.629,1.405,1.07,0.167,0.637,0.016,0.317,0.305,0.362,0.0,0.6220000000000001,0.0,0.0,0.0,0.0,0.0,2.112,0.0,1.362,3.0,0.0,100.0,0.0,0.0,100.0,0.0,FR003523,Group_1
4,H050301001,H0503010,FR,FR_EAUFRANCE,L'Hozain à Buchères [Courgerennes],4.109565,48.24603,4.109565,48.24603,111,249.0,242.37,0,2.662650602409637,1970-07-31,2023-09-30,54,639,19420,19420,0.0,18731.0,0.0,689.0,A,,677,1,['FR000390'],0.509,0.256,2.144,3.995,0.558,143.731,25.031,0.019,2.028,18.973,3.922,118.6,26.37,0.0,1.989,2.373,1.193,-0.02,0.018,17.307,1.162,1.0,234.003,4.305,4.0,356.251,173.606,112.14,1.983,79.369,0.071,0.475,0.191,9,1.516,0.0,0.0,80.59700000000001,19.402,18.197,1.205,51.353,29.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.362,28.571,34.067,0.0,0.0,0.0,37.345,0.017,0.0,0.0,111.893,130.0,30.0,57.795,33.868,44.313,21.819,5.062,1.394,1.246,0.153,0.586,0.034,0.522,0.1139999999999999,0.287,0.022,0.636,0.0,0.0,3.0,0.4,0.51,1.292,0.0,2.639,3.0,19.0,81.0,0.0,37.362,62.638000000000005,0.0,FR000390,Group_1
5,H130201001,La Voire Ã  Droyes [Gervilliers],FR,FR_EAUFRANCE,La Voire à Droyes [Gervilliers],4.725222,48.498376,4.725222,48.498376,121,270.0,279.883,0,-3.660370370370363,1987-10-30,2023-09-30,33,374,11016,2754,2104.0,10022.0,994.0,0.0,D,,677,1,['FR003493'],0.895,0.391,0.919,3.785,0.562,137.227,30.306,0.097,3.797,43.7,8.22,121.237,18.595,0.0,2.223,2.274,1.023,-0.036,0.022,15.988,1.171,1.0,225.39,4.155,4.0,383.392,215.344,121.624,2.669,68.607,0.114,0.606,0.191,9,1.087,0.0,0.0,100.0,0.0,0.0,0.0,64.716,35.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.682,38.289,43.028,0.0,0.0,0.0,6.111,12.571,0.0,0.0,98.211,130.0,30.0,50.538,44.439,34.954,20.607,6.056,1.434,0.983,0.159,0.612,0.016,0.474,0.131,0.373,0.003,0.605,0.0,0.0,0.0,0.0,0.0,1.31,0.636,0.798,2.0,0.0,100.0,0.0,18.682,81.31700000000001,0.0,FR003493,Group_1
6,F410000601,Le Loing Ã  Montbouy,FR,FR_EAUFRANCE,Le Loing à Montbouy,2.821666,47.860825,2.821666,47.860825,110,409.0,414.159,0,-1.2613691931540325,1980-10-31,2023-09-30,44,516,15483,3939,192.0,14004.0,56.0,1423.0,C,,677,2,"['FR000315', 'FR003431']",0.419,0.205,2.488,2.989,0.562,144.182,26.726,0.038,1.584,13.503,3.215,68.228,7.942,0.0,2.031,2.349,1.157,-0.031,0.017,17.321,1.152,1.0,235.159,4.353,4.0,369.468,194.871,108.697,1.71,84.4,0.0,0.5,0.218,8,2.193,0.0,0.0,55.201,44.799,39.324,5.475,14.893,40.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.106,54.725,5.436,0.733,0.0,0.0,11.136,27.97,0.0,0.0,124.245,130.0,30.0,54.84,53.108,29.463,17.429,3.607,1.487,1.198,0.147,0.618,0.02,0.487,0.177,0.304,0.005,0.6639999999999999,1.0,1.0,2.0,1.6,6.35,0.894,27.631,35.372,4.0,45.0,55.00000000000001,0.0,39.106,60.161,0.733,FR003431,Group_1
7,H214203002,La Cure Ã  Foissy-lÃ¨s-VÃ©zelay et Ã  Pierre-Perthuis,FR,FR_EAUFRANCE,La Cure à Foissy-lès-Vézelay et à Pierre-Perthuis,3.779441,47.444184,3.779441,47.444184,148,549.0,551.413,0,-0.4395264116575611,1995-08-09,2023-09-30,29,329,9968,9755,312.0,9827.0,120.0,21.0,A,,677,5,"['FR000306', 'FR003510', 'FR000410', 'FR000411', 'FR003511']",1.46,0.569,1.52,2.707,0.629,146.72,24.52,0.263,3.98,0.74,2.222,24.816,4.759,0.0,2.602,2.237,0.86,-0.081,0.024,16.437,1.167,1.0,222.941,4.201,4.0,752.732,468.264,148.926,6.562,18.569,3.671,0.557,0.178,4,1.001,75.371,13.505,11.075,0.048,0.0,0.048,0.344,10.731,13.505,0.0,0.0,0.0,0.0,0.0,73.914,0.0,1.457,0.0,0.0,8.375,8.384,83.241,0.0,0.0,0.0,0.0,0.0,0.0,49.637,130.0,30.0,46.295,59.849,25.065,15.085,9.456,1.515,1.447,0.221,0.706,0.008,0.027,0.458,0.49,0.006,0.485,3.0,3.0,3.0,4.77,56.6,2.106,0.127,0.088,5.0,0.0,25.0,75.0,0.0,16.759,83.241,FR003511,Group_1
8,H010002001,H0100020,FR,FR_EAUFRANCE,La Seine à Plaines-Saint-Lange,4.480817,47.995813,4.480817,47.995813,179,704.0,686.274,0,2.5178977272727274,1967-08-18,2023-09-30,57,674,20498,20498,0.0,20257.0,26.0,215.0,A,,677,6,"['FR003421', 'FR003422', 'FR003474', 'FR000383', 'FR000386', 'FR000387']",1.382,0.603,1.604,2.644,0.669,143.836,23.219,0.256,4.18,1.539,3.071,29.981,13.508,0.0,2.267,2.269,1.001,-0.02,0.026,16.042,1.149,1.0,226.152,4.173,4.0,538.176,347.266,181.998,3.912,52.657,1.399,0.452,0.203,8,1.043,0.0,0.0,97.858,2.142,2.142,0.0,0.0,97.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.625,130.0,30.0,53.147,38.013,37.519,24.468,8.63,1.382,0.946,0.158,0.604,0.0139999999999999,0.452,0.091,0.431,0.008,0.543,0.0,0.0,0.0,0.0,0.0,1.623,0.019,3.707,5.0,2.0,98.0,0.0,0.0,100.0,0.0,FR000386,Group_1
9,F467000101,L'Orge Ã  Morsang-sur-Orge,FR,FR_EAUFRANCE,L'Orge à Morsang-sur-Orge,2.34241,48.667889,2.34241,48.667889,35,922.0,931.247,0,-1.0029284164858956,1984-01-01,2023-09-30,40,477,14503,14046,15.0,13131.0,0.0,1372.0,C,,677,10,"['FR000333', 'FR000334', 'FR000335', 'FR000336', 'FR000337', 'FR000338', 'FR003447', 'FR003448', 'FR003449', 'FR003450']",0.358,0.211,1.139,1.345,0.675,155.784,16.705,0.125,0.965,0.431,2.125,,,0.0,1.669,2.227,1.335,0.024,0.015,18.94,1.157,4.0,245.024,4.46,4.0,191.304,132.353,33.78,2.44,72.454,0.33,0.746,0.186,11,16.535,0.0,0.0,43.416,56.584,56.584,0.0,0.419,42.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.431,32.683,9.887,0.0,0.0,0.0,0.0,57.431,0.0,0.0,115.515,130.0,50.0,50.209,54.15,28.982,16.868,5.501,1.479,1.319,0.137,0.579,0.21,0.396,0.049,0.311,0.003,0.445,1.0,1.0,5.0,1.52,5.11,1.17,13.163,54.078,10.0,56.99999999999999,43.0,0.0,57.431,42.57,0.0,FR003450,Group_1
