,gauge_id,gauge_name,gauge_country,gauge_provider,river,lon_snap,lat_snap,lon,lat,elevation,area_official,area_estreams,area_flag,area_rel,start_date,end_date,num_years,num_months,num_days,num_continuous_days,num_days_gaps,num_days_reliable,num_days_noflag,num_days_suspect,gauge_flag,duplicated_suspect,watershed_group,gauges_upstream,nested_catchments,q_mean,q_runoff_ratio,q_elas_Sankarasubramanian,slope_sawicz,baseflow_index,hfd_mean,hfd_std,q_5,q_95,hq_freq,hq_dur,lq_freq,lq_dur,zero_q_freq,p_mean,pet_mean,aridity,p_seasonality,frac_snow,hp_freq,hp_dur,hp_time,lp_freq,lp_dur,lp_time,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens,lit_dom,bedrk_dep,perm_verylow_glob,perm_low_glob,perm_medium_glob,perm_high_glob,lit_fra_su,lit_fra_ss,lit_fra_sm,lit_fra_sc,lit_fra_mt,lit_fra_pi,lit_fra_py,lit_fra_vi,lit_fra_ev,lit_fra_ig,lit_fra_pa,lit_fra_pb,lit_fra_va,lit_fra_vb,perm_high_cont,perm_medium_cont,perm_low_cont,perm_verylow_cont,lit_fra_Conglomerates,lit_fra_Conglomerates and sands,lit_fra_Gravels,lit_fra_Sands,lit_fra_Sandstones,lit_fra_Sandstones and sands,root_dep_mean,root_dep_max,root_dep_min,soil_tawc_mean,soil_fra_sand_mean,soil_fra_silt_mean,soil_fra_clay_mean,soil_fra_grav_mean,soil_bd_mean,soil_oc_mean,lai_mean,ndvi_mean,lulc_2006_urban,lulc_2006_NonIrriAgri,lulc_2006_Agric,lulc_2006_forest,lulc_2006_grass,lulc_2006_agriculture,dam_num,res_num,lakes_num,lakes_tot_area,lakes_tot_vol,sno_cov_mean,irri_1990,irri_2005,stations_num_p_mean,perm_high_glob2,perm_medium_glob2,perm_low_glob2,perm_high_cont2,perm_medium_cont2,perm_low_cont2,basin_id,group
0,3228,PEGUERINOS                         ,ES,ES_CEDEX,,-4.21830854,40.60373795,-4.218308542102233,40.6037379591367,1210,56.0,54.635,0,2.437500000000004,1973-10-01,2019-09-30,47,530,15624,8951,1177.0,0.0,15624.0,0.0,C,,597,1,['ES001375'],0.481,0.334,2.527,3.231,0.522,169.778,31.463,0.016,2.198,42.5,16.088,149.172,26.045,0.017,1.438,2.748,1.91,-0.343,0.019,25.335,1.371,1.0,285.503,7.537,4.0,1866.957,1510.999,1222.775,9.038,11.122,15.321,0.68,0.095,4,0.972,99.909,0.0,0.0,0.091,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.909,0.0,0.0,0.0,0.0,0.0,36.03,63.97,0.0,0.0,0.0,0.0,0.0,0.0,96.346,150.0,0.0,33.589,53.462,18.788,10.442,14.519,1.271,1.386,0.102,0.545,0.007,0.0,0.005,0.572,0.391,0.005,3.0,3.0,1.0,0.51,23.7,3.296,0.0,0.153,0.0,0.0,0.0,100.0,0.0,36.03,63.97,ES001375,Group_1
1,3211,VILLAREJO DE MONTALBAN             ,ES,ES_CEDEX,,-4.56702928,39.77098911,-4.567029280925808,39.77098911305547,509,140.0,136.642,0,2.398571428571432,1969-09-03,2019-09-30,50,571,17300,7956,990.0,0.0,17300.0,0.0,C,,597,2,"['ES001355', 'ES001362']",0.363,0.315,3.098,4.601,0.423,145.783,30.959,0.0,1.048,23.815,7.373,160.731,42.294,0.136,1.153,3.202,2.778,-0.464,0.006,28.111,1.477,1.0,297.858,9.331,4.0,1360.58,816.462,502.623,9.906,16.879,25.799,0.537,0.163,10,1.424,5.958,0.0,50.892,43.149,0.0,43.149,28.017,22.875,0.0,0.0,0.0,0.0,0.0,0.0,5.958,0.0,0.0,0.0,53.936,0.0,20.31,25.754,0.0,53.936,0.0,0.0,0.0,0.0,63.03,130.0,0.0,36.97,50.015,22.894,14.97,14.712,1.298,0.868,0.09,0.495,0.004,0.111,0.144,0.337,0.4039999999999999,0.255,0.0,0.0,0.0,0.0,0.0,0.38,0.0,2.139,0.0,43.0,51.0,6.0,53.936,20.31,25.754,ES001362,Group_1
2,3251,"PUEBLANUEVA, LA                    ",ES,ES_CEDEX,,-4.70510515,39.91849792,-4.705105157685856,39.9184979289291,404,223.0,221.491,0,0.6766816143497696,1979-10-01,2019-09-30,40,448,13533,10227,1077.0,0.0,13533.0,0.0,C,,597,1,['ES001397'],0.091,0.088,3.065,,0.406,147.417,34.052,0.0,0.3,59.566,24.253,206.578,74.311,0.361,1.067,3.303,3.097,-0.47,0.002,28.124,1.491,1.0,299.191,9.482,4.0,1202.901,651.746,400.262,5.491,41.86,7.246,0.442,0.17,10,4.913,8.68,0.0,55.34,35.979,0.0,35.979,20.349,34.991,0.0,0.0,0.0,0.0,0.0,0.0,8.68,0.0,0.0,0.0,40.349,0.0,43.89,15.761,0.0,30.859,9.49,0.0,0.0,0.0,116.278,130.0,0.0,43.286,71.641,14.825,10.843,5.762,1.527,1.202,0.077,0.442,0.004,0.402,0.237,0.21,0.148,0.639,0.0,0.0,0.0,0.0,0.0,0.272,0.362,6.541,0.0,36.0,55.00000000000001,9.0,40.349,43.89,15.761,ES001397,Group_1
3,3273,VELILLA DE SAN ANTONIO             ,ES,ES_CEDEX,,-3.48276338,40.36395702,-3.482763386528029,40.36395702910021,545,238.0,242.808,0,-2.020168067226888,1979-01-23,2019-09-30,39,449,13550,11740,1311.0,0.0,13550.0,0.0,C,,597,2,"['ES001274', 'ES001416']",0.034,0.033,1.319,2.222,,155.629,29.675,0.0,0.088,3.828,8.875,41.458,17.884,0.053,1.113,3.226,2.899,-0.352,0.008,26.206,1.382,1.0,299.137,8.908,4.0,911.688,759.689,546.435,3.932,56.968,3.082,0.531,0.198,9,14.251,0.0,0.0,80.698,19.301,11.573,7.728,71.187,9.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.518,41.482,0.0,0.0,0.0,15.537,30.408,0.0,0.0,12.573,87.686,150.0,30.0,57.728,36.975,41.74,21.285,8.996,1.393,0.794,0.048,0.317,0.0699999999999999,0.593,0.101,0.068,0.148,0.694,0.0,0.0,0.0,0.0,0.0,0.346,8.99,9.077,1.0,19.0,81.0,0.0,58.518,41.482,0.0,ES001416,Group_1
4,3198,VILLAMANTILLA                      ,ES,ES_CEDEX,,-4.13664184,40.36982032,-4.136641843410369,40.36982032535015,497,261.0,262.837,0,-0.703831417624517,1968-10-01,2019-09-30,46,508,15227,5113,3400.0,0.0,15227.0,0.0,D,,597,1,['ES001356'],0.197,0.173,3.228,7.061,0.458,153.231,42.109,0.0,0.888,52.651,15.906,200.171,49.379,0.176,1.125,3.078,2.737,-0.351,0.005,25.975,1.391,1.0,296.388,8.682,4.0,1453.028,727.347,500.072,4.245,46.405,2.483,0.62,0.118,4,7.696,54.509,0.0,34.21,11.28,11.28,0.0,12.643,21.567,0.0,0.0,0.0,0.0,0.0,0.0,54.509,0.0,0.0,0.0,46.599,4.426,4.803,44.173,0.0,0.0,9.607,0.0,0.0,36.992,80.193,130.0,0.0,38.754,73.718,13.425,9.768,10.903,1.536,1.029,0.076,0.451,0.048,0.151,0.25,0.321,0.227,0.401,1.0,1.0,0.0,0.0,0.0,0.287,1.7,2.097,0.0,11.0,34.0,55.00000000000001,46.599,9.229,44.173,ES001356,Group_1
5,3045,PRIEGO (ESCABAS)                   ,ES,ES_CEDEX,,-2.3113261,40.44367148,-2.311326103938134,40.44367148348628,818,345.0,330.758,0,4.128115942028991,1912-01-01,2019-09-30,70,769,22204,12279,17151.0,0.0,22204.0,0.0,E,,597,1,['ES001264'],0.926,0.663,1.335,1.487,0.714,164.82,24.805,0.285,2.573,4.933,3.0,3.11,14.273,0.001,1.408,2.934,2.084,-0.187,0.048,26.41,1.359,3.0,284.21,7.263,4.0,1784.89,1262.671,808.406,11.862,11.104,31.1,0.445,0.173,8,1.208,0.0,0.0,79.662,20.337,17.404,2.933,21.989,57.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.654,65.689,4.657,0.0,0.0,17.403,0.0,0.0,0.0,12.251,58.75,150.0,30.0,49.055,39.033,38.259,22.708,14.262,1.391,1.98,0.104,0.553,0.001,0.038,0.0279999999999999,0.763,0.172,0.066,0.0,0.0,0.0,0.0,0.0,1.265,0.563,10.798,0.0,20.0,80.0,0.0,29.654,70.34599999999999,0.0,ES001264,Group_1
6,3212,MALPICA                            ,ES,ES_CEDEX,,-4.58191068,39.91844262,-4.581910684520292,39.91844262355129,388,423.0,410.788,0,2.886997635933804,1972-01-26,2019-09-30,44,498,15032,6785,2383.0,0.0,15032.0,0.0,D,,597,1,['ES001363'],0.254,0.235,2.21,4.127,0.394,140.615,39.116,0.0,0.974,27.481,6.147,151.912,22.57,0.046,1.093,3.255,2.979,-0.456,0.004,28.07,1.484,1.0,298.483,9.343,4.0,1434.676,705.644,384.871,7.197,32.501,13.852,0.487,0.179,9,4.238,11.174,0.0,66.743,22.083,0.068,22.015,34.358,32.385,0.0,0.0,0.0,0.0,0.0,0.0,11.174,0.0,0.0,0.0,36.633,0.0,41.685,21.683,0.0,34.3,2.333,0.0,0.0,0.0,80.049,150.0,0.0,43.963,44.119,28.146,21.652,13.431,1.332,0.928,0.079,0.455,0.006,0.215,0.285,0.221,0.275,0.5,1.0,1.0,0.0,0.0,0.0,0.283,3.405,18.699,0.0,22.0,67.0,11.0,36.633,41.685,21.683,ES001363,Group_1
7,3232,VILLASECA                          ,ES,ES_CEDEX,,-3.83064399,39.95546879,-3.830643998180963,39.9554687937213,474,430.0,427.953,0,0.4760465116279129,1974-02-06,2019-09-30,46,543,16481,8284,192.0,0.0,16481.0,0.0,B,,597,1,['ES001379'],0.129,0.133,0.363,1.568,0.709,189.31,35.074,0.028,0.297,1.152,1.793,16.954,9.107,0.009,1.007,3.294,3.271,-0.384,0.004,26.641,1.404,1.0,301.749,9.306,4.0,712.597,588.853,470.209,1.727,86.564,0.028,0.628,0.132,9,22.502,0.0,0.0,85.076,14.925,8.794,6.131,67.402,17.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.373,17.627,0.0,0.0,0.0,0.0,27.431,0.0,0.0,54.942,123.023,130.0,30.0,51.119,52.447,29.498,18.056,8.93,1.463,0.614,0.042,0.284,0.098,0.655,0.178,0.006,0.014,0.833,0.0,0.0,0.0,0.0,0.0,0.235,4.082,11.14,1.0,15.0,85.0,0.0,82.373,17.627,0.0,ES001379,Group_1
8,3243,MINGORRUBIO                        ,ES,ES_CEDEX,,-3.79108389,40.53106005,-3.791083897735646,40.53106005414173,605,535.0,528.801,0,1.1586915887850384,1975-06-17,2011-05-31,31,350,10557,9557,2576.0,0.0,10557.0,0.0,D,,597,7,"['ES001246', 'ES001282', 'ES001284', 'ES001286', 'ES001348', 'ES001390', 'ES001408']",0.314,0.211,2.713,3.525,0.523,175.148,75.03,0.018,1.08,19.271,14.282,126.006,32.518,0.005,1.482,2.814,1.898,-0.385,0.014,23.934,1.391,1.0,283.163,7.462,4.0,2364.56,1023.456,601.983,7.729,27.616,16.882,0.626,0.16,4,2.789,73.935,0.0,18.237,3.755,3.755,0.0,18.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.935,0.0,0.0,0.0,31.697,0.833,7.715,59.756,0.0,0.399,11.473,0.0,0.0,19.825,51.796,150.0,0.0,38.419,59.991,20.136,12.879,10.766,1.42,1.61,0.085,0.481,0.055,0.001,0.091,0.322,0.496,0.092,4.0,4.0,3.0,9.91,147.1,1.514,1.035,1.059,2.0,4.0,18.0,78.0,31.697,8.548,59.756,ES001390,Group_1
9,3070,MADRID (P.SINDICAL)                ,ES,ES_CEDEX,,-3.74770198,40.45954793,-3.74770198598178,40.45954793890019,588,710.0,733.918,0,-3.368732394366198,1912-01-17,2019-09-30,95,1097,32520,5409,6819.0,0.0,32520.0,0.0,D,,597,9,"['ES001246', 'ES001282', 'ES001283', 'ES001284', 'ES001286', 'ES001346', 'ES001348', 'ES001390', 'ES001408']",0.335,0.238,2.422,2.984,0.52,159.1,49.804,0.022,1.289,20.48,7.81,111.529,16.695,0.001,1.406,2.882,2.049,-0.384,0.011,24.464,1.396,1.0,286.36,7.729,4.0,2364.56,936.353,588.458,6.537,33.721,12.418,0.621,0.157,4,5.02,56.164,0.0,33.129,7.771999999999999,7.071,0.701,33.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.164,0.0,0.0,0.0,48.23,0.6,5.559,45.611,0.0,0.288,13.385,0.0,0.0,34.557,69.809,150.0,0.0,39.689,64.198,18.119,12.226,10.209,1.457,1.345,0.084,0.47,0.1169999999999999,0.009,0.1139999999999999,0.3269999999999999,0.3889999999999999,0.1229999999999999,5.0,5.0,3.0,9.91,147.1,1.172,1.035,1.059,4.0,8.0,33.0,59.0,48.23,6.159,45.611,ES001283,Group_1
