,gauge_id,gauge_name,gauge_country,gauge_provider,river,lon_snap,lat_snap,lon,lat,elevation,area_official,area_estreams,area_flag,area_rel,start_date,end_date,num_years,num_months,num_days,num_continuous_days,num_days_gaps,num_days_reliable,num_days_noflag,num_days_suspect,gauge_flag,duplicated_suspect,watershed_group,gauges_upstream,nested_catchments,q_mean,q_runoff_ratio,q_elas_Sankarasubramanian,slope_sawicz,baseflow_index,hfd_mean,hfd_std,q_5,q_95,hq_freq,hq_dur,lq_freq,lq_dur,zero_q_freq,p_mean,pet_mean,aridity,p_seasonality,frac_snow,hp_freq,hp_dur,hp_time,lp_freq,lp_dur,lp_time,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens,lit_dom,bedrk_dep,perm_verylow_glob,perm_low_glob,perm_medium_glob,perm_high_glob,lit_fra_su,lit_fra_ss,lit_fra_sm,lit_fra_sc,lit_fra_mt,lit_fra_pi,lit_fra_py,lit_fra_vi,lit_fra_ev,lit_fra_ig,lit_fra_pa,lit_fra_pb,lit_fra_va,lit_fra_vb,perm_high_cont,perm_medium_cont,perm_low_cont,perm_verylow_cont,lit_fra_Conglomerates,lit_fra_Conglomerates and sands,lit_fra_Gravels,lit_fra_Sands,lit_fra_Sandstones,lit_fra_Sandstones and sands,root_dep_mean,root_dep_max,root_dep_min,soil_tawc_mean,soil_fra_sand_mean,soil_fra_silt_mean,soil_fra_clay_mean,soil_fra_grav_mean,soil_bd_mean,soil_oc_mean,lai_mean,ndvi_mean,lulc_2006_urban,lulc_2006_NonIrriAgri,lulc_2006_Agric,lulc_2006_forest,lulc_2006_grass,lulc_2006_agriculture,dam_num,res_num,lakes_num,lakes_tot_area,lakes_tot_vol,sno_cov_mean,irri_1990,irri_2005,stations_num_p_mean,perm_high_glob2,perm_medium_glob2,perm_low_glob2,perm_high_cont2,perm_medium_cont2,perm_low_cont2,basin_id,group
0,L001061001,L0010610,FR,FR_EAUFRANCE,La Vienne à Peyrelevade [Servières],2.007374,45.702142,2.007374,45.702142,618,60.26,59.725,0,0.8878194490540934,1957-01-01,2023-09-30,67,799,24302,12736,77.0,21459.0,0.0,2843.0,C,,732,1,['FR001178'],2.503,0.764,1.165,2.644,0.627,142.794,24.582,0.291,7.378,1.252,1.844,49.922,9.619,0.0,3.237,2.234,0.69,-0.131,0.051,16.083,1.215,2.0,214.981,4.08,4.0,957.363,835.296,745.122,5.301,23.929,0.502,0.756,0.05,4,1.03,80.577,19.423,0.0,0.0,0.0,0.0,0.0,0.0,19.423,0.0,0.0,0.0,0.0,0.0,80.577,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,69.633,59.016,29.246,11.738,9.59,1.341,2.33,0.205,0.657,0.012,0.012,0.367,0.384,0.224,0.379,0.0,0.0,0.0,0.0,0.0,4.0,0.351,0.068,1.0,0.0,19.0,81.0,0.0,0.0,100.0,FR001178,Group_1
1,L503401001,L'Ardour Ã  Folles [Forgefer],FR,FR_EAUFRANCE,L'Ardour à Folles [Forgefer],1.49567,46.096669,1.49567,46.096669,318,129.06,129.37,0,-0.2401983573531708,1967-10-21,2023-09-30,57,672,20433,20431,1.0,19301.0,0.0,1132.0,C,,732,1,['FR003965'],1.155,0.428,1.946,2.424,0.669,152.63,19.523,0.209,3.419,1.616,1.667,26.646,9.333,0.0,2.688,2.333,0.868,-0.111,0.019,17.348,1.195,1.0,222.682,4.173,4.0,679.171,435.984,319.438,4.879,31.828,0.825,0.616,0.146,4,1.036,83.824,16.176,0.0,0.0,0.0,0.0,0.0,0.0,16.176,0.0,0.0,0.0,0.0,0.0,83.824,0.0,0.0,0.0,0.0,0.0,22.953,77.047,0.0,0.0,0.0,0.0,0.0,0.0,87.594,130.0,70.0,53.836,45.91,33.594,20.496,8.15,1.369,2.897,0.193,0.707,0.013,0.011,0.626,0.3429999999999999,0.006,0.637,0.0,0.0,0.0,0.0,0.0,1.355,0.0,0.0,2.0,0.0,16.0,84.0,0.0,22.953,77.047,FR003965,Group_1
2,L513401001,La Semme Ã  Droux,FR,FR_EAUFRANCE,La Semme à Droux,1.142102,46.15078,1.142102,46.15078,186,174.39,174.712,0,-0.1846436148861762,1968-12-01,2023-09-30,56,658,20026,18278,1.0,18423.0,177.0,1426.0,C,,732,1,['FR003967'],0.945,0.367,2.452,3.424,0.612,143.057,20.775,0.081,3.125,5.295,2.276,79.192,16.371,0.0,2.547,2.346,0.921,-0.122,0.015,17.13,1.176,1.0,225.104,4.28,4.0,439.357,322.688,192.414,3.169,55.344,0.026,0.457,0.216,4,1.074,75.409,24.591,0.0,0.0,0.0,0.0,0.0,0.0,24.591,0.0,0.0,0.0,0.0,0.0,75.409,0.0,0.0,0.0,0.0,0.0,4.988,95.012,0.0,0.0,0.0,0.0,0.0,0.0,84.651,130.0,30.0,51.033,43.221,36.267,20.512,9.087,1.412,1.225,0.184,0.698,0.01,0.044,0.804,0.138,0.004,0.8480000000000001,0.0,0.0,0.0,0.0,0.0,1.058,0.0,0.0,2.0,0.0,25.0,75.0,0.0,4.988,95.012,FR003967,Group_1
3,L562301001,La Benaize Ã  Jouac,FR,FR_EAUFRANCE,La Benaize à Jouac,1.258883,46.355026,1.258883,46.355026,181,185.35,188.226,0,-1.551659023469115,1979-01-01,2023-09-30,45,536,16257,7486,87.0,14847.0,0.0,1410.0,C,,732,1,['FR003974'],0.858,0.365,2.387,4.055,0.525,135.175,22.882,0.034,3.162,15.975,2.783,113.36,16.236,0.0,2.309,2.397,1.038,-0.096,0.013,17.212,1.177,1.0,229.676,4.351,4.0,432.48,298.917,180.281,2.722,64.66,0.009,0.675,0.183,4,1.045,87.405,12.538,0.0,0.057,0.0,0.057,0.0,0.0,12.538,0.0,0.0,0.0,0.0,0.0,87.405,0.0,0.0,0.0,0.0,0.0,8.927,91.073,0.0,0.0,0.0,0.0,0.0,0.0,107.708,130.0,30.0,51.537,41.365,37.323,21.312,6.302,1.403,1.001,0.183,0.697,0.009,0.139,0.763,0.08,0.005,0.902,0.0,0.0,1.0,0.35,1.15,1.02,0.241,0.284,3.0,0.0,13.0,87.0,0.0,8.927,91.073,FR003974,Group_1
4,L532301001,L5323010,FR,FR_EAUFRANCE,La Brame à Oradour-Saint-Genest,0.998967,46.251704,0.998967,46.251704,161,232.35,232.411,0,-0.0262534968797103,1971-10-19,2023-09-30,53,620,18823,9833,152.0,17569.0,0.0,1254.0,C,,732,1,['FR001245'],0.819,0.336,2.425,4.157,0.52,135.0,22.531,0.026,3.115,15.873,2.704,116.687,19.684,0.0,2.407,2.373,0.986,-0.12,0.013,17.117,1.183,1.0,227.349,4.318,4.0,428.292,266.852,165.837,2.644,67.747,0.0,0.456,0.181,4,1.056,61.61000000000001,38.39,0.0,0.0,0.0,0.0,0.0,0.0,38.39,0.0,0.0,0.0,0.0,0.0,61.121,0.395,0.0,0.094,0.0,0.0,3.759,96.241,0.0,0.0,0.0,0.0,0.0,0.0,86.0,130.0,30.0,51.537,41.652,37.165,21.183,9.252,1.403,1.223,0.189,0.702,0.018,0.034,0.889,0.054,0.002,0.923,0.0,0.0,0.0,0.0,0.0,0.94,0.082,0.284,2.0,0.0,38.0,62.0,0.0,3.759,96.241,FR001245,Group_1
5,L081301001,L0813010,FR,FR_EAUFRANCE,La Glane à Saint-Junien [Le Dérot],0.915545,45.913135,0.915545,45.913135,208,296.78,298.065,0,-0.4329806590740701,1967-11-10,2023-09-30,57,671,20413,18479,1.0,19450.0,0.0,963.0,A,,732,1,['FR001197'],1.111,0.436,1.998,3.471,0.602,140.167,19.92,0.079,3.71,4.727,2.039,81.854,14.69,0.0,2.511,2.374,0.945,-0.142,0.011,17.226,1.2,2.0,226.887,4.374,4.0,531.793,313.937,207.175,3.298,55.281,0.177,0.586,0.145,4,1.054,76.499,23.349,0.0,0.152,0.152,0.0,0.0,0.0,23.349,0.0,0.0,0.0,0.0,0.0,76.499,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,69.067,130.0,30.0,51.78,43.91,35.95,20.14,11.02,1.408,1.432,0.175,0.698,0.024,0.047,0.6260000000000001,0.264,0.033,0.6730000000000002,0.0,0.0,2.0,0.48,1.54,0.908,0.958,1.299,4.0,0.0,23.0,77.0,0.0,0.0,100.0,FR001197,Group_1
6,L023151001,Le Taurion Ã  Pontarion,FR,FR_EAUFRANCE,Le Taurion à Pontarion,1.8468,45.996519,1.8468,45.996519,440,385.0,385.391,0,-0.1015584415584466,1921-01-01,2023-09-30,103,1233,37528,37528,0.0,35636.0,0.0,1892.0,C,,732,2,"['FR001185', 'FR003938']",1.456,0.496,1.448,2.582,0.635,147.403,24.642,0.169,4.26,1.606,1.761,49.514,10.251,0.0,2.936,2.296,0.782,-0.113,0.03,16.396,1.188,2.0,216.968,4.037,4.0,902.761,606.928,436.709,5.197,26.593,1.146,0.62,0.141,4,1.019,90.834,9.166,0.0,0.0,0.0,0.0,0.0,0.0,9.166,0.0,0.0,0.0,0.0,0.0,90.834,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,75.579,130.0,0.0,51.294,46.618,34.171,18.158,9.108,1.38,1.569,0.23,0.711,0.005,0.001,0.376,0.563,0.047,0.377,1.0,1.0,2.0,2.35,23.35,1.904,0.0,0.0,6.0,0.0,9.0,91.0,0.0,0.0,100.0,FR003938,Group_1
7,L440000101,La Petite Creuse Ã  Genouillac [EDF],FR,FR_EAUFRANCE,La Petite Creuse à Genouillac [EDF],1.993689,46.357709,1.993689,46.357709,272,558.0,561.572,0,-0.6401433691756278,1967-01-01,2022-08-31,56,668,20332,20332,0.0,5180.0,14992.0,160.0,B,['FR003958'],732,3,"['FR003958', 'FR003959']",0.802,0.353,1.884,4.132,0.526,140.056,27.075,0.031,2.908,13.33,2.65,111.415,18.966,0.0,2.276,2.376,1.044,-0.01,0.02,16.777,1.169,1.0,227.512,4.19,4.0,654.18,418.543,269.128,3.26,54.152,0.038,0.596,0.139,4,1.046,54.07600000000001,42.04,3.884,0.0,0.0,0.0,3.884,0.0,42.04,0.0,0.0,0.0,0.0,0.0,43.395,8.925,1.756,0.0,0.548,0.0,23.194,76.259,0.0,0.0,0.0,0.0,0.0,0.548,82.926,130.0,30.0,51.537,41.777,37.662,20.56,8.905,1.406,1.292,0.182,0.684,0.009,0.07,0.7789999999999999,0.137,0.001,0.849,1.0,1.0,2.0,0.26,0.64,1.349,0.89,0.445,6.0,0.0,46.0,54.0,0.548,23.194,76.259,FR003959,Group_1
8,L441171001,L4411710,FR,FR_EAUFRANCE,La Petite Creuse à Fresselines [Puy Rageaud],1.688999,46.385936,1.688999,46.385936,218,852.86,854.305,0,-0.1694299181577206,1958-01-01,2023-09-30,66,789,24013,14529,1.0,23299.0,0.0,714.0,A,,732,2,"['FR003958', 'FR003959', 'FR001231']",0.826,0.359,1.543,3.792,0.547,139.703,25.964,0.045,2.892,10.108,2.267,101.463,18.205,0.0,2.287,2.376,1.039,-0.023,0.02,16.45,1.177,1.0,227.621,4.216,4.0,654.18,393.068,209.088,3.332,53.087,0.144,0.572,0.156,2,1.056,40.271,55.382,2.98,1.367,0.0,1.367,2.98,0.0,55.382,0.0,0.0,0.0,0.0,0.0,32.403,6.714,1.154,0.0,0.36,0.0,44.733,54.906,0.0,0.0,0.0,0.0,0.0,0.36,80.913,130.0,30.0,51.537,41.77,37.438,20.792,9.488,1.405,1.297,0.182,0.686,0.012,0.059,0.7919999999999999,0.135,0.002,0.851,1.0,1.0,2.0,0.26,0.64,1.276,0.959,0.473,7.0,1.0,59.0,40.0,0.36,44.733,54.906,FR001231,Group_1
9,L032151001,L0321510,FR,FR_EAUFRANCE,Le Taurion à Saint-Priest-Taurion [Le Chauvan],1.409804,45.9046,1.409804,45.9046,237,1030.0,1021.783,0,0.7977669902912605,1980-01-01,2023-09-30,44,525,15979,15979,0.0,15503.0,36.0,440.0,A,,732,6,"['FR003938', 'FR001185', 'FR001186', 'FR001187', 'FR001188', 'FR001189']",1.504,0.52,1.685,3.129,0.609,151.595,21.487,0.215,4.124,1.196,1.857,54.12,5.387,0.0,2.861,2.319,0.811,-0.119,0.022,16.287,1.197,1.0,218.315,4.1,4.0,902.761,518.157,235.152,5.791,23.459,2.426,0.546,0.163,4,1.067,66.446,32.612,0.0,0.943,0.0,0.943,0.0,0.0,32.612,0.0,0.0,0.0,0.0,0.0,66.243,0.203,0.0,0.0,0.0,0.0,11.962,88.039,0.0,0.0,0.0,0.0,0.0,0.0,76.02,130.0,0.0,51.378,45.582,34.428,19.103,9.35,1.386,1.834,0.218,0.714,0.012,0.008,0.436,0.504,0.032,0.444,4.0,4.0,5.0,3.88,49.65,1.539,0.046,0.079,8.0,1.0,33.0,66.0,0.0,11.962,88.039,FR001189,Group_1
