,0
high_snow_t0,0.05690839
high_snow_k,0.4013114
high_unsaturated_Smax,227.4761
high_unsaturated_Ce,0.6888234
high_unsaturated_beta,2.6754587
high_lowersplitter_splitpar,0.8980413
high_slow_k,0.0006782164
high_lag-fun_lag-time,2.026773
high_fast_k,0.31406814
general_snow_t0,0.05690839
general_snow_k,0.4013114
general_unsaturated_Smax,227.4761
general_unsaturated_Ce,0.6888234
general_unsaturated_beta,2.6754587
general_lowersplitter_splitpar,0.4880177
general_slow_k,0.06325556
general_lag-fun_lag-time,2.026773
general_fast_k,0.09521324
low_snow_t0,0.05690839
low_snow_k,0.4013114
low_unsaturated_Smax,227.4761
low_unsaturated_Ce,0.6888234
low_unsaturated_beta,2.6754587
low_lowersplitter_splitpar,0.89327675
low_slow_k,0.00433069
low_lag-fun_lag-time,2.026773
low_fast_k,0.9652645
