,0
high_snow_k,2.5466316
high_unsaturated_Smax,209.47574
high_unsaturated_Ce,0.66137594
high_unsaturated_beta,2.0467746
high_lowersplitter_splitpar,0.68444043
high_slow_k,0.0046522934
high_lag-fun_lag-time,2.6821969
high_fast_k,0.42917642
general_snow_k,2.5466316
general_unsaturated_Smax,209.47574
general_unsaturated_Ce,0.66137594
general_unsaturated_beta,2.0467746
general_lowersplitter_splitpar,0.63777316
general_slow_k,0.0698037
general_lag-fun_lag-time,2.6821969
general_fast_k,0.66016144
low_snow_k,2.5466316
low_unsaturated_Smax,209.47574
low_unsaturated_Ce,0.66137594
low_unsaturated_beta,2.0467746
low_lowersplitter_splitpar,0.66712284
low_slow_k,0.038497664
low_lag-fun_lag-time,2.6821969
low_fast_k,0.2909192
