,0
high_snow_k,3.2069578
high_unsaturated_Csmax,1.0168618
high_unsaturated_Ce,0.86123353
high_unsaturated_beta,1.6319983
high_lowersplitter_splitpar,0.77621275
high_slow_k,0.0048392564
high_lag-fun_lag-time,2.1526203
high_fast_k,0.092528775
general_snow_k,3.2069578
general_unsaturated_Csmax,1.0168618
general_unsaturated_Ce,0.86123353
general_unsaturated_beta,1.6319983
general_lowersplitter_splitpar,0.29341125
general_slow_k,0.020259837
general_lag-fun_lag-time,2.1526203
general_fast_k,0.049305547
low_snow_k,3.2069578
low_unsaturated_Csmax,1.0168618
low_unsaturated_Ce,0.86123353
low_unsaturated_beta,1.6319983
low_lowersplitter_splitpar,0.53296137
low_slow_k,0.0880474
low_lag-fun_lag-time,2.1526203
low_fast_k,0.057688113
