,0
high_snow_k,1.9453131
high_unsaturated_Csmax,1.2048479
high_unsaturated_Ce,1.1358312
high_unsaturated_beta,1.0005215
high_lowersplitter_splitpar,0.74342394
high_slow_k,0.0053703682
high_lag-fun_lag-time,2.1699193
high_fast_k,0.030888777
general_snow_k,1.9453131
general_unsaturated_Csmax,1.2048479
general_unsaturated_Ce,1.1358312
general_unsaturated_beta,1.0005215
general_lowersplitter_splitpar,0.2758878
general_slow_k,0.018327855
general_lag-fun_lag-time,2.1699193
general_fast_k,0.051859766
low_snow_k,1.9453131
low_unsaturated_Csmax,1.2048479
low_unsaturated_Ce,1.1358312
low_unsaturated_beta,1.0005215
low_lowersplitter_splitpar,0.5982452
low_slow_k,0.0936202
low_lag-fun_lag-time,2.1699193
low_fast_k,0.07431483
