,0
high_snow_t0,-0.0069801947
high_snow_k,1.784487
high_unsaturated_Smax,240.2599
high_unsaturated_Ce,0.59942245
high_unsaturated_beta,2.8622506
high_lowersplitter_splitpar,0.89995563
high_slow_k,8.4861014e-05
high_lag-fun_lag-time,1.9998777
high_fast_k,0.16019876
general_snow_t0,-0.0069801947
general_snow_k,1.784487
general_unsaturated_Smax,240.2599
general_unsaturated_Ce,0.59942245
general_unsaturated_beta,2.8622506
general_lowersplitter_splitpar,0.15173177
general_slow_k,0.004358226
general_lag-fun_lag-time,1.9998777
general_fast_k,0.020915879
low_snow_t0,-0.0069801947
low_snow_k,1.784487
low_unsaturated_Smax,240.2599
low_unsaturated_Ce,0.59942245
low_unsaturated_beta,2.8622506
low_lowersplitter_splitpar,0.8986565
low_slow_k,0.028046928
low_lag-fun_lag-time,1.9998777
low_fast_k,0.51277924
