,0
high_snow_t0,0.04743605
high_snow_k,0.63253206
high_unsaturated_Smax,238.08577
high_unsaturated_Ce,0.5556474
high_unsaturated_beta,3.7072165
high_lowersplitter_splitpar,0.89883107
high_slow_k,0.0009688338
high_lag-fun_lag-time,1.9973576
high_fast_k,0.72893655
general_snow_t0,0.04743605
general_snow_k,0.63253206
general_unsaturated_Smax,238.08577
general_unsaturated_Ce,0.5556474
general_unsaturated_beta,3.7072165
general_lowersplitter_splitpar,0.32550022
general_slow_k,0.07605383
general_lag-fun_lag-time,1.9973576
general_fast_k,0.069439396
low_snow_t0,0.04743605
low_snow_k,0.63253206
low_unsaturated_Smax,238.08577
low_unsaturated_Ce,0.5556474
low_unsaturated_beta,3.7072165
low_lowersplitter_splitpar,0.875816
low_slow_k,0.014383049
low_lag-fun_lag-time,1.9973576
low_fast_k,0.007422583
