,0
high_snow_t0,3.697657e-05
high_snow_k,0.5675654
high_unsaturated_Csmax,0.5018711
high_unsaturated_Ce,0.5243319
high_unsaturated_beta,4.0306153
high_lowersplitter_splitpar,0.8989722
high_slow_k,0.0013114754
high_lag-fun_lag-time,1.9998854
high_fast_k,0.14805304
general_snow_t0,3.697657e-05
general_snow_k,0.5675654
general_unsaturated_Csmax,0.5018711
general_unsaturated_Ce,0.5243319
general_unsaturated_beta,4.0306153
general_lowersplitter_splitpar,0.4136647
general_slow_k,0.062203687
general_lag-fun_lag-time,1.9998854
general_fast_k,0.07008907
low_snow_t0,3.697657e-05
low_snow_k,0.5675654
low_unsaturated_Csmax,0.5018711
low_unsaturated_Ce,0.5243319
low_unsaturated_beta,4.0306153
low_lowersplitter_splitpar,0.8999052
low_slow_k,0.004792957
low_lag-fun_lag-time,1.9998854
low_fast_k,0.61244047
