,0
high_snow_t0,0.0050929
high_snow_k,1.0542055
high_unsaturated_Csmax,0.43889302
high_unsaturated_Ce,0.7207566
high_unsaturated_beta,1.9163648
high_lowersplitter_splitpar,0.6481239
high_slow_k,0.0738102
high_lag-fun_lag-time,1.9999645
high_fast_k,0.37297726
general_snow_t0,0.0050929
general_snow_k,1.0542055
general_unsaturated_Csmax,0.43889302
general_unsaturated_Ce,0.7207566
general_unsaturated_beta,1.9163648
general_lowersplitter_splitpar,0.3808971
general_slow_k,0.009185839
general_lag-fun_lag-time,1.9999645
general_fast_k,0.03484968
low_snow_t0,0.0050929
low_snow_k,1.0542055
low_unsaturated_Csmax,0.43889302
low_unsaturated_Ce,0.7207566
low_unsaturated_beta,1.9163648
low_lowersplitter_splitpar,0.8979468
low_slow_k,0.0076262783
low_lag-fun_lag-time,1.9999645
low_fast_k,0.72000456
