,0
high_snow_t0,0.0043780305
high_snow_k,0.65676177
high_unsaturated_Smax,253.95143
high_unsaturated_Ce,0.51968956
high_unsaturated_beta,4.944677
high_lowersplitter_splitpar,0.89994735
high_slow_k,0.001363759
high_lag-fun_lag-time,2.0000207
high_fast_k,0.43035805
general_snow_t0,0.0043780305
general_snow_k,0.65676177
general_unsaturated_Smax,253.95143
general_unsaturated_Ce,0.51968956
general_unsaturated_beta,4.944677
general_lowersplitter_splitpar,0.41254872
general_slow_k,0.06623438
general_lag-fun_lag-time,2.0000207
general_fast_k,0.066200964
low_snow_t0,0.0043780305
low_snow_k,0.65676177
low_unsaturated_Smax,253.95143
low_unsaturated_Ce,0.51968956
low_unsaturated_beta,4.944677
low_lowersplitter_splitpar,0.8989679
low_slow_k,0.005506309
low_lag-fun_lag-time,2.0000207
low_fast_k,0.4309292
