,0
high_snow_t0,0.010910649
high_snow_k,1.2284393
high_unsaturated_Smax,229.55698
high_unsaturated_Ce,0.649801
high_unsaturated_beta,2.6210167
high_lowersplitter_splitpar,0.5128705
high_slow_k,0.0037526956
high_lag-fun_lag-time,1.9999318
high_fast_k,0.7980199
general_snow_t0,0.010910649
general_snow_k,1.2284393
general_unsaturated_Smax,229.55698
general_unsaturated_Ce,0.649801
general_unsaturated_beta,2.6210167
general_lowersplitter_splitpar,0.35423788
general_slow_k,0.04829164
general_lag-fun_lag-time,1.9999318
general_fast_k,0.03500396
low_snow_t0,0.010910649
low_snow_k,1.2284393
low_unsaturated_Smax,229.55698
low_unsaturated_Ce,0.649801
low_unsaturated_beta,2.6210167
low_lowersplitter_splitpar,0.8966715
low_slow_k,0.0074318973
low_lag-fun_lag-time,1.9999318
low_fast_k,0.4641884
