,0
high_snow_t0,0.084036745
high_snow_k,1.1123121
high_unsaturated_Smax,290.2984
high_unsaturated_Ce,0.6122412
high_unsaturated_beta,9.977926
high_lowersplitter_splitpar,0.81559205
high_slow_k,0.0036456601
high_lag-fun_lag-time,1.9988949
high_fast_k,0.05582219
general_snow_t0,0.084036745
general_snow_k,1.1123121
general_unsaturated_Smax,290.2984
general_unsaturated_Ce,0.6122412
general_unsaturated_beta,9.977926
general_lowersplitter_splitpar,0.1317018
general_slow_k,0.09976754
general_lag-fun_lag-time,1.9988949
general_fast_k,0.05455833
low_snow_t0,0.084036745
low_snow_k,1.1123121
low_unsaturated_Smax,290.2984
low_unsaturated_Ce,0.6122412
low_unsaturated_beta,9.977926
low_lowersplitter_splitpar,0.8986637
low_slow_k,0.009384276
low_lag-fun_lag-time,1.9988949
low_fast_k,0.06353126
