,0
high_snow_t0,0.05982711
high_snow_k,3.823314
high_unsaturated_Smax,220.21886
high_unsaturated_Ce,0.6332551
high_unsaturated_beta,3.602142
high_lowersplitter_splitpar,0.102077
high_slow_k,0.09979962
high_lag-fun_lag-time,1.9999853
high_fast_k,0.9994525
general_snow_t0,0.05982711
general_snow_k,3.823314
general_unsaturated_Smax,220.21886
general_unsaturated_Ce,0.6332551
general_unsaturated_beta,3.602142
general_lowersplitter_splitpar,0.102122836
general_slow_k,0.056382414
general_lag-fun_lag-time,1.9999853
general_fast_k,0.041806806
low_snow_t0,0.05982711
low_snow_k,3.823314
low_unsaturated_Smax,220.21886
low_unsaturated_Ce,0.6332551
low_unsaturated_beta,3.602142
low_lowersplitter_splitpar,0.6322842
low_slow_k,0.027969098
low_lag-fun_lag-time,1.9999853
low_fast_k,0.46714374
