,0
high_snow_t0,-0.004873777
high_snow_k,0.7242508
high_unsaturated_Csmax,0.69082034
high_unsaturated_Ce,0.5156323
high_unsaturated_beta,4.777256
high_lowersplitter_splitpar,0.89899945
high_slow_k,0.0030193198
high_lag-fun_lag-time,2.0000446
high_fast_k,0.7588416
general_snow_t0,-0.004873777
general_snow_k,0.7242508
general_unsaturated_Csmax,0.69082034
general_unsaturated_Ce,0.5156323
general_unsaturated_beta,4.777256
general_lowersplitter_splitpar,0.21558933
general_slow_k,0.069187015
general_lag-fun_lag-time,2.0000446
general_fast_k,0.044931453
low_snow_t0,-0.004873777
low_snow_k,0.7242508
low_unsaturated_Csmax,0.69082034
low_unsaturated_Ce,0.5156323
low_unsaturated_beta,4.777256
low_lowersplitter_splitpar,0.42262074
low_slow_k,0.0042458023
low_lag-fun_lag-time,2.0000446
low_fast_k,0.0015505776
