,0
high_snow_t0,0.005626105
high_snow_k,1.1673689
high_unsaturated_Csmax,0.42572814
high_unsaturated_Ce,0.7042596
high_unsaturated_beta,2.1326175
high_lowersplitter_splitpar,0.89566845
high_slow_k,0.0026171666
high_lag-fun_lag-time,1.9952018
high_fast_k,0.0006501432
general_snow_t0,0.005626105
general_snow_k,1.1673689
general_unsaturated_Csmax,0.42572814
general_unsaturated_Ce,0.7042596
general_unsaturated_beta,2.1326175
general_lowersplitter_splitpar,0.16375935
general_slow_k,0.0041836617
general_lag-fun_lag-time,1.9952018
general_fast_k,0.022615597
low_snow_t0,0.005626105
low_snow_k,1.1673689
low_unsaturated_Csmax,0.42572814
low_unsaturated_Ce,0.7042596
low_unsaturated_beta,2.1326175
low_lowersplitter_splitpar,0.8239468
low_slow_k,0.01669641
low_lag-fun_lag-time,1.9952018
low_fast_k,0.6501604
