,0
high_snow_t0,-0.0072330944
high_snow_k,0.7323315
high_unsaturated_Smax,360.1471
high_unsaturated_Ce,0.51102215
high_unsaturated_beta,5.830938
high_lowersplitter_splitpar,0.8996158
high_slow_k,0.0029105754
high_lag-fun_lag-time,1.9972395
high_fast_k,0.0011175872
general_snow_t0,-0.0072330944
general_snow_k,0.7323315
general_unsaturated_Smax,360.1471
general_unsaturated_Ce,0.51102215
general_unsaturated_beta,5.830938
general_lowersplitter_splitpar,0.22875956
general_slow_k,0.06695504
general_lag-fun_lag-time,1.9972395
general_fast_k,0.050881673
low_snow_t0,-0.0072330944
low_snow_k,0.7323315
low_unsaturated_Smax,360.1471
low_unsaturated_Ce,0.51102215
low_unsaturated_beta,5.830938
low_lowersplitter_splitpar,0.37518355
low_slow_k,0.004521531
low_lag-fun_lag-time,1.9972395
low_fast_k,0.001736174
