,0
high_snow_t0,0.014308245
high_snow_k,1.4540842
high_unsaturated_Smax,208.68112
high_unsaturated_Ce,0.6497061
high_unsaturated_beta,2.9485645
high_lowersplitter_splitpar,0.3774827
high_slow_k,0.0019368122
high_lag-fun_lag-time,1.9887228
high_fast_k,0.6983468
general_snow_t0,0.014308245
general_snow_k,1.4540842
general_unsaturated_Smax,208.68112
general_unsaturated_Ce,0.6497061
general_unsaturated_beta,2.9485645
general_lowersplitter_splitpar,0.10223065
general_slow_k,0.010841594
general_lag-fun_lag-time,1.9887228
general_fast_k,0.027425297
low_snow_t0,0.014308245
low_snow_k,1.4540842
low_unsaturated_Smax,208.68112
low_unsaturated_Ce,0.6497061
low_unsaturated_beta,2.9485645
low_lowersplitter_splitpar,0.5039556
low_slow_k,0.0067450395
low_lag-fun_lag-time,1.9887228
low_fast_k,0.00060009846
