,0
high_snow_t0,-0.0039390386
high_snow_k,2.3293877
high_unsaturated_Smax,270.761
high_unsaturated_Ce,0.54304135
high_unsaturated_beta,6.2080507
high_lowersplitter_splitpar,0.89915425
high_slow_k,0.001302676
high_lag-fun_lag-time,2.00068
high_fast_k,0.00047794974
general_snow_t0,-0.0039390386
general_snow_k,2.3293877
general_unsaturated_Smax,270.761
general_unsaturated_Ce,0.54304135
general_unsaturated_beta,6.2080507
general_lowersplitter_splitpar,0.10053403
general_slow_k,0.0983443
general_lag-fun_lag-time,2.00068
general_fast_k,0.045243327
low_snow_t0,-0.0039390386
low_snow_k,2.3293877
low_unsaturated_Smax,270.761
low_unsaturated_Ce,0.54304135
low_unsaturated_beta,6.2080507
low_lowersplitter_splitpar,0.4008563
low_slow_k,0.099535316
low_lag-fun_lag-time,2.00068
low_fast_k,0.47075433
