,0
high_snow_t0,0.06373263
high_snow_k,7.9528522
high_unsaturated_Smax,217.9978
high_unsaturated_Ce,0.660402
high_unsaturated_beta,4.708505
high_lowersplitter_splitpar,0.100146934
high_slow_k,0.099586174
high_lag-fun_lag-time,1.9991845
high_fast_k,0.9960589
general_snow_t0,0.06373263
general_snow_k,7.9528522
general_unsaturated_Smax,217.9978
general_unsaturated_Ce,0.660402
general_unsaturated_beta,4.708505
general_lowersplitter_splitpar,0.10037309
general_slow_k,0.09949882
general_lag-fun_lag-time,1.9991845
general_fast_k,0.07919159
low_snow_t0,0.06373263
low_snow_k,7.9528522
low_unsaturated_Smax,217.9978
low_unsaturated_Ce,0.660402
low_unsaturated_beta,4.708505
low_lowersplitter_splitpar,0.5617706
low_slow_k,0.016396178
low_lag-fun_lag-time,1.9991845
low_fast_k,0.035804763
