,0
high_snow_k,3.3253937
high_unsaturated_Smax,150.33559
high_unsaturated_Ce,1.0128144
high_unsaturated_beta,0.98847866
high_lowersplitter_splitpar,0.6442158
high_slow_k,0.0017474691
high_lag-fun_lag-time,2.07517
high_fast_k,0.004894418
general_snow_k,3.3253937
general_unsaturated_Smax,150.33559
general_unsaturated_Ce,1.0128144
general_unsaturated_beta,0.98847866
general_lowersplitter_splitpar,0.19066304
general_slow_k,0.02746714
general_lag-fun_lag-time,2.07517
general_fast_k,0.013213931
low_snow_k,3.3253937
low_unsaturated_Smax,150.33559
low_unsaturated_Ce,1.0128144
low_unsaturated_beta,0.98847866
low_lowersplitter_splitpar,0.6918687
low_slow_k,0.013522733
low_lag-fun_lag-time,2.07517
low_fast_k,0.01804936
