,0
high_snow_k,2.79793
high_unsaturated_Smax,119.05973
high_unsaturated_Ce,0.7691468
high_unsaturated_beta,2.5264118
high_lowersplitter_splitpar,0.8976001
high_slow_k,0.001526489
high_lag-fun_lag-time,2.1551602
high_fast_k,0.0057362053
general_snow_k,2.79793
general_unsaturated_Smax,119.05973
general_unsaturated_Ce,0.7691468
general_unsaturated_beta,2.5264118
general_lowersplitter_splitpar,0.114459135
general_slow_k,0.09940134
general_lag-fun_lag-time,2.1551602
general_fast_k,0.020009622
low_snow_k,2.79793
low_unsaturated_Smax,119.05973
low_unsaturated_Ce,0.7691468
low_unsaturated_beta,2.5264118
low_lowersplitter_splitpar,0.5354895
low_slow_k,0.031789996
low_lag-fun_lag-time,2.1551602
low_fast_k,0.44853887
