,0
high_snow_k,1.7744328
high_unsaturated_Smax,136.71605
high_unsaturated_Ce,1.0083932
high_unsaturated_beta,1.3114249
high_lowersplitter_splitpar,0.8943785
high_slow_k,0.0030069696
high_lag-fun_lag-time,2.2847207
high_fast_k,0.011360154
general_snow_k,1.7744328
general_unsaturated_Smax,136.71605
general_unsaturated_Ce,1.0083932
general_unsaturated_beta,1.3114249
general_lowersplitter_splitpar,0.10005745
general_slow_k,0.08795651
general_lag-fun_lag-time,2.2847207
general_fast_k,0.018525744
low_snow_k,1.7744328
low_unsaturated_Smax,136.71605
low_unsaturated_Ce,1.0083932
low_unsaturated_beta,1.3114249
low_lowersplitter_splitpar,0.5557719
low_slow_k,0.038252022
low_lag-fun_lag-time,2.2847207
low_fast_k,0.7023594
