,0
high_snow_k,2.7582777
high_unsaturated_Smax,143.623
high_unsaturated_Ce,1.143641
high_unsaturated_beta,1.0345492
high_lowersplitter_splitpar,0.67740494
high_slow_k,0.0040640486
high_lag-fun_lag-time,2.5189004
high_fast_k,0.029145457
general_snow_k,2.7582777
general_unsaturated_Smax,143.623
general_unsaturated_Ce,1.143641
general_unsaturated_beta,1.0345492
general_lowersplitter_splitpar,0.43853122
general_slow_k,0.028891217
general_lag-fun_lag-time,2.5189004
general_fast_k,0.26184863
low_snow_k,2.7582777
low_unsaturated_Smax,143.623
low_unsaturated_Ce,1.143641
low_unsaturated_beta,1.0345492
low_lowersplitter_splitpar,0.594913
low_slow_k,0.0905129
low_lag-fun_lag-time,2.5189004
low_fast_k,0.1800238
