,0
high_snow_k,1.6461016
high_unsaturated_Smax,156.3589
high_unsaturated_Ce,0.9212587
high_unsaturated_beta,1.1029028
high_lowersplitter_splitpar,0.6117971
high_slow_k,0.0014573635
high_lag-fun_lag-time,1.99327
high_fast_k,0.0040472215
general_snow_k,1.6461016
general_unsaturated_Smax,156.3589
general_unsaturated_Ce,0.9212587
general_unsaturated_beta,1.1029028
general_lowersplitter_splitpar,0.1016717
general_slow_k,0.00015606412
general_lag-fun_lag-time,1.99327
general_fast_k,0.010055225
low_snow_k,1.6461016
low_unsaturated_Smax,156.3589
low_unsaturated_Ce,0.9212587
low_unsaturated_beta,1.1029028
low_lowersplitter_splitpar,0.56627566
low_slow_k,0.039170146
low_lag-fun_lag-time,1.99327
low_fast_k,0.034956772
