,gauge_name,basin,nse,bfi_obs,bfi_sim,nse_value_bfi,qmean_obs,qmean_sim,slope_obs,slope_sim,hfd_obs,hfd_sim
0,Eisenschmitt,DERP2028,0.8649751242229604,0.5912286564625354,0.6398364078708426,0.8645179721677549,1.076659242459983,1.0018854780187039,2.249832566632805,1.8877731737649006,131.46153846153845,136.1153846153846
1,A9001050,FR000183,0.3723873844497293,0.7263461280996635,0.6325414485924556,,1.3587597394179618,1.1535837975961212,2.2048638196473735,1.9607389851242063,147.25,135.45833333333334
2,Sinspelt,DERP2008,0.7520798704793424,0.4632010969159292,0.6428716130512556,0.4920070895219515,1.0472986121931485,1.0311721914616672,3.555971392328444,1.9140071266062937,120.88461538461539,135.6153846153846
3,A5242010,FR000137,0.7744976653333664,0.5079481042588097,0.6335812003117268,,0.9956666274344927,1.010652796936394,2.9663314793754534,2.0983345659939996,124.30434782608695,132.69565217391303
4,L'Isch Ã  Postroff,FR003294,0.685425301747073,0.5169186781536074,0.6371287452957468,,0.9148306708232089,0.8055355222503241,2.5154940473730383,2.0645597023770255,129.0952380952381,135.66666666666666
5,A9021050,FR000185,0.3765084818017195,0.5417133374177967,0.6246549274793344,,0.7993524710435663,1.201626699343104,3.2063018307440525,2.0131600669533967,145.27777777777777,142.0
6,A6872010,FR000154,0.7815172350883808,0.5431762661877202,0.6483990551021381,,0.8637251282104524,0.7258465670794501,1.9657436908760961,2.075461112234675,130.75,134.91666666666666
7,La Nied Allemande Ã  Varize,FR003307,0.7918196026373258,0.48802860347278665,0.6462139004048385,,0.7842232990660046,0.6795176816421408,3.3929812296089343,1.9854609512193462,122.36,134.36
8,La Vezouze Ã  ThiÃ©baumÃ©nil,FR003256,0.7975599967155393,0.5234492103005389,0.6372871066265403,,0.9943526845625006,0.9085076195733444,2.3787419853905885,2.02467375807818,128.3125,133.5625
9,GemuendOur,DERP2004,0.8093456877086271,0.5001961046867561,0.6446463102036145,0.5494266575781883,1.2123051432798406,1.241897072800707,3.0978596160693375,1.899376554370138,125.73076923076923,136.34615384615384
10,La Meurthe Ã  Azerailles et Ã  Baccarat,FR003252,0.7741620744137708,0.6693441995521313,0.6166468890900406,,1.683498334877289,1.6333797419369342,2.0874403893284983,2.0657969797021574,149.33333333333334,138.91666666666666
11,La Sarre Ã  Sarreguemines et Ã  Sarreinsming,FR003302,0.8543448265199698,0.5461876410176256,0.6432231211389717,,0.8495899649369768,0.8839039261848128,2.4046815359867963,2.0417241125173016,131.33333333333334,135.41666666666666
12,La Moselle Ã  Toul,FR003249,0.8693301149085508,0.5796744249010707,0.6315226130515984,,1.57132401475247,1.3401176604227276,2.7292696550983586,2.0655281164039616,128.30769230769232,132.03846153846155
13,A6232010,FR000144,-0.17420430850806023,0.6872353910753508,0.633620778140807,,1.444598096445125,1.2650298534174695,2.1998091011604126,1.9875127723371904,173.23809523809524,135.47619047619048
