,gauge_name,basin,nse,bfi_obs,bfi_sim,nse_value_bfi,qmean_obs,qmean_sim,slope_obs,slope_sim,hfd_obs,hfd_sim
0,L'ArentÃƒÂ¨le ÃƒÂ  Saint-Gorgon et ÃƒÂ  Sainte-HÃƒÂ©lÃƒÂ¨ne,FR003259,0.4445351444569947,0.5706232490689632,0.6885699979443797,,0.8747875558972658,1.2617478459075273,2.2152232268195253,1.8332957899610751,136.64705882352942,143.0
1,A9013050,FR000184,0.5600535576919339,0.7607683459067961,0.7929116998010018,,1.3461345641856322,1.0747379849996699,1.439657424216201,1.350502690451116,152.48,148.92
2,Hornbach,DERP2015,0.7748251236485758,0.680687665329563,0.6692873490433097,0.6418270580389412,0.999727657961247,0.8432927466197871,1.7763706983828427,1.9253685809019074,142.96153846153845,138.23076923076923
3,L'Orne Ã  Ã‰tain,FR003274,0.7549084912830888,0.4388275678210208,0.46120705947806534,,0.6728063523481701,0.8015199078566502,3.45529350359786,3.218731666011044,127.45454545454545,130.8181818181818
4,Peltzerhaus,DERP2036,0.8709632366522407,0.47157230315414317,0.5177708422495809,0.891406654566118,0.7697909099995716,0.67841438820807,3.475729191631467,3.7424457748856694,127.07692307692308,131.76923076923077
5,AlsdorfOberecken,DERP2011,0.8674148763492041,0.5618528253644051,0.5985562594171144,0.8312916758104569,0.8511268809833806,0.8986646136381766,2.0141747929079346,2.4270016463573794,130.03846153846155,133.92307692307693
6,Reuland,BEWA0066,0.8889711917473369,0.5157415459885847,0.5298462457738732,,1.3588031872303,1.3482523172492096,3.400557707042768,3.3856107109666422,126.29411764705883,127.70588235294117
7,L'Orne Ã  Boncourt,FR003275,0.7733952954504841,0.4211480281801187,0.48633158515029057,,0.700921766646005,0.8527525803002068,4.118494126340723,3.269015562743051,123.32,126.8
8,La Vezouze Ã  LunÃ©ville,FR003257,0.8244127571572978,0.5222915688252827,0.5850877288989108,,0.9787323451344386,0.8126309478900096,2.4418798274668423,2.530246916856161,127.32,131.6
9,La Sarre Ã  Keskastel,FR003296,0.8464434254850807,0.5438003919470576,0.587881720617887,0.7637334767166093,0.8351470457281275,0.8898045509521986,2.183741709168209,2.487593425490854,132.15384615384616,131.84615384615384
10,A7881010,FR000171,0.8141619286339115,0.5258401840570618,0.5327535351498238,,0.6489004821742346,0.5930028976473515,2.794871761794153,3.002318842072814,124.91666666666667,128.70833333333334
11,A5500610,FR000140,0.8959895831309453,0.5647858633731606,0.5633114306274675,,1.5435719282086267,1.3503111899571323,2.688164983519076,2.7692933630414616,127.88,127.24
12,BundespegelPerl ,DEBU1956,0.8571378241279883,0.6023545418383962,0.5667606528799239,0.8690558250549788,1.0538170118310684,0.9585329505274147,2.5050865854074784,2.7663143210237826,132.03846153846155,129.30769230769232
