basin,nse,nse_rg,nse_r1,nse_c1,nse_g1,nse_bfi_r1,nse_bfi_c1,nse_bfi_g1,bfi_obs,bfi_r1,bfi_c1,bfi_g1,qmean_obs,qmean_r1,qmean_c1,qmean_g1,slope_obs,slope_r1,slope_c1,slope_g1,hfd_obs,hfd_r1,hfd_c1,hfd_g1
LU000018,0.2494733376731254,0.01217319249842752,0.7098435978024247,0.46037026012929927,0.6976704053039972,,,,0.5491332552226622,0.643549387741562,0.779311166685996,0.48006641512903125,0.8958442072655957,0.8150653471538658,0.8255972914424177,0.8164401690305063,2.305894875074405,2.142344404674451,1.8999880453198703,2.982824227196682,127.38461538461539,138.53846153846155,153.0,128.3846153846154
LU000010,0.19380682350426925,0.10820995964242364,0.7809864483087771,0.5871796248045078,0.6727764886663534,,,,0.6187599923498417,0.6510568065591762,0.7541452969167672,0.47677733659744936,0.9264638449166221,0.9193810133344549,0.9270429988724097,0.9177667544125081,1.430666764097312,2.2195906319111054,2.0247376547864584,3.048418019309465,130.6153846153846,138.15384615384616,148.76923076923077,127.15384615384616
LU000001,-0.008799384834987767,0.22905265151819754,0.8454123632907372,0.854211748125725,0.6163597117725397,,,,0.5468503966298911,0.49282631021435563,0.5429596075068385,0.758257703076114,1.192096235012109,1.2193385384759505,1.2059606870384934,1.2154867451050677,3.860265270934023,3.458539403101899,2.7966796471993236,2.310771588934237,121.61538461538461,120.92307692307692,127.07692307692308,149.07692307692307
LU000006,0.005188218758917507,0.027477506011742592,0.8720257881643729,0.8668375694054554,0.8445482821526303,,,,0.572308467363715,0.5613174289220203,0.5990947471150124,0.6593748633554556,0.9586417313463302,0.9031906726383103,0.9063277365924732,0.903499394845997,2.4141306296435143,2.768974241618774,2.5293765546999607,2.3476028650836267,127.46153846153847,128.84615384615384,133.92307692307693,140.3846153846154
LU000007,0.003827744541782363,0.039155025832620205,0.8394543512176537,0.8356266066758713,0.8002993253850335,,,,0.5820376371289808,0.5823851672380974,0.618745207144165,0.5090709838599785,0.8377600275319108,0.8063784799187103,0.8171947506559831,0.8073962291562855,2.179298871547911,2.4499956095246826,2.37881527932784,2.8466894924722252,135.30769230769232,131.53846153846155,137.6153846153846,129.53846153846155
LU000014,-0.008829495704086865,0.07595390317976358,0.7819567898887398,0.7907862855928267,0.7060028867089763,,,,0.5910754818827649,0.5748254976740031,0.6181493007406479,0.48640203181512587,0.806441904065329,0.7888399713191366,0.8005835217048912,0.7898850325789688,1.7501577598896076,2.412061846610463,2.3581025522456156,2.979390957552316,134.30769230769232,131.3846153846154,137.92307692307693,128.76923076923077
DERP2006,0.040337037926843955,-0.01629794242977345,0.8237093548435759,0.7833723169167319,0.8400072972733493,0.8411506781715242,0.7850185971991899,0.7965032576694174,0.43962157636394383,0.5300281410716943,0.5801552450215182,0.4905791201706661,1.4772328390901432,1.3256952141481757,1.3229340344616571,1.3130792339908552,4.017057443002232,3.0302192065608384,2.7452593121581743,2.857515531338261,122.23076923076923,129.73076923076923,133.5,133.23076923076923
FR000124,-0.02962156168585961,-0.016045024454633516,0.7697000366485915,0.7993215983344512,0.7857450611032251,,,,0.4742586446981948,0.44372144055236323,0.46043444562061486,0.5003666565281397,3.9161042905995633,3.3412782679040216,3.303566739690698,3.3112800671338714,3.0970781483971495,3.2621241467287043,3.000791931665502,2.8526993633523934,118.71428571428571,122.80952380952381,125.0,126.23809523809524
BEWA0067,0.022694269940173095,0.16179096352403377,0.8278112895947545,0.8051170196545814,0.6660203260707207,,,,0.44687806121952867,0.5125437074370277,0.5503966139356693,0.6893340610018884,1.5219266002304095,1.468235088454349,1.443722923038675,1.4553113519681387,3.527883532917868,3.219218084148251,2.9025000601415814,2.1090866915814828,123.4375,127.8125,132.625,145.75
FR000169,-0.015380786439020189,0.03550306096923461,0.73903540611065,0.7544161925496702,0.7035323451414154,,,,0.5816472690192767,0.5494562420208238,0.5712660603038496,0.5109765159156798,0.7066709652720817,0.6895615251576952,0.69960044546833,0.6943100260689175,1.8911673540319904,2.5543553371911223,2.409481689893671,2.820138140686286,132.52631578947367,134.21052631578948,135.3684210526316,133.31578947368422
