basin,nse,nse_rg,nse_nogeo,nse_bfi_nogeo,bfi_obs,bfi_nogeo,qmean_obs,qmean_nogeo,slope_obs,slope_nogeo,hfd_obs,hfd_nogeo
LU000018,0.0,0.0,0.6709444300676395,,0.5491332552226622,0.6623148566885115,0.8958442072655957,0.8371279530238912,2.305894875074405,1.8443982915222026,127.38461538461539,135.6153846153846
LU000010,0.0,0.0,0.7692157007354914,,0.6187599923498417,0.6567102799303742,0.9264638449166221,0.9424184176071211,1.430666764097312,1.8640168965198705,130.6153846153846,133.92307692307693
LU000001,0.0,0.0,0.8158992750497623,,0.5468503966298911,0.653451889122269,1.192096235012109,1.2550611386937645,3.860265270934023,1.7087055537601037,121.61538461538461,136.15384615384616
DERP2028,0.0,0.0,0.843898563397131,0.8179628655599102,0.5912286564625354,0.6685382894997518,1.076659242459983,1.0293198077436936,2.249832566632805,1.784989828259833,131.46153846153845,138.23076923076923
FR000183,0.0,0.0,0.4105261958231434,,0.7263461280996635,0.660868610942575,1.3587597394179618,1.1875952393950309,2.2048638196473735,1.846451479984995,147.25,138.125
DERP2008,0.0,0.0,0.7160987342701638,0.37136093302254614,0.4632010969159292,0.6716558327490577,1.0472986121931485,1.061056628034368,3.555971392328444,1.810155626878481,120.88461538461539,137.6153846153846
FR000137,0.0,0.0,0.7350796581902915,,0.5079481042588097,0.6621750617921794,0.9956666274344927,1.0380154092635105,2.9663314793754534,1.986886320559843,124.30434782608695,135.17391304347825
FR003294,0.0,0.0,0.6474902109333696,,0.5169186781536074,0.6652564376302096,0.9148306708232089,0.8289386845750045,2.5154940473730383,1.9597640929020663,129.0952380952381,138.52380952380952
FR000185,0.0,0.0,0.32120849351491043,,0.5417133374177967,0.6551609143584508,0.7993524710435663,1.2419001018286353,3.2063018307440525,1.8508418944016343,145.27777777777777,144.16666666666666
FR000154,0.0,0.0,0.7647678057634543,,0.5431762661877202,0.6763016925085817,0.8637251282104524,0.746232582917116,1.9657436908760961,1.977462125487419,130.75,137.83333333333334
FR003307,0.0,0.0,0.7658487378342533,,0.48802860347278665,0.6748969467373416,0.7842232990660046,0.7034319597624252,3.3929812296089343,1.8880616032631863,122.36,136.96
FR003256,0.0,0.0,0.7713944173314684,,0.5234492103005389,0.6623683778056605,0.9943526845625006,0.9604631515464426,2.3787419853905885,1.8789238824298187,128.3125,135.1875
DERP2004,0.0,0.0,0.7634336967353582,0.33971911303748825,0.5001961046867561,0.673010511469242,1.2123051432798406,1.3425483685280262,3.0978596160693375,1.7493222619570183,125.73076923076923,138.34615384615384
FR003252,0.0,0.0,0.7921350508931266,,0.6693441995521313,0.6441559778072427,1.683498334877289,1.7756648224697262,2.0874403893284983,1.9009422934779103,149.33333333333334,139.83333333333334
FR003302,0.0,0.0,0.812699183302396,,0.5461876410176256,0.6710089523302118,0.8495899649369768,0.9271231704611974,2.4046815359867963,1.8957844327099833,131.33333333333334,137.58333333333334
FR003249,0.0,0.0,0.8640554822013421,,0.5796744249010707,0.6564501796225143,1.57132401475247,1.6438287026567204,2.7292696550983586,1.824059493074023,128.30769230769232,134.6153846153846
FR000144,0.0,0.0,-0.06882527831072971,,0.6872353910753508,0.6610852276163962,1.444598096445125,1.3019259559807608,2.1998091011604126,1.8399079589190188,173.23809523809524,138.38095238095238
LU000006,0.0,0.0,0.8782514631070144,,0.572308467363715,0.6675198684559108,0.9586417313463302,0.9297823712964043,2.4141306296435143,1.8095614179676804,127.46153846153847,136.53846153846155
LU000007,0.0,0.0,0.7997555351154132,,0.5820376371289808,0.6652153230122685,0.8377600275319108,0.8283734421134747,2.179298871547911,1.8768737541582052,135.30769230769232,136.30769230769232
LU000014,0.0,0.0,0.7517371332887275,,0.5910754818827649,0.6642511664767056,0.806441904065329,0.8097911012102257,1.7501577598896076,1.8688534469128917,134.30769230769232,136.3846153846154
DERP2006,0.0,0.0,0.7227271305936676,0.39318710231270304,0.43962157636394383,0.6670462763288104,1.4772328390901432,1.3811092294833813,4.017057443002232,1.7544486792863787,122.23076923076923,138.57692307692307
FR000124,0.0,0.0,0.7556621799778467,,0.4742586446981948,0.6093759784510406,3.9161042905995633,3.429459819203939,3.0970781483971495,1.7471930891865588,118.71428571428571,133.9047619047619
BEWA0067,0.0,0.0,0.7256350580534086,,0.44687806121952867,0.6671090035654536,1.5219266002304095,1.5408643080367759,3.527883532917868,1.671726281004134,123.4375,139.5
FR000169,0.0,0.0,0.7504623809843701,,0.5816472690192767,0.6789103628331414,0.7066709652720817,0.6937075321827264,1.8911673540319904,1.8023763582791879,132.52631578947367,140.10526315789474
DERP2029,0.0,0.0,0.8361620205959817,0.6334169479235656,0.5770721236525367,0.6713956643620145,0.8128997419966302,0.9277865635197815,2.202408139605328,1.8287218823390272,132.07692307692307,138.34615384615384
FR000153,0.0,0.0,0.6783248618522018,,0.6421192150887213,0.6624810026198331,1.0716031926027136,1.3502680413994899,2.2348418963151917,1.895058955809896,133.83333333333334,132.72222222222223
FR000142,0.0,0.0,0.8149526786001797,0.7414579899216679,0.6181879444170277,0.6588879638424517,1.701081378030953,1.7483465294545413,2.1363079945665095,1.742104118830855,134.65384615384616,137.15384615384616
DERP2023,0.0,0.0,0.8388151441118726,0.744511127644875,0.5475464240473255,0.6739944035185231,1.2046407986235061,1.1432638019338448,2.2375005419180587,1.7822867686756456,128.80769230769232,140.0
FR000128,0.0,0.0,0.8187470593734514,,0.5262351104042112,0.6360670958173055,3.177223275885115,2.7883443940671313,2.878325804251507,1.7259857644263,127.44,135.76
FR003246,0.0,0.0,0.7275231539808782,,0.4707725058083362,0.6730285036390107,0.9209072206799293,0.9089947305360653,2.979323882652053,1.9913614814609555,120.84,135.84
FR003241,0.0,0.0,0.8429031733455556,,0.5720068735304338,0.640113042289666,1.9660347551444997,2.127972257363925,2.6656768746543382,1.7874630076300808,127.5,132.86363636363637
FR003265,0.0,0.0,0.8955807624522589,0.8289811518805529,0.6045800876045967,0.6656707845885468,1.3650431518522423,1.3617493798393407,2.506784709873493,1.8711525837661336,132.30769230769232,135.5
LU000008,0.0,0.0,0.6776691198553814,,0.5007259510922724,0.6557811965652001,1.1407084448892786,1.1928380158975587,4.088001988594442,1.726393749115136,119.61538461538461,136.30769230769232
LU000005,0.0,0.0,0.7963057468723724,,0.5131519601965012,0.6657354326206165,1.216878753629151,1.2947030556283927,3.044633207499545,1.6895326116272535,124.53846153846153,137.23076923076923
BEWA0106,0.0,0.0,0.7159739798586584,,0.4968046967832148,0.6716220288015646,1.157128320430866,1.1295767542729969,4.0636305642567105,1.7833082753985916,127.0,139.8695652173913
FR003280,0.0,0.0,0.6342297204064465,,0.6641526137715094,0.6536464118507895,1.2547971041714252,1.0103999667378962,3.012885676799598,1.806507769331686,139.57692307692307,135.6153846153846
DERP2017,0.0,0.0,0.868533004803489,0.8103789500787982,0.6040660981781378,0.6570834366618109,1.323952539769067,1.204014230551086,2.6920265731938446,1.807247092813981,133.5,135.23076923076923
DERP2031,0.0,0.0,0.8263682050630106,0.6630750140850301,0.589492155815281,0.6556727223090907,1.1105974049514904,1.2033364373556372,3.0308423381768783,1.779203429709756,133.8846153846154,135.07692307692307
FR000125,0.0,0.0,0.790169602726863,,0.5023047759426577,0.6253217315946074,3.519459023368721,3.1881328157338866,2.7963068203600563,1.6913839426949908,125.91304347826087,136.2608695652174
DERP2018,0.0,0.0,0.8307942303911111,0.6054534761080742,0.5762481641776137,0.6577801690427808,1.024572454928391,1.1866931316964449,2.8786026835903322,1.8110631704075737,132.46153846153845,135.26923076923077
DERP2022,0.0,0.0,0.8522152796452014,0.830844935456763,0.560257812862486,0.6729175993641888,1.3282642136993508,1.2035755447168073,2.16063169738943,1.7940698183532724,129.8846153846154,140.34615384615384
