,gauge_name,basin,nse,bfi_obs,bfi_sim,nse_value_bfi,qmean_obs,qmean_sim,slope_obs,slope_sim,hfd_obs,hfd_sim
0,Schoenfels,LU000018,0.38386088372112637,0.5491332552226622,0.8081005986307361,,0.8958442072655957,0.7999629980309015,2.305894875074405,1.8061142998337474,127.38461538461539,161.53846153846155
1,Hunnebuer,LU000010,0.5330531392196621,0.6187599923498417,0.7835269501999332,,0.9264638449166221,0.902689327498158,1.430666764097312,1.9207222599200033,130.6153846153846,156.46153846153845
2,Bigonville,LU000001,0.8689617498065091,0.5468503966298911,0.5693015213395874,,1.192096235012109,1.2005303893673953,3.860265270934023,2.818738864436661,121.61538461538461,129.30769230769232
3,Eisenschmitt,DERP2028,0.43590961860150357,0.5912286564625354,0.8384330188877877,0.21325555431408671,1.076659242459983,0.9733653426376152,2.249832566632805,1.6493752066300276,131.46153846153845,167.73076923076923
4,A9001050,FR000183,0.435803770325366,0.7263461280996635,0.7486405581947111,,1.3587597394179618,1.1078677567970523,2.2048638196473735,1.8012494301303716,147.25,153.45833333333334
5,Sinspelt,DERP2008,0.7482491757250722,0.4632010969159292,0.6111758852272208,0.7397815415113749,1.0472986121931485,1.0087611268790297,3.555971392328444,2.81293475120175,120.88461538461539,134.3846153846154
6,A5242010,FR000137,0.804205303140741,0.5079481042588097,0.55114547700451,,0.9956666274344927,0.9630578762533837,2.9663314793754534,2.738987656322979,124.30434782608695,131.3913043478261
7,L'Isch Ã  Postroff,FR003294,0.6735589432198714,0.5169186781536074,0.5249846774260076,,0.9148306708232089,0.7633873170511847,2.5154940473730383,2.868703861349703,129.0952380952381,131.8095238095238
8,A9021050,FR000185,0.27630923756949133,0.5417133374177967,0.7931436084110762,,0.7993524710435663,1.151387301644226,3.2063018307440525,1.5816452277172839,145.27777777777777,164.5
9,A6872010,FR000154,0.7654216845002024,0.5431762661877202,0.5648637785727538,,0.8637251282104524,0.694944900541073,1.9657436908760961,2.7433582834555432,130.75,132.875
10,La Nied Allemande Ã  Varize,FR003307,0.8084360580691472,0.48802860347278665,0.5826873080547975,,0.7842232990660046,0.6585354201800512,3.3929812296089343,2.4893131223013247,122.36,132.6
11,La Vezouze Ã  ThiÃ©baumÃ©nil,FR003256,0.7152745333915229,0.5234492103005389,0.6850298395555842,,0.9943526845625006,0.8912301926172649,2.3787419853905885,1.9788398890349306,128.3125,144.25
12,GemuendOur,DERP2004,0.8238436011317272,0.5001961046867561,0.5881715522636292,0.7998879610276656,1.2123051432798406,1.2695306680475795,3.0978596160693375,2.830454785170589,125.73076923076923,133.42307692307693
13,La Meurthe Ã  Azerailles et Ã  Baccarat,FR003252,0.7352967094529832,0.6693441995521313,0.6028612896128666,,1.683498334877289,1.6709878619762037,2.0874403893284983,2.5440645973090823,149.33333333333334,139.91666666666666
14,La Sarre Ã  Sarreguemines et Ã  Sarreinsming,FR003302,0.8453603829359421,0.5461876410176256,0.6220044171372637,,0.8495899649369768,0.8601089633411985,2.4046815359867963,2.2984415033248258,131.33333333333334,138.75
15,La Moselle Ã  Toul,FR003249,0.8937182763187123,0.5796744249010707,0.5999917179307193,,1.57132401475247,1.5452828384938504,2.7292696550983586,2.5337804008890874,128.30769230769232,132.3846153846154
16,A6232010,FR000144,0.054038975833083036,0.6872353910753508,0.7569677259627186,,1.444598096445125,1.2287408610720767,2.1998091011604126,1.91776791757837,173.23809523809524,152.71428571428572
17,Diekirch,LU000006,0.8627614140621067,0.572308467363715,0.6250988792363522,,0.9586417313463302,0.8857269626804399,2.4141306296435143,2.4432166935203963,127.46153846153847,137.53846153846155
18,EttelbrueckAlzette,LU000007,0.8210254896319796,0.5820376371289808,0.6459339798614768,,0.8377600275319108,0.7883981460704758,2.179298871547911,2.188214744756053,135.30769230769232,141.69230769230768
19,Mersch,LU000014,0.7765327565637429,0.5910754818827649,0.6455714500955022,,0.806441904065329,0.7707931372382387,1.7501577598896076,2.1830276866870126,134.30769230769232,142.23076923076923
20,Pruem,DERP2006,0.7489655333347331,0.43962157636394383,0.6076017240266468,0.7226942684102873,1.4772328390901432,1.3065124942760147,4.017057443002232,2.6284596692243056,122.23076923076923,135.76923076923077
21,A4020610,FR000124,0.7968722224859973,0.4742586446981948,0.4800268583563181,,3.9161042905995633,3.2810371326912815,3.0970781483971495,2.9158181874258173,118.71428571428571,125.33333333333333
22,Schoenberg,BEWA0067,0.7806985236859163,0.44687806121952867,0.5775063158290491,,1.5219266002304095,1.4454976040601006,3.527883532917868,2.7202289445682433,123.4375,134.1875
24,A7642010,FR000169,0.7497413593547239,0.5816472690192767,0.5888023477136134,,0.7066709652720817,0.6408290439646649,1.8911673540319904,2.4040077815324525,132.52631578947367,136.31578947368422
25,Dreis,DERP2029,0.49963787495500955,0.5770721236525367,0.8194348280229056,-0.06914523081991453,0.8128997419966302,0.8795623688182767,2.202408139605328,1.6688238292056092,132.07692307692307,164.07692307692307
26,A6701210,FR000153,0.6228106464780514,0.6421192150887213,0.7694913480023822,,1.0716031926027136,1.2644488988303744,2.2348418963151917,1.8148641366728062,133.83333333333334,150.33333333333334
27,A6051020,FR000142,0.7839437375201685,0.6181879444170277,0.5456603632447494,0.7335641582939809,1.701081378030953,1.6318055226447035,2.1363079945665095,2.7494612996495094,134.65384615384616,130.26923076923077
28,Densborn,DERP2023,0.7972233496698757,0.5475464240473255,0.6393173795609203,0.7762181255411696,1.2046407986235061,1.0769646743816381,2.2375005419180587,2.4546225284034495,128.80769230769232,140.26923076923077
29,A4200630,FR000128,0.8549377443958917,0.5262351104042112,0.5268605644909922,,3.177223275885115,2.6479296887291204,2.878325804251507,2.9169831360973784,127.44,127.48
30,Le Madon Ã  Pulligny,FR003246,0.784587817277962,0.4707725058083362,0.5986230662075973,,0.9209072206799293,0.8471075512800806,2.979323882652053,2.4929099665285586,120.84,134.76
31,La Moselle Ã  Saint-Mard et Ã  Tonnoy et Ã  Velle-sur-Moselle,FR003241,0.8738976350458985,0.5720068735304338,0.5779275614943363,,1.9660347551444997,2.014302839802159,2.6656768746543382,2.594239172011367,127.5,127.81818181818181
32,La Moselle Ã  Custines,FR003265,0.8910316255112878,0.6045800876045967,0.6313067145851646,0.906594110164199,1.3650431518522423,1.2760010806524467,2.506784709873493,2.3536999533893903,132.30769230769232,135.69230769230768
33,Heiderscheidergrund,LU000008,0.7143725126847312,0.5007259510922724,0.5734359430014293,,1.1407084448892786,1.140950776828683,4.088001988594442,2.8384113793793992,119.61538461538461,130.15384615384616
34,Dasbourg,LU000005,0.8375753929754667,0.5131519601965012,0.5856340675350842,,1.216878753629151,1.2271647950617706,3.044633207499545,2.635835371313039,124.53846153846153,133.07692307692307
35,Reuland,BEWA0106,0.783941139752838,0.4968046967832148,0.5952955607814561,,1.157128320430866,1.0642356071897079,4.0636305642567105,2.939518961105029,127.0,135.56521739130434
36,Le Woigot Ã  Briey,FR003280,0.4616715357540361,0.6641526137715094,0.5055542869109914,,1.2547971041714252,0.937372393338413,3.012885676799598,2.994685595000982,139.57692307692307,129.07692307692307
37,Hentern,DERP2017,0.85171939795288,0.6040660981781378,0.5712496876708555,0.8104952657628969,1.323952539769067,1.1521738846830323,2.6920265731938446,3.083083800508503,133.5,129.26923076923077
