,gauge_name,basin,nse,bfi_obs,bfi_sim,nse_value_bfi,qmean_obs,qmean_sim,slope_obs,slope_sim,hfd_obs,hfd_sim
0,Schoenfels,LU000018,0.7473419320708075,0.5491332552226622,0.567322412311398,,0.8958442072655957,0.8211144646490494,2.305894875074405,2.176408328301655,127.38461538461539,133.46153846153845
1,Hunnebuer,LU000010,0.8043909896734858,0.6187599923498417,0.5632943065430166,,0.9264638449166221,0.9232601100979603,1.430666764097312,2.2188436045968976,130.6153846153846,131.53846153846155
2,Bigonville,LU000001,0.7931098056090085,0.5468503966298911,0.6720222935579485,,1.192096235012109,1.2470388115741926,3.860265270934023,2.5127054018548995,121.61538461538461,136.84615384615384
3,Eisenschmitt,DERP2028,0.7843744482643243,0.5912286564625354,0.676982511993256,0.7812981418460786,1.076659242459983,0.9961849445010882,2.249832566632805,2.5111243098360077,131.46153846153845,140.84615384615384
4,A9001050,FR000183,0.3691102402873263,0.7263461280996635,0.653442040246829,,1.3587597394179618,1.1490399190445517,2.2048638196473735,2.5992895146773454,147.25,137.75
5,Sinspelt,DERP2008,0.7816857990507186,0.4632010969159292,0.5754475984242995,0.6272588724881321,1.0472986121931485,1.0102280046861345,3.555971392328444,2.1834592879534425,120.88461538461539,136.19230769230768
6,A5242010,FR000137,0.7872083278124378,0.5079481042588097,0.5643348492907292,,0.9956666274344927,0.9994815437002349,2.9663314793754534,2.3271459408549604,124.30434782608695,133.0
7,L'Isch Ã  Postroff,FR003294,0.6926576363879751,0.5169186781536074,0.5687751850036985,,0.9148306708232089,0.7969798716110362,2.5154940473730383,2.2390895279363763,129.0952380952381,136.0
8,A9021050,FR000185,0.43024677007557954,0.5417133374177967,0.6615283339888948,,0.7993524710435663,1.2019970410864016,3.2063018307440525,2.607744331494729,145.27777777777777,145.22222222222223
9,A6872010,FR000154,0.7912439736480961,0.5431762661877202,0.5839634359625444,,0.8637251282104524,0.7245488453283391,1.9657436908760961,2.285249580234183,130.75,134.625
10,La Nied Allemande Ã  Varize,FR003307,0.7893335700892267,0.48802860347278665,0.5794973484561,,0.7842232990660046,0.6846702601090474,3.3929812296089343,2.1961301205955834,122.36,133.36
11,La Vezouze Ã  ThiÃ©baumÃ©nil,FR003256,0.7771667134144341,0.5234492103005389,0.6296298464925361,,0.9943526845625006,0.9243390257214226,2.3787419853905885,2.435066909612977,128.3125,135.875
12,GemuendOur,DERP2004,0.7745733741115561,0.5001961046867561,0.6643622248329314,0.5782715266048801,1.2123051432798406,1.284230369134101,3.0978596160693375,2.274350465949697,125.73076923076923,139.23076923076923
13,La Meurthe Ã  Azerailles et Ã  Baccarat,FR003252,0.7283011606394203,0.6693441995521313,0.6198181282872464,,1.683498334877289,1.715963357821974,2.0874403893284983,2.6376611135495667,149.33333333333334,138.33333333333334
14,La Sarre Ã  Sarreguemines et Ã  Sarreinsming,FR003302,0.8434081381289399,0.5461876410176256,0.6139226040661091,,0.8495899649369768,0.8947123224630898,2.4046815359867963,2.333007040266601,131.33333333333334,136.54166666666666
15,La Moselle Ã  Toul,FR003249,0.8936888643311865,0.5796744249010707,0.5961076948302517,,1.57132401475247,1.584727128511256,2.7292696550983586,2.5592311712220837,128.30769230769232,130.8846153846154
16,A6232010,FR000144,-0.3313587608290678,0.6872353910753508,0.6650223927020935,,1.444598096445125,1.2619352268221242,2.1998091011604126,2.6986379936719485,173.23809523809524,137.38095238095238
17,Diekirch,LU000006,0.8680044826634581,0.572308467363715,0.6504080004505943,,0.9586417313463302,0.9183191640121561,2.4141306296435143,2.30671206326487,127.46153846153847,137.6153846153846
18,EttelbrueckAlzette,LU000007,0.8523941809552267,0.5820376371289808,0.583015229071953,,0.8377600275319108,0.813061486961079,2.179298871547911,2.2171208291738536,135.30769230769232,134.92307692307693
19,Mersch,LU000014,0.8089585944111286,0.5910754818827649,0.5710206664685599,,0.806441904065329,0.7943032219053109,1.7501577598896076,2.19339029929715,134.30769230769232,134.0
20,Pruem,DERP2006,0.7931935960025793,0.43962157636394383,0.567068718724848,0.6227507543229207,1.4772328390901432,1.3091328504687236,4.017057443002232,2.1211496255422304,122.23076923076923,137.65384615384616
21,A4020610,FR000124,0.7916495818335375,0.4742586446981948,0.5208177128040226,,3.9161042905995633,3.3451494932461086,3.0970781483971495,2.689867645315862,118.71428571428571,126.76190476190476
22,Schoenberg,BEWA0067,0.7213942556103599,0.44687806121952867,0.6536219604579528,,1.5219266002304095,1.4834084580575604,3.527883532917868,2.157198101413456,123.4375,140.0
24,A7642010,FR000169,0.7542992489565273,0.5816472690192767,0.5773104421958514,,0.7066709652720817,0.6681383900457379,1.8911673540319904,2.164406335652488,132.52631578947367,136.26315789473685
25,Dreis,DERP2029,0.7850581633692519,0.5770721236525367,0.6792435770585951,0.6269398444029061,0.8128997419966302,0.9005507784280173,2.202408139605328,2.554455401446481,132.07692307692307,141.19230769230768
26,A6701210,FR000153,0.7206985950780693,0.6421192150887213,0.6411220978630615,,1.0716031926027136,1.3008969754082031,2.2348418963151917,2.47827182229745,133.83333333333334,132.61111111111111
27,A6051020,FR000142,0.8306171145541719,0.6181879444170277,0.6059716653496091,0.8393145564230355,1.701081378030953,1.6820773506650888,2.1363079945665095,2.4737036211901984,134.65384615384616,133.03846153846155
28,Densborn,DERP2023,0.8714689187471768,0.5475464240473255,0.6012089476329193,0.8591339041569521,1.2046407986235061,1.0908881452535104,2.2375005419180587,2.195925997182865,128.80769230769232,139.5
29,A4200630,FR000128,0.861736553040163,0.5262351104042112,0.5564520591924749,,3.177223275885115,2.6902275463123475,2.878325804251507,2.7417166777424566,127.44,128.88
30,Le Madon Ã  Pulligny,FR003246,0.7894426830336989,0.4707725058083362,0.5798396429148579,,0.9209072206799293,0.8788598765576353,2.979323882652053,2.306039676796531,120.84,133.44
31,La Moselle Ã  Saint-Mard et Ã  Tonnoy et Ã  Velle-sur-Moselle,FR003241,0.8752172862476638,0.5720068735304338,0.5843282144302622,,1.9660347551444997,2.0603196119318445,2.6656768746543382,2.587431202309944,127.5,127.13636363636364
32,La Moselle Ã  Custines,FR003265,0.8965755137991898,0.6045800876045967,0.6180140819135843,0.9111184820986183,1.3650431518522423,1.314105650125848,2.506784709873493,2.5268665209451275,132.30769230769232,133.0
33,Heiderscheidergrund,LU000008,0.6834533914242349,0.5007259510922724,0.6757629070533382,,1.1407084448892786,1.18603205195024,4.088001988594442,2.5392639737760043,119.61538461538461,138.0
34,Dasbourg,LU000005,0.7832209845003806,0.5131519601965012,0.6719134888981263,,1.216878753629151,1.2766933868182853,3.044633207499545,2.1313508669691257,124.53846153846153,138.46153846153845
35,Reuland,BEWA0106,0.6839659527685492,0.4968046967832148,0.6902009486820159,,1.157128320430866,1.0827234571414988,4.0636305642567105,2.51778708501015,127.0,143.08695652173913
36,Le Woigot Ã  Briey,FR003280,0.5129738544048059,0.6641526137715094,0.5533687560001819,,1.2547971041714252,0.9719013136460793,3.012885676799598,2.233670289396385,139.57692307692307,133.19230769230768
37,Hentern,DERP2017,0.8697270874131822,0.6040660981781378,0.6568072932884144,0.9041820172583759,1.323952539769067,1.1663151050601606,2.6920265731938446,2.5181023606752646,133.5,136.34615384615384
38,DhronTalsperre,DERP2031,0.8727747155110146,0.589492155815281,0.6558268864889552,0.8469715257439505,1.1105974049514904,1.1663695841820634,3.0308423381768783,2.5378033888049236,133.8846153846154,136.26923076923077
39,A4050620,FR000125,0.8458458288957933,0.5023047759426577,0.5331368797412609,,3.519459023368721,3.05577508815003,2.7963068203600563,2.7348940202793837,125.91304347826087,128.69565217391303
40,Kasel,DERP2018,0.8568140387409455,0.5762481641776137,0.6584508317196812,0.7761620317895482,1.024572454928391,1.1498526479320408,2.8786026835903322,2.5197745336209674,132.46153846153845,136.6153846153846
41,Gerolstein,DERP2022,0.8638472976593107,0.560257812862486,0.5945216067283013,0.840014296251992,1.3282642136993508,1.1461784135775834,2.16063169738943,2.164954365541598,129.8846153846154,139.57692307692307
42,Platten,DERP2033,0.852438244110486,0.513752790574686,0.6259834294533091,0.8240918097514343,0.8456727379502524,0.8116372695223757,2.638083649959376,2.2770287131501763,127.96153846153847,139.5
43,La Mortagne Ã  GerbÃ©viller,FR003261,0.7487020948213661,0.6059598129957963,0.6316591252647278,0.6086354767827022,0.9507015985441356,1.1926427390066887,2.220164395451184,2.440319313529966,133.46153846153845,134.76923076923077
44,La Sarre Ã  Diedendorf,FR003295,0.7536304369618865,0.5769152417053487,0.6329063196616448,,0.874862179138891,1.0177067066641192,1.8349622379426132,2.4463089827608515,134.52,136.48
45,La Meurthe Ã  LunÃ©ville,FR003253,0.7452417014360571,0.6512894124251375,0.6385333559153681,,1.4149041810573662,1.4752270724256609,2.3023088777028162,2.4898546674629904,140.89473684210526,135.52631578947367
46,La Meurthe Ã  DameleviÃ¨res,FR003262,0.8566437785267338,0.6343893699502714,0.6416260264537121,,1.2114182847345858,1.2398244811392338,2.3265395283367276,2.4828573465820702,135.24,134.36
47,BundespegelFremersdorf,DEBU1957,0.8931154801912796,0.6064127198456731,0.6282605639282874,0.8719030151939102,0.8558204789088875,0.8575832596823254,2.049170615368509,2.3507669242945077,134.1153846153846,135.6153846153846
48,BundespegelCochem,DEBU1959,0.8731467657870629,0.6098823777540179,0.6301469461483243,0.9002929196041001,0.995652213866705,1.0102594690584727,2.5260576243304294,2.360322267048293,132.23076923076923,134.5
49,A9013050,FR000184,0.40234288699441134,0.7607683459067961,0.6820077030743478,,1.3461345641856322,1.1920077405847638,1.439657424216201,2.807650519404212,152.48,137.12
50,Livange,LU000013,0.6595101904535651,0.5622001104808224,0.5695397562733514,,0.6081548655661143,0.7770854438867754,2.274642367461529,2.2016547103453163,133.53846153846155,134.30769230769232
51,Rosport,LU000017,0.8704914503434653,0.5724331774596073,0.6530353310447841,,0.9531568963534384,0.9599537712817673,2.4595552635714406,2.1954675954817104,127.3076923076923,137.84615384615384
52,Muellenborn,DERP2027,0.7910090125714367,0.5778379022572762,0.611721052400604,0.7591025185492601,1.1505958165844266,0.9555098079911777,1.82350299231343,2.1828014304598375,132.15384615384616,139.34615384615384
53,Saarburg,DERP2016,0.80806733275609,0.6578150607763272,0.6248014542381759,0.7922179335214052,0.8784074757929518,0.8134722852253722,1.9650568511190973,2.2539601309102237,139.65384615384616,137.03846153846155
54,L'AviÃ¨re Ã  Frizon,FR003239,0.6881312124901843,0.5417570920419356,0.6144583083250088,,1.043221884394032,1.152205009778533,1.7337156049387468,2.414911998172041,127.3913043478261,134.3913043478261
55,GemuendIrsen,DERP2005,0.772041244346802,0.4455873237740707,0.5782857295131792,0.5907712693539005,1.1496889079696715,1.0533392445499836,3.8171290952662003,2.1565426867405404,120.1923076923077,137.0
56,Papiermuehle,DERP2030,0.8557594357633713,0.6020962318726577,0.6862938779924737,0.8453605022441009,0.8358863192427771,0.8413651467395752,2.942742738094131,2.468268811154391,139.34615384615384,144.07692307692307
57,L'Esch Ã  Jezainville,FR003266,0.5618977954976642,0.5675230756275457,0.5716314007676365,,0.5183051714226222,0.6789794917328379,4.039028561215098,2.2535131015103067,130.0,133.54545454545453
