,gauge_name,basin,nse,bfi_obs,bfi_sim,nse_value_bfi,qmean_obs,qmean_sim,slope_obs,slope_sim,hfd_obs,hfd_sim
0,Schoenfels,LU000018,0.6691488481271475,0.5491332552226622,0.6570883638975665,,0.8958442072655957,0.819948522129817,2.305894875074405,1.894707996371912,127.38461538461539,135.69230769230768
1,Hunnebuer,LU000010,0.7693461129274055,0.6187599923498417,0.6514546961821197,,0.9264638449166221,0.9239665803843744,1.430666764097312,1.9322716077374655,130.6153846153846,133.92307692307693
2,Bigonville,LU000001,0.8299481778919839,0.5468503966298911,0.6486904855636851,,1.192096235012109,1.2321279185954148,3.860265270934023,1.7358081802632268,121.61538461538461,136.15384615384616
3,Eisenschmitt,DERP2028,0.8370677653359784,0.5912286564625354,0.6640511790907621,0.8038985324627931,1.076659242459983,1.013269486895453,2.249832566632805,1.8319214723267203,131.46153846153845,138.34615384615384
4,A9001050,FR000183,0.37863721344782786,0.7263461280996635,0.6569374371319644,,1.3587597394179618,1.1691279148750147,2.2048638196473735,1.874282047002028,147.25,138.33333333333334
5,Sinspelt,DERP2008,0.7142141590219423,0.4632010969159292,0.6671086246215748,0.39259788719627475,1.0472986121931485,1.043021639009651,3.555971392328444,1.8354192918654206,120.88461538461539,137.76923076923077
6,A5242010,FR000137,0.733735498828141,0.5079481042588097,0.6586094511503398,,0.9956666274344927,1.0213207853252186,2.9663314793754534,2.018005538998813,124.30434782608695,135.34782608695653
7,L'Isch Ã  Postroff,FR003294,0.6417772246825633,0.5169186781536074,0.6613642539513331,,0.9148306708232089,0.8139287008323499,2.5154940473730383,1.9957142595677484,129.0952380952381,138.85714285714286
8,A9021050,FR000185,0.3458571751846361,0.5417133374177967,0.6510876905461568,,0.7993524710435663,1.2190253462509277,3.2063018307440525,1.8742717995186973,145.27777777777777,144.44444444444446
9,A6872010,FR000154,0.7445798483846889,0.5431762661877202,0.6725884668122283,,0.8637251282104524,0.7334645040384564,1.9657436908760961,2.0244922955747024,130.75,137.79166666666666
10,La Nied Allemande Ã  Varize,FR003307,0.7596085181684804,0.48802860347278665,0.6712763071464893,,0.7842232990660046,0.6926650324077104,3.3929812296089343,1.9172384458986087,122.36,136.92
11,La Vezouze Ã  ThiÃ©baumÃ©nil,FR003256,0.7529879150940837,0.5234492103005389,0.657786412438722,,0.9943526845625006,0.9431481288112342,2.3787419853905885,1.8966697724326094,128.3125,135.4375
12,GemuendOur,DERP2004,0.7596634230367373,0.5001961046867561,0.6688669367661485,0.35077760058774055,1.2123051432798406,1.3211622383964197,3.0978596160693375,1.7519732510190753,125.73076923076923,138.53846153846155
13,La Meurthe Ã  Azerailles et Ã  Baccarat,FR003252,0.7616020158288981,0.6693441995521313,0.638805861458956,,1.683498334877289,1.7440440030008635,2.0874403893284983,1.9319704894716405,149.33333333333334,140.16666666666666
14,La Sarre Ã  Sarreguemines et Ã  Sarreinsming,FR003302,0.807165651644406,0.5461876410176256,0.6669619786376142,,0.8495899649369768,0.9117890219175362,2.4046815359867963,1.923212277333321,131.33333333333334,137.79166666666666
15,La Moselle Ã  Toul,FR003249,0.8577969167200032,0.5796744249010707,0.6519641359777216,,1.57132401475247,1.618362371465882,2.7292696550983586,1.8494280254147992,128.30769230769232,134.80769230769232
16,A6232010,FR000144,-0.09941926015339586,0.6872353910753508,0.6563171776382024,,1.444598096445125,1.2828838742033637,2.1998091011604126,1.8624314071244985,173.23809523809524,138.52380952380952
17,Diekirch,LU000006,0.8813313000327746,0.572308467363715,0.6624726566302928,,0.9586417313463302,0.9111837728627737,2.4141306296435143,1.8564713729271896,127.46153846153847,136.6153846153846
18,EttelbrueckAlzette,LU000007,0.8048780387836976,0.5820376371289808,0.6600042561841016,,0.8377600275319108,0.8112549767125546,2.179298871547911,1.906260919204055,135.30769230769232,136.3846153846154
19,Mersch,LU000014,0.7512949809127563,0.5910754818827649,0.6590921156894478,,0.806441904065329,0.793213475809237,1.7501577598896076,1.920450823070247,134.30769230769232,136.30769230769232
20,Pruem,DERP2006,0.7153501561094554,0.43962157636394383,0.662937856841976,0.38854228818049485,1.4772328390901432,1.3594894588942883,4.017057443002232,1.7830463116237774,122.23076923076923,138.76923076923077
21,A4020610,FR000124,0.7543907255216231,0.4742586446981948,0.6044638522308797,,3.9161042905995633,3.3800960186474116,3.0970781483971495,1.7843739893745498,118.71428571428571,134.04761904761904
22,Schoenberg,BEWA0067,0.7195370325449504,0.44687806121952867,0.6607165328656671,,1.5219266002304095,1.5045928455089428,3.527883532917868,1.7185347087726215,123.4375,139.875
24,A7642010,FR000169,0.7306280135695946,0.5816472690192767,0.6732237521541694,,0.7066709652720817,0.6787824476944347,1.8911673540319904,1.8431831169976096,132.52631578947367,140.3684210526316
