,gauge_name,basin,nse,bfi_obs,bfi_sim,nse_value_bfi,qmean_obs,qmean_sim,slope_obs,slope_sim,hfd_obs,hfd_sim
0,Schoenfels,LU000018,0.6882472396083915,0.5491332552226622,0.6442131153521503,,0.8958442072655957,0.7394075188065984,2.305894875074405,2.024611974445447,127.38461538461539,141.76923076923077
1,Hunnebuer,LU000010,0.7791741428358863,0.6187599923498417,0.6515314381810163,,0.9264638449166221,0.8366217027016021,1.430666764097312,2.0912161552561455,130.6153846153846,141.6153846153846
2,Bigonville,LU000001,0.8690628984179449,0.5468503966298911,0.5614208639758621,,1.192096235012109,1.1360056353071148,3.860265270934023,2.9431378076030095,121.61538461538461,127.84615384615384
3,Eisenschmitt,DERP2028,0.5581335650936526,0.5912286564625354,0.814364509345932,0.48522508834407563,1.076659242459983,0.921755565793373,2.249832566632805,1.6467412611895609,131.46153846153845,161.5
4,A9001050,FR000183,0.4344517656110092,0.7263461280996635,0.7496023689249384,,1.3587597394179618,1.046295987988543,2.2048638196473735,1.8327219757811597,147.25,152.20833333333334
5,Sinspelt,DERP2008,0.7638725147573855,0.4632010969159292,0.5964211734571425,0.8010439211866187,1.0472986121931485,0.9540859154614079,3.555971392328444,2.7840333044215844,120.88461538461539,132.46153846153845
6,A5242010,FR000137,0.7819127289055974,0.5079481042588097,0.5051579442147995,,0.9956666274344927,0.9251840306157512,2.9663314793754534,2.9322157956896566,124.30434782608695,129.08695652173913
7,L'Isch Ã  Postroff,FR003294,0.6434360764742475,0.5169186781536074,0.47251505091013296,,0.9148306708232089,0.7371673300947054,2.5154940473730383,3.119413365413719,129.0952380952381,128.04761904761904
8,A9021050,FR000185,0.34383807724280435,0.5417133374177967,0.7923919289396838,,0.7993524710435663,1.0844085779822648,3.2063018307440525,1.616413483868799,145.27777777777777,162.11111111111111
9,A6872010,FR000154,0.7298949864160321,0.5431762661877202,0.5007536952664996,,0.8637251282104524,0.673537032475505,1.9657436908760961,3.0732750477835222,130.75,128.58333333333334
10,La Nied Allemande Ã  Varize,FR003307,0.8076499701282898,0.48802860347278665,0.501706069159111,,0.7842232990660046,0.6409942676033035,3.3929812296089343,2.9865553363281108,122.36,127.24
11,La Vezouze Ã  ThiÃ©baumÃ©nil,FR003256,0.7639508315396926,0.5234492103005389,0.6214889581639997,,0.9943526845625006,0.8380316215022097,2.3787419853905885,2.1539111565606675,128.3125,138.625
12,GemuendOur,DERP2004,0.8283765530118714,0.5001961046867561,0.5889206026413413,0.8275442917058614,1.2123051432798406,1.1900852308885959,3.0978596160693375,2.7830585278937376,125.73076923076923,133.76923076923077
13,La Meurthe Ã  Azerailles et Ã  Baccarat,FR003252,0.7526927642783483,0.6693441995521313,0.6967661458349353,,1.683498334877289,1.5479473550975813,2.0874403893284983,2.1300273213929577,149.33333333333334,146.66666666666666
14,La Sarre Ã  Sarreguemines et Ã  Sarreinsming,FR003302,0.8531278045577673,0.5461876410176256,0.5875110739946406,,0.8495899649369768,0.8224184929165174,2.4046815359867963,2.4014974055925102,131.33333333333334,136.29166666666666
15,La Moselle Ã  Toul,FR003249,0.8886673669046246,0.5796744249010707,0.6053341327225902,,1.57132401475247,1.4675338535382165,2.7292696550983586,2.532968801504093,128.30769230769232,132.34615384615384
16,A6232010,FR000144,0.10036195794326264,0.6872353910753508,0.8200461197367395,,1.444598096445125,1.146786530781295,2.1998091011604126,1.735882833179189,173.23809523809524,162.61904761904762
17,Diekirch,LU000006,0.8613469693060674,0.572308467363715,0.5950973321955407,,0.9586417313463302,0.8261607306125156,2.4141306296435143,2.5523207303550417,127.46153846153847,133.53846153846155
18,EttelbrueckAlzette,LU000007,0.8306430550164141,0.5820376371289808,0.5830605062526957,,0.8377600275319108,0.7281368534711735,2.179298871547911,2.3175529116846545,135.30769230769232,134.84615384615384
19,Mersch,LU000014,0.78178157053684,0.5910754818827649,0.5716278521671285,,0.806441904065329,0.7104709574388003,1.7501577598896076,2.3125508582458436,134.30769230769232,134.23076923076923
20,Pruem,DERP2006,0.7760571475591449,0.43962157636394383,0.5780669409286614,0.814755877953171,1.4772328390901432,1.22492630680731,4.017057443002232,2.7600825602057513,122.23076923076923,133.69230769230768
21,A4020610,FR000124,0.7665166394417543,0.4742586446981948,0.49468450233834965,,3.9161042905995633,3.14994224545144,3.0970781483971495,3.019442069327928,118.71428571428571,125.04761904761905
22,Schoenberg,BEWA0067,0.7832184094524766,0.44687806121952867,0.5724219540238055,,1.5219266002304095,1.3614531436468391,3.527883532917868,2.877654110943986,123.4375,133.875
24,A7642010,FR000169,0.707853983901044,0.5816472690192767,0.5224114922164171,,0.7066709652720817,0.6350360381080401,1.8911673540319904,2.7559254878640447,132.52631578947367,132.57894736842104
25,Dreis,DERP2029,0.6272764783364757,0.5770721236525367,0.7967475669992442,0.25192752616014147,0.8128997419966302,0.8351739849137724,2.202408139605328,1.6105696294125995,132.07692307692307,159.34615384615384
26,A6701210,FR000153,0.6533235631268566,0.6421192150887213,0.7714713209083341,,1.0716031926027136,1.1861118967530335,2.2348418963151917,1.8512124632985096,133.83333333333334,151.05555555555554
27,A6051020,FR000142,0.8201022325504921,0.6181879444170277,0.628200823792049,0.8470577016752732,1.701081378030953,1.5518002600370926,2.1363079945665095,2.4615885712987438,134.65384615384616,134.34615384615384
28,Densborn,DERP2023,0.8131381768916383,0.5475464240473255,0.6140590437453848,0.8130821453334044,1.2046407986235061,1.0144198459807923,2.2375005419180587,2.469357157275089,128.80769230769232,138.15384615384616
29,A4200630,FR000128,0.8327438455192079,0.5262351104042112,0.5474963332100672,,3.177223275885115,2.5166194586432904,2.878325804251507,2.867731836511885,127.44,128.4
30,Le Madon Ã  Pulligny,FR003246,0.8004930140398936,0.4707725058083362,0.5315458736770912,,0.9209072206799293,0.8151312430544884,2.979323882652053,2.787042439610857,120.84,130.44
31,La Moselle Ã  Saint-Mard et Ã  Tonnoy et Ã  Velle-sur-Moselle,FR003241,0.8676727033749996,0.5720068735304338,0.6116790357850609,,1.9660347551444997,1.9114351261541596,2.6656768746543382,2.456284632863924,127.5,130.0
32,La Moselle Ã  Custines,FR003265,0.8787882241584083,0.6045800876045967,0.6427437815544866,0.8985089258870658,1.3650431518522423,1.2106490261610094,2.506784709873493,2.2953998648632274,132.30769230769232,136.1153846153846
33,Heiderscheidergrund,LU000008,0.7167318728803787,0.5007259510922724,0.5657137542079838,,1.1407084448892786,1.0798568370528372,4.088001988594442,2.953057519520425,119.61538461538461,128.30769230769232
34,Dasbourg,LU000005,0.8425165747650575,0.5131519601965012,0.5805542540272004,,1.216878753629151,1.1504556815712894,3.044633207499545,2.78711774761568,124.53846153846153,132.6153846153846
35,Reuland,BEWA0106,0.775845586582361,0.4968046967832148,0.5907415382971416,,1.157128320430866,1.0030852076938455,4.0636305642567105,2.8938191816237837,127.0,134.95652173913044
36,Le Woigot Ã  Briey,FR003280,0.3187293465775235,0.6641526137715094,0.4487552653764416,,1.2547971041714252,0.9087717201182999,3.012885676799598,3.3934501090807383,139.57692307692307,126.07692307692308
37,Hentern,DERP2017,0.8470775170819763,0.6040660981781378,0.6258827743404143,0.8417041680082074,1.323952539769067,1.085442099176256,2.6920265731938446,2.340969954941848,133.5,135.34615384615384
38,DhronTalsperre,DERP2031,0.8684837200784407,0.589492155815281,0.5961350813422369,0.8735132631235214,1.1105974049514904,1.0889107389117285,3.0308423381768783,2.623131265067721,133.8846153846154,131.96153846153845
39,A4050620,FR000125,0.8234873217387689,0.5023047759426577,0.5150715231642153,,3.519459023368721,2.862977565648528,2.7963068203600563,2.9645037414362756,125.91304347826087,127.30434782608695
40,Kasel,DERP2018,0.8763067279995493,0.5762481641776137,0.6031952957892812,0.8674794120466465,1.024572454928391,1.0699590805418107,2.8786026835903322,2.466875523034639,132.46153846153845,133.1153846153846
41,Gerolstein,DERP2022,0.7943161418617268,0.560257812862486,0.606576871583423,0.7455452404963563,1.3282642136993508,1.065886298857263,2.16063169738943,2.513194791046526,129.8846153846154,137.80769230769232
42,Platten,DERP2033,0.8638889910790635,0.513752790574686,0.5833807902227306,0.9057493293149755,0.8456727379502524,0.7607228369858355,2.638083649959376,2.579498323627544,127.96153846153847,134.80769230769232
43,La Mortagne Ã  GerbÃ©viller,FR003261,0.6930139315272962,0.6059598129957963,0.7449779530258265,0.33420043825706036,0.9507015985441356,1.0960293281172797,2.220164395451184,1.8753909012819816,133.46153846153845,149.8846153846154
44,La Sarre Ã  Diedendorf,FR003295,0.7716554266409571,0.5769152417053487,0.6603257323283493,,0.874862179138891,0.9301797665904394,1.8349622379426132,2.0954090812937483,134.52,141.88
45,La Meurthe Ã  LunÃ©ville,FR003253,0.7528457056582384,0.6512894124251375,0.7224888132530516,,1.4149041810573662,1.3417599929890867,2.3023088777028162,2.0087915923435,140.89473684210526,146.10526315789474
46,La Meurthe Ã  DameleviÃ¨res,FR003262,0.834807563451653,0.6343893699502714,0.7125940743389984,,1.2114182847345858,1.135453314832654,2.3265395283367276,2.046063526868518,135.24,142.92
47,BundespegelFremersdorf,DEBU1957,0.8840425131014549,0.6064127198456731,0.621053188125519,0.8592840932435494,0.8558204789088875,0.7926081418894905,2.049170615368509,2.2013741878813784,134.1153846153846,136.8846153846154
48,BundespegelCochem,DEBU1959,0.8711866418766423,0.6098823777540179,0.6201645052337794,0.9088755531812793,0.995652213866705,0.9338366026295335,2.5260576243304294,2.3366391937480615,132.23076923076923,134.46153846153845
49,A9013050,FR000184,0.4166965288960637,0.7607683459067961,0.8431208680207519,,1.3461345641856322,1.0843867259686244,1.439657424216201,1.6886207861644293,152.48,164.52
