,gauge_name,basin,nse,bfi_obs,bfi_sim,nse_value_bfi,qmean_obs,qmean_sim,slope_obs,slope_sim,hfd_obs,hfd_sim
0,Schoenfels,LU000018,0.7019662907659567,0.5491332552226622,0.6262502725439875,,0.8958442072655957,0.8492689543494244,2.305894875074405,2.1251333078376473,127.38461538461539,133.30769230769232
1,Hunnebuer,LU000010,0.7796360049794949,0.6187599923498417,0.6295527752245694,,0.9264638449166221,0.9541584991675494,1.430666764097312,2.1280988806047416,130.6153846153846,132.07692307692307
2,Bigonville,LU000001,0.8548845517501159,0.5468503966298911,0.6376639303782791,,1.192096235012109,1.2646405527228595,3.860265270934023,2.4453308905333904,121.61538461538461,136.46153846153845
3,Eisenschmitt,DERP2028,0.7098968434332551,0.5912286564625354,0.7752907973586578,0.583074403626103,1.076659242459983,1.0199727106290732,2.249832566632805,1.3893839264951797,131.46153846153845,149.19230769230768
4,A9001050,FR000183,0.45361815577371944,0.7263461280996635,0.712603375993354,,1.3587597394179618,1.1727796633506087,2.2048638196473735,1.6523876932464614,147.25,142.5
5,Sinspelt,DERP2008,0.7492799747323899,0.4632010969159292,0.6417361933147638,0.5765278116638559,1.0472986121931485,1.0872240316294501,3.555971392328444,2.7843906315277485,120.88461538461539,136.84615384615384
6,A5242010,FR000137,0.8030970232915116,0.5079481042588097,0.522172904329908,,0.9956666274344927,1.0342746600492145,2.9663314793754534,3.229270632431447,124.30434782608695,126.69565217391305
7,L'Isch Ã  Postroff,FR003294,0.6745093585644052,0.5169186781536074,0.5007378531817824,,0.9148306708232089,0.8238111389863222,2.5154940473730383,3.4887731833168782,129.0952380952381,127.42857142857143
8,A9021050,FR000185,0.26683002870961603,0.5417133374177967,0.7451610833045953,,0.7993524710435663,1.208001210904905,3.2063018307440525,1.4159624799168935,145.27777777777777,150.94444444444446
9,A6872010,FR000154,0.7612170422833341,0.5431762661877202,0.5250386697706606,,0.8637251282104524,0.7497254171048159,1.9657436908760961,3.394858503043706,130.75,127.29166666666667
10,La Nied Allemande Ã  Varize,FR003307,0.8620992371450076,0.48802860347278665,0.5256560799474439,,0.7842232990660046,0.7070390089875828,3.3929812296089343,3.3058954648048386,122.36,126.56
11,La Vezouze Ã  ThiÃ©baumÃ©nil,FR003256,0.8125352435886242,0.5234492103005389,0.6124746168388758,,0.9943526845625006,0.9558635178697377,2.3787419853905885,2.336122733397306,128.3125,132.5
12,GemuendOur,DERP2004,0.8036591628690102,0.5001961046867561,0.646255263557976,0.5799190042581883,1.2123051432798406,1.3668335281682276,3.0978596160693375,2.4906751376393204,125.73076923076923,137.73076923076923
13,La Meurthe Ã  Azerailles et Ã  Baccarat,FR003252,0.8246348068960393,0.6693441995521313,0.7028501170830805,,1.683498334877289,1.7531930626607106,2.0874403893284983,1.8546183189472647,149.33333333333334,143.41666666666666
14,La Sarre Ã  Sarreguemines et Ã  Sarreinsming,FR003302,0.8607502178507141,0.5461876410176256,0.5859541768613791,,0.8495899649369768,0.9230854268483469,2.4046815359867963,2.6031331884573157,131.33333333333334,131.75
15,La Moselle Ã  Toul,FR003249,0.906099052494301,0.5796744249010707,0.6312159120408788,,1.57132401475247,1.6422981204156633,2.7292696550983586,2.2896124878287916,128.30769230769232,132.42307692307693
