basin,nse,nse_rg,nse_r1,nse_c1,nse_g1,nse_bfi_r1,nse_bfi_c1,nse_bfi_g1,bfi_obs,bfi_r1,bfi_c1,bfi_g1,qmean_obs,qmean_r1,qmean_c1,qmean_g1,slope_obs,slope_r1,slope_c1,slope_g1,hfd_obs,hfd_r1,hfd_c1,hfd_g1
LU000018,0.20071462607292379,0.008001611475343395,0.6337355716657693,0.43302094559284554,0.6257339601904259,,,,0.5491332552226622,0.6494021830776581,0.8009536064260673,0.5166491639732106,0.8958442072655957,0.6954372046785299,0.6998324315323298,0.711799262714657,2.305894875074405,1.8019048230324832,1.4387546283196753,2.467863996154621,127.38461538461539,139.30769230769232,153.07692307692307,131.15384615384616
LU000010,0.15742759633222492,0.0728955928972832,0.7430530149318764,0.5856254185996514,0.6701574220345932,,,,0.6187599923498417,0.6559111523385136,0.7732572336785578,0.5106500463471897,0.9264638449166221,0.7784538709575017,0.7777803831045496,0.7882021851051864,1.430666764097312,1.8595270215025548,1.6000821217457897,2.5051820184065905,130.6153846153846,139.15384615384616,149.15384615384616,129.69230769230768
LU000001,0.03264473868304818,0.2655072469956623,0.8258845265002075,0.7932397878171593,0.5603772795045452,,,,0.5468503966298911,0.590674348472098,0.6114598280714233,0.7936899098898695,1.192096235012109,1.0091015465597974,0.9921013143288918,0.997600971291161,3.860265270934023,2.4620877195427284,2.1679632563249926,1.6307756852118651,121.61538461538461,128.46153846153845,132.23076923076923,150.92307692307693
DERP2028,0.1408732962139304,-0.10235928883161005,0.5490133614831533,0.40814006526922286,0.6513726503147633,0.4348339390514405,0.14627857850843295,0.6050500024213523,0.5912286564625354,0.8118505136425707,0.8566104765086425,0.7724102813524482,1.076659242459983,0.9444629892024523,0.9469710771860397,0.9476651506482665,2.249832566632805,1.6233982024649882,1.546965420808472,1.8301450766600666,131.46153846153845,160.03846153846155,165.69230769230768,152.46153846153845
FR000183,-0.01601813743848124,-0.018101482907601718,0.4218159017858203,0.43783403922430153,0.439917384693422,,,,0.7263461280996635,0.7512933603768244,0.7438522448670056,0.7263070245762029,1.3587597394179618,1.0500388342730587,1.0537993895875533,1.0548189510776964,2.2048638196473735,1.7772706932345732,1.627087580388871,1.9688409010137968,147.25,151.375,151.25,146.16666666666666
DERP2008,0.029049461847545865,-0.04449231014949562,0.745497173967222,0.7164477121196762,0.7899894841167177,0.7654689961050435,0.7037202766242806,0.7551177073636328,0.4632010969159292,0.5938181240206019,0.6142528643808797,0.5157392188504162,1.0472986121931485,0.981655767084863,0.9910878642456589,0.9719487088360556,3.555971392328444,2.7751530736620014,2.534799789382743,2.6449944588959395,120.88461538461539,131.96153846153845,133.73076923076923,132.3846153846154
FR000137,0.0016135310587075402,0.0198341306268075,0.7651000751092774,0.7634865440505698,0.7452659444824699,,,,0.5079481042588097,0.5049963651638604,0.5248975072662047,0.5047285588397863,0.9956666274344927,0.9295734369711117,0.9463928305734176,0.945467143951653,2.9663314793754534,2.909013008638948,2.70242101195109,2.811080810613447,124.30434782608695,129.17391304347825,129.43478260869566,129.30434782608697
FR003294,0.005112753849621288,-0.004191607307098777,0.6224564383010123,0.617343684451391,0.626648045608111,,,,0.5169186781536074,0.4749259655535291,0.4975554753672709,0.5126960304342197,0.9148306708232089,0.7493764419203379,0.7649582786578807,0.7689774749341911,2.5154940473730383,3.049870681062969,2.829953755905948,2.6368603486543836,129.0952380952381,128.61904761904762,129.28571428571428,132.0952380952381
FR000185,0.05981366212232586,-0.07655288594540244,0.29673763011846244,0.23692396799613658,0.3732905160638649,,,,0.5417133374177967,0.7920743215702972,0.7966285692900439,0.7555558068843404,0.7993524710435663,1.1170646240209703,1.1216966649849731,1.1257351585129212,3.2063018307440525,1.617298133862203,1.3563557251767973,1.8641340094080852,145.27777777777777,161.33333333333334,164.38888888888889,154.77777777777777
FR000154,-0.011869067426638402,-0.007795217440745406,0.7227125375118706,0.734581604938509,0.730507754952616,,,,0.5431762661877202,0.504444908023286,0.5394067766540992,0.5324925049123291,0.8637251282104524,0.6839402147936607,0.699549418544242,0.7047592690433186,1.9657436908760961,2.9681251907660897,2.659626497437489,2.637087825971284,130.75,128.66666666666666,130.83333333333334,130.91666666666666
FR003307,0.01235854818194071,0.018183971187838543,0.8020998472074291,0.7897412990254884,0.7839158760195906,,,,0.48802860347278665,0.5044484148600893,0.5574646948518244,0.5256703573076147,0.7842232990660046,0.6539892567696723,0.6685573130400471,0.6747426647990352,3.3929812296089343,2.875918732060118,2.4020574497223803,2.6220355307332395,122.36,126.36,130.88,129.04
FR003256,0.036998312213921025,0.018957602414516606,0.7491644648280635,0.7121661526141425,0.7302068624135469,,,,0.5234492103005389,0.6246327300410781,0.6726705875847224,0.6487178568816959,0.9943526845625006,0.840304238280611,0.8560043219963027,0.8548953919198043,2.3787419853905885,2.0927569114998077,1.7021812660455966,2.0393174741466176,128.3125,137.6875,141.3125,138.8125
