,gauge_name,basin,nse,bfi_obs,bfi_sim,nse_value_bfi,qmean_obs,qmean_sim,slope_obs,slope_sim,hfd_obs,hfd_sim
0,Schoenfels,LU000018,0.4542370876746439,0.5491332552226622,0.7631414580653567,,0.8958442072655957,0.7114640022981031,2.305894875074405,1.8591790299518838,127.38461538461539,148.3846153846154
1,Hunnebuer,LU000010,0.576413774552998,0.6187599923498417,0.7441807436841249,,0.9264638449166221,0.8015921159299394,1.430666764097312,1.9823133863019529,130.6153846153846,145.69230769230768
2,Bigonville,LU000001,0.843639245404583,0.5468503966298911,0.5917102547706939,,1.192096235012109,1.0512203330447152,3.860265270934023,2.6346267103205485,121.61538461538461,130.69230769230768
3,Eisenschmitt,DERP2028,0.5912767365472799,0.5912286564625354,0.7613522140762045,0.47712520773045297,1.076659242459983,1.007962908130449,2.249832566632805,2.363089323897133,131.46153846153845,150.42307692307693
4,A9001050,FR000183,0.46924582047094743,0.7263461280996635,0.7137792907925563,,1.3587597394179618,1.1298031949519454,2.2048638196473735,2.1566834584133527,147.25,144.75
5,Sinspelt,DERP2008,0.7284419010993273,0.4632010969159292,0.6039972311655869,0.7080297855433981,1.0472986121931485,1.0419819603049325,3.555971392328444,2.8660783156295024,120.88461538461539,133.23076923076923
6,A5242010,FR000137,0.7510969938379598,0.5079481042588097,0.5904280543178284,,0.9956666274344927,1.0089530787980465,2.9663314793754534,2.341631761206892,124.30434782608695,133.6086956521739
7,L'Isch Ã  Postroff,FR003294,0.6626293871866935,0.5169186781536074,0.575087741885415,,0.9148306708232089,0.8098837865912341,2.5154940473730383,2.203375791025779,129.0952380952381,134.42857142857142
8,A9021050,FR000185,0.31715723442190036,0.5417133374177967,0.7364747237903827,,0.7993524710435663,1.214526623170388,3.2063018307440525,2.070416211199974,145.27777777777777,151.94444444444446
9,A6872010,FR000154,0.7609102659523381,0.5431762661877202,0.6058022102364713,,0.8637251282104524,0.7385745226695724,1.9657436908760961,2.2875485094905987,130.75,134.70833333333334
10,La Nied Allemande Ã  Varize,FR003307,0.7761083664654578,0.48802860347278665,0.617398583829013,,0.7842232990660046,0.7018217578881469,3.3929812296089343,2.1957154639056524,122.36,134.48
11,La Vezouze Ã  ThiÃ©baumÃ©nil,FR003256,0.7093053527544304,0.5234492103005389,0.6792686884171661,,0.9943526845625006,0.9012970124159351,2.3787419853905885,2.1158467029018513,128.3125,140.875
12,GemuendOur,DERP2004,0.7941204681833338,0.5001961046867561,0.5872121171876494,0.7564498860951054,1.2123051432798406,1.2850328262980888,3.0978596160693375,2.8092940726384787,125.73076923076923,133.3846153846154
13,La Meurthe Ã  Azerailles et Ã  Baccarat,FR003252,0.6305742154876837,0.6693441995521313,0.6021564489060233,,1.683498334877289,1.6957845343517532,2.0874403893284983,2.4524437900592853,149.33333333333334,137.16666666666666
14,La Sarre Ã  Sarreguemines et Ã  Sarreinsming,FR003302,0.7962391649777748,0.5461876410176256,0.6392070349282817,,0.8495899649369768,0.8989272355365885,2.4046815359867963,2.1704627504545955,131.33333333333334,138.375
15,La Moselle Ã  Toul,FR003249,0.8671355625645648,0.5796744249010707,0.6068882706278234,,1.57132401475247,1.5678030984555713,2.7292696550983586,2.4576476028770626,128.30769230769232,131.73076923076923
