,gauge_name,basin,nse,bfi_obs,bfi_sim,nse_value_bfi,qmean_obs,qmean_sim,slope_obs,slope_sim,hfd_obs,hfd_sim
0,Schoenfels,LU000018,0.6141154756965181,0.5491332552226622,0.5348294413219848,,0.8958442072655957,0.6737555295070279,2.305894875074405,2.6790006758881684,127.38461538461539,127.92307692307692
1,Hunnebuer,LU000010,0.6528601107036476,0.6187599923498417,0.5285645604499425,,0.9264638449166221,0.7636949269841262,1.430666764097312,2.724414449525667,130.6153846153846,126.76923076923077
2,Bigonville,LU000001,0.569624836846871,0.5468503966298911,0.7950551519735086,,1.192096235012109,1.020085985121987,3.860265270934023,0.9514209452568898,121.61538461538461,152.84615384615384
3,Eisenschmitt,DERP2028,0.7200309959654372,0.5912286564625354,0.7432658809352932,0.597963159583542,1.076659242459983,0.9335256900894384,2.249832566632805,1.440662471970672,131.46153846153845,147.3846153846154
4,A9001050,FR000183,0.4246345596808767,0.7263461280996635,0.7002298518957348,,1.3587597394179618,1.0510671649910082,2.2048638196473735,1.5547720926631468,147.25,142.70833333333334
5,Sinspelt,DERP2008,0.8022509077959136,0.4632010969159292,0.5455067965245489,0.7448360255807027,1.0472986121931485,0.9818730663995667,3.555971392328444,2.6118450981529238,120.88461538461539,130.53846153846155
6,A5242010,FR000137,0.7878488461737684,0.5079481042588097,0.5342888688471139,,0.9956666274344927,0.9492506357370514,2.9663314793754534,2.845659487315837,124.30434782608695,127.8695652173913
7,L'Isch Ã  Postroff,FR003294,0.68089091633685,0.5169186781536074,0.54226655725986,,0.9148306708232089,0.7576112508416982,2.5154940473730383,2.7198306683462836,129.0952380952381,129.85714285714286
8,A9021050,FR000185,0.3290783947095537,0.5417133374177967,0.7207696910497825,,0.7993524710435663,1.112093370816593,3.2063018307440525,1.3601782065854024,145.27777777777777,149.88888888888889
9,A6872010,FR000154,0.7435728168596086,0.5431762661877202,0.5580665223642303,,0.8637251282104524,0.6843126976519913,1.9657436908760961,2.7793922340269854,130.75,129.25
10,La Nied Allemande Ã  Varize,FR003307,0.8235573711926271,0.48802860347278665,0.5538188649641392,,0.7842232990660046,0.6507007835407362,3.3929812296089343,2.63737785565122,122.36,127.36
11,La Vezouze Ã  ThiÃ©baumÃ©nil,FR003256,0.7608630936781483,0.5234492103005389,0.638591882560024,,0.9943526845625006,0.8439785171942872,2.3787419853905885,1.8613559883715485,128.3125,134.9375
12,GemuendOur,DERP2004,0.6739920287267591,0.5001961046867561,0.7153910183410853,0.2120455439450959,1.2123051432798406,1.2017935388852445,3.0978596160693375,1.482806384294271,125.73076923076923,145.53846153846155
13,La Meurthe Ã  Azerailles et Ã  Baccarat,FR003252,0.725624874231722,0.6693441995521313,0.6581232433252908,,1.683498334877289,1.584750530741258,2.0874403893284983,1.9795241949956521,149.33333333333334,140.58333333333334
14,La Sarre Ã  Sarreguemines et Ã  Sarreinsming,FR003302,0.8371075944253517,0.5461876410176256,0.6041565188842878,,0.8495899649369768,0.8387734782396021,2.4046815359867963,2.1958278923091843,131.33333333333334,133.45833333333334
15,La Moselle Ã  Toul,FR003249,0.8831119795943867,0.5796744249010707,0.609309560255965,,1.57132401475247,1.4901227189164636,2.7292696550983586,2.474637638230307,128.30769230769232,130.3846153846154
16,A6232010,FR000144,0.14935948887148198,0.6872353910753508,0.7494703226887358,,1.444598096445125,1.14412116639085,2.1998091011604126,1.3481226510556785,173.23809523809524,148.14285714285714
17,Diekirch,LU000006,0.7901361962146087,0.572308467363715,0.6757381859583584,,0.9586417313463302,0.7479104182367442,2.4141306296435143,1.569823363431825,127.46153846153847,137.76923076923077
18,EttelbrueckAlzette,LU000007,0.7469288988311897,0.5820376371289808,0.5573020412686449,,0.8377600275319108,0.6658518978412573,2.179298871547911,2.497616389570862,135.30769230769232,129.07692307692307
19,Mersch,LU000014,0.6664555685344993,0.5910754818827649,0.5412477425759651,,0.806441904065329,0.6499610843064825,1.7501577598896076,2.649328378748686,134.30769230769232,128.23076923076923
20,Pruem,DERP2006,0.8130252200277365,0.43962157636394383,0.5330620848559307,0.7609134006260926,1.4772328390901432,1.2577739520706055,4.017057443002232,2.6114460622371336,122.23076923076923,132.03846153846155
21,A4020610,FR000124,0.7454956523341632,0.4742586446981948,0.5637694168668492,,3.9161042905995633,3.200738369188018,3.0970781483971495,2.926934236658825,118.71428571428571,127.28571428571429
22,Schoenberg,BEWA0067,0.6401044838191845,0.44687806121952867,0.7035826378810269,,1.5219266002304095,1.2859281161942266,3.527883532917868,1.5547442051748157,123.4375,146.9375
24,A7642010,FR000169,0.7246019649677273,0.5816472690192767,0.5533782372969365,,0.7066709652720817,0.6683250730130067,1.8911673540319904,2.6640185316410574,132.52631578947367,131.47368421052633
25,Dreis,DERP2029,0.7447268141970667,0.5770721236525367,0.7376453473998795,0.4070075656977743,0.8128997419966302,0.8441876379616757,2.202408139605328,1.4661149451791222,132.07692307692307,146.19230769230768
26,A6701210,FR000153,0.7033947490478817,0.6421192150887213,0.6684209441587547,,1.0716031926027136,1.1927419784958189,2.2348418963151917,1.7188597199353959,133.83333333333334,135.33333333333334
27,A6051020,FR000142,0.8148890385965969,0.6181879444170277,0.6168495062774871,0.8015248609416457,1.701081378030953,1.5606978253933133,2.1363079945665095,2.5037010818263545,134.65384615384616,132.46153846153845
28,Densborn,DERP2023,0.8434812389109112,0.5475464240473255,0.5797195468586845,0.7872456465911253,1.2046407986235061,1.0406313940426841,2.2375005419180587,2.4247616898437543,128.80769230769232,134.69230769230768
29,A4200630,FR000128,0.8352998568177336,0.5262351104042112,0.5999254236541952,,3.177223275885115,2.5630314915611105,2.878325804251507,2.8606575819167523,127.44,128.92
30,Le Madon Ã  Pulligny,FR003246,0.803181106804604,0.4707725058083362,0.5528986964716314,,0.9209072206799293,0.8319296605156737,2.979323882652053,2.7657253874345082,120.84,128.12
31,La Moselle Ã  Saint-Mard et Ã  Tonnoy et Ã  Velle-sur-Moselle,FR003241,0.8723830281098237,0.5720068735304338,0.6183232003648554,,1.9660347551444997,1.9064995125118174,2.6656768746543382,2.425347281231549,127.5,128.5909090909091
32,La Moselle Ã  Custines,FR003265,0.8826940677447331,0.6045800876045967,0.6278285152530549,0.88910280510845,1.3650431518522423,1.225817933204304,2.506784709873493,2.255498693607763,132.30769230769232,132.80769230769232
33,Heiderscheidergrund,LU000008,0.4773507267790321,0.5007259510922724,0.7968050745991992,,1.1407084448892786,0.9704388330244362,4.088001988594442,0.966069346347373,119.61538461538461,153.0
34,Dasbourg,LU000005,0.6603986061945075,0.5131519601965012,0.7374364021714194,,1.216878753629151,1.0218339943442316,3.044633207499545,1.2015806592095875,124.53846153846153,148.69230769230768
35,Reuland,BEWA0106,0.4819955526747185,0.4968046967832148,0.7951258241380198,,1.157128320430866,1.0068925565876004,4.0636305642567105,1.2619669049872653,127.0,155.69565217391303
36,Le Woigot Ã  Briey,FR003280,0.4241855448004356,0.6641526137715094,0.5222614142410783,,1.2547971041714252,0.9353699353126861,3.012885676799598,2.6407091970141905,139.57692307692307,126.84615384615384
37,Hentern,DERP2017,0.7411084200436967,0.6040660981781378,0.7203023382992291,0.6088050714040601,1.323952539769067,1.0857240559686832,2.6920265731938446,1.4528049093087776,133.5,143.26923076923077
38,DhronTalsperre,DERP2031,0.7054396160882563,0.589492155815281,0.7246918748981803,0.43283650879217506,1.1105974049514904,1.0865905223108072,3.0308423381768783,1.4339791357207545,133.8846153846154,143.84615384615384
39,A4050620,FR000125,0.825235023010286,0.5023047759426577,0.5734560682936476,,3.519459023368721,2.9342462660480875,2.7963068203600563,2.9341916651488815,125.91304347826087,128.34782608695653
40,Kasel,DERP2018,0.7232494158656984,0.5762481641776137,0.7227418139242106,0.37909473114413483,1.024572454928391,1.0700637349233733,2.8786026835903322,1.44377635638355,132.46153846153845,143.42307692307693
41,Gerolstein,DERP2022,0.8351002000529895,0.560257812862486,0.5702153461402025,0.7404069557830597,1.3282642136993508,1.0934259785069873,2.16063169738943,2.4641752185933496,129.8846153846154,134.92307692307693
42,Platten,DERP2033,0.8424231111399763,0.513752790574686,0.6166431158911925,0.8091821617395065,0.8456727379502524,0.7749246322902127,2.638083649959376,2.1185588473872303,127.96153846153847,134.8846153846154
43,La Mortagne Ã  GerbÃ©viller,FR003261,0.7563613881277645,0.6059598129957963,0.6441796960503738,0.602092613994725,0.9507015985441356,1.1076013575044001,2.220164395451184,1.8662604347780443,133.46153846153845,135.57692307692307
44,La Sarre Ã  Diedendorf,FR003295,0.7646013520230881,0.5769152417053487,0.6449583074161765,,0.874862179138891,0.9409253095794369,1.8349622379426132,1.8761158480197506,134.52,136.32
45,La Meurthe Ã  LunÃ©ville,FR003253,0.749850232587967,0.6512894124251375,0.6797474907093307,,1.4149041810573662,1.337237200196513,2.3023088777028162,1.845045236806606,140.89473684210526,138.6315789473684
46,La Meurthe Ã  DameleviÃ¨res,FR003262,0.8461430701163378,0.6343893699502714,0.6695361455941649,,1.2114182847345858,1.1409845653488437,2.3265395283367276,1.8852489607283958,135.24,136.16
47,BundespegelFremersdorf,DEBU1957,0.8804113154482367,0.6064127198456731,0.6255699769057992,0.8786078294708572,0.8558204789088875,0.8049599668092492,2.049170615368509,2.0473656245485996,134.1153846153846,133.57692307692307
48,BundespegelCochem,DEBU1959,0.8547865476327967,0.6098823777540179,0.6300490806324548,0.8761201112595605,0.995652213866705,0.9475402233477671,2.5260576243304294,2.1016712957301777,132.23076923076923,133.03846153846155
49,A9013050,FR000184,0.5132632066350811,0.7607683459067961,0.7827061570911954,,1.3461345641856322,1.0755040505087519,1.439657424216201,1.1906929830021953,152.48,151.6
