,gauge_name,basin,nse,bfi_obs,bfi_sim,nse_value_bfi,qmean_obs,qmean_sim,slope_obs,slope_sim,hfd_obs,hfd_sim
0,Schoenfels,LU000018,0.6498180801806434,0.5491332552226622,0.6461519795834318,,0.8958442072655957,0.755187059306448,2.305894875074405,1.9192652857483943,127.38461538461539,139.76923076923077
1,Hunnebuer,LU000010,0.7458526260686352,0.6187599923498417,0.6451997978900796,,0.9264638449166221,0.8403159985768026,1.430666764097312,2.007800197258359,130.6153846153846,138.53846153846155
2,Bigonville,LU000001,0.7932505187784188,0.5468503966298911,0.6409216508236213,,1.192096235012109,1.096591929940095,3.860265270934023,2.0764148462949246,121.61538461538461,136.92307692307693
3,Eisenschmitt,DERP2028,0.6845014422853906,0.5912286564625354,0.732909327967192,0.6352387133071158,1.076659242459983,1.0415537855121955,2.249832566632805,2.1134651640744613,131.46153846153845,147.34615384615384
4,A9001050,FR000183,0.4572332228720374,0.7263461280996635,0.6918552861245113,,1.3587597394179618,1.1603353761212662,2.2048638196473735,2.1202670227582368,147.25,143.125
5,Sinspelt,DERP2008,0.6803510941070405,0.4632010969159292,0.6458836043321995,0.5445197633393724,1.0472986121931485,1.0761804972766669,3.555971392328444,2.3878570177757243,120.88461538461539,137.65384615384616
6,A5242010,FR000137,0.744673972708266,0.5079481042588097,0.5356997637723032,,0.9956666274344927,1.0208977675985995,2.9663314793754534,2.7459419763854354,124.30434782608695,132.2173913043478
7,L'Isch Ã  Postroff,FR003294,0.620593775613231,0.5169186781536074,0.5169900043743568,,0.9148306708232089,0.8231104721539805,2.5154940473730383,2.673861587098193,129.0952380952381,133.8095238095238
8,A9021050,FR000185,0.3051387926916276,0.5417133374177967,0.7126756571414673,,0.7993524710435663,1.2455747303408131,3.2063018307440525,2.0644390253842753,145.27777777777777,150.22222222222223
9,A6872010,FR000154,0.7474799332564762,0.5431762661877202,0.5433962742547208,,0.8637251282104524,0.7581687735781139,1.9657436908760961,2.7249334085080195,130.75,133.0
10,La Nied Allemande Ã  Varize,FR003307,0.7902770481333274,0.48802860347278665,0.5438768536101201,,0.7842232990660046,0.7210393643627382,3.3929812296089343,2.654021128334309,122.36,131.44
11,La Vezouze Ã  ThiÃ©baumÃ©nil,FR003256,0.7496778426362604,0.5234492103005389,0.6191944756488207,,0.9943526845625006,0.929515447063288,2.3787419853905885,2.279617127299687,128.3125,137.875
12,GemuendOur,DERP2004,0.7494393076938924,0.5001961046867561,0.6409389594398089,0.5926043932870524,1.2123051432798406,1.3150323437598224,3.0978596160693375,2.3497999221961017,125.73076923076923,139.1153846153846
13,La Meurthe Ã  Azerailles et Ã  Baccarat,FR003252,0.6475519740292954,0.6693441995521313,0.6658417056103716,,1.683498334877289,1.7157124471853527,2.0874403893284983,2.243439285820904,149.33333333333334,142.5
14,La Sarre Ã  Sarreguemines et Ã  Sarreinsming,FR003302,0.7990309772033151,0.5461876410176256,0.5943037148828222,,0.8495899649369768,0.918319609120734,2.4046815359867963,2.3663227241981852,131.33333333333334,136.66666666666666
15,La Moselle Ã  Toul,FR003249,0.8687627328520222,0.5796744249010707,0.6144846946759471,,1.57132401475247,1.587114568177541,2.7292696550983586,2.450335969406175,128.30769230769232,133.1153846153846
16,A6232010,FR000144,-0.042382825589672546,0.6872353910753508,0.733604672074174,,1.444598096445125,1.2782239780138551,2.1998091011604126,2.0930640715335764,173.23809523809524,146.76190476190476
17,Diekirch,LU000006,0.8216898295749165,0.572308467363715,0.6433992695334397,,0.9586417313463302,0.8270397371021316,2.4141306296435143,2.004968030602016,127.46153846153847,138.6153846153846
18,EttelbrueckAlzette,LU000007,0.7941489962777342,0.5820376371289808,0.6104934943653612,,0.8377600275319108,0.7435893239383962,2.179298871547911,2.0592050551114953,135.30769230769232,137.46153846153845
19,Mersch,LU000014,0.7625454149997023,0.5910754818827649,0.6003906379020064,,0.806441904065329,0.7283979961839,1.7501577598896076,2.1114110700333306,134.30769230769232,137.15384615384616
20,Pruem,DERP2006,0.709875644972527,0.43962157636394383,0.62832766932454,0.6219218003943319,1.4772328390901432,1.3448417615265407,4.017057443002232,2.414699069351628,122.23076923076923,138.76923076923077
21,A4020610,FR000124,0.7540009042897463,0.4742586446981948,0.5505154225495112,,3.9161042905995633,3.3063271044742817,3.0970781483971495,2.5521072528030877,118.71428571428571,129.95238095238096
22,Schoenberg,BEWA0067,0.6853989092639576,0.44687806121952867,0.6429245408422936,,1.5219266002304095,1.3634669264587882,3.527883532917868,2.320980944851832,123.4375,142.25
24,A7642010,FR000169,0.7001565394959478,0.5816472690192767,0.5502437397535318,,0.7066709652720817,0.7346841900355672,1.8911673540319904,2.7295627201040773,132.52631578947367,134.89473684210526
25,Dreis,DERP2029,0.6802375560075862,0.5770721236525367,0.7242078740413753,0.34599791791100365,0.8128997419966302,0.9473078099452111,2.202408139605328,2.122450209165104,132.07692307692307,146.42307692307693
26,A6701210,FR000153,0.6227108337083802,0.6421192150887213,0.7063080306528142,,1.0716031926027136,1.3014424244711316,2.2348418963151917,2.15670149693203,133.83333333333334,138.55555555555554
27,A6051020,FR000142,0.8032408953569747,0.6181879444170277,0.6444722346505367,0.8052737435806673,1.701081378030953,1.681384248609861,2.1363079945665095,2.2049306902139105,134.65384615384616,136.76923076923077
28,Densborn,DERP2023,0.7727943831462308,0.5475464240473255,0.6427933897945676,0.7310377661995231,1.2046407986235061,1.1265915009649734,2.2375005419180587,2.337613044241656,128.80769230769232,140.84615384615384
29,A4200630,FR000128,0.8299371422026105,0.5262351104042112,0.589809972597936,,3.177223275885115,2.681641125385479,2.878325804251507,2.4497055766963194,127.44,131.92
30,Le Madon Ã  Pulligny,FR003246,0.7571369573943587,0.4707725058083362,0.5587367949576111,,0.9209072206799293,0.9065016349523471,2.979323882652053,2.6709424124502883,120.84,133.04
31,La Moselle Ã  Saint-Mard et Ã  Tonnoy et Ã  Velle-sur-Moselle,FR003241,0.8432519392803306,0.5720068735304338,0.6192761813952707,,1.9660347551444997,2.0187100920996297,2.6656768746543382,2.3494974223152747,127.5,130.77272727272728
32,La Moselle Ã  Custines,FR003265,0.883444848147957,0.6045800876045967,0.636401863240506,0.9009750768380538,1.3650431518522423,1.3244333475882777,2.506784709873493,2.3259113600763195,132.30769230769232,135.53846153846155
33,Heiderscheidergrund,LU000008,0.6681764792374101,0.5007259510922724,0.6455570350193494,,1.1407084448892786,1.0472444622457333,4.088001988594442,2.0700931686081008,119.61538461538461,137.46153846153845
34,Dasbourg,LU000005,0.7642405841854304,0.5131519601965012,0.6546114190284404,,1.216878753629151,1.1038200364210613,3.044633207499545,2.061214762348171,124.53846153846153,141.6153846153846
35,Reuland,BEWA0106,0.7034980441618062,0.4968046967832148,0.6519044754126339,,1.157128320430866,1.1176487544046934,4.0636305642567105,2.281824780226684,127.0,141.30434782608697
36,Le Woigot Ã  Briey,FR003280,0.35467448948983793,0.6641526137715094,0.49102551993231563,,1.2547971041714252,0.9929030237219567,3.012885676799598,2.7726124615857937,139.57692307692307,129.8846153846154
37,Hentern,DERP2017,0.8615555750423326,0.6040660981781378,0.6338950648557409,0.8729559070184009,1.323952539769067,1.18820259787248,2.6920265731938446,2.4278782330037925,133.5,136.1153846153846
38,DhronTalsperre,DERP2031,0.8375357262540601,0.589492155815281,0.6246091739154749,0.8173512740507747,1.1105974049514904,1.192753649339394,3.0308423381768783,2.4817714272911258,133.8846153846154,135.1153846153846
39,A4050620,FR000125,0.8258439720173792,0.5023047759426577,0.5656199240332896,,3.519459023368721,3.0498579638333094,2.7963068203600563,2.500394617648381,125.91304347826087,131.04347826086956
40,Kasel,DERP2018,0.8304481174028184,0.5762481641776137,0.6221741633894382,0.7772244027195812,1.024572454928391,1.171137606884054,2.8786026835903322,2.4633761558983194,132.46153846153845,135.23076923076923
41,Gerolstein,DERP2022,0.7770880843063906,0.560257812862486,0.6395490499541735,0.7454353608053486,1.3282642136993508,1.1786062769657473,2.16063169738943,2.3529545431877286,129.8846153846154,141.07692307692307
42,Platten,DERP2033,0.8179441667954614,0.513752790574686,0.6152783967149437,0.779245824604045,0.8456727379502524,0.8592999743465676,2.638083649959376,2.4300874182235854,127.96153846153847,138.19230769230768
43,La Mortagne Ã  GerbÃ©viller,FR003261,0.6518247997527848,0.6059598129957963,0.6851135891685377,0.352172295562445,0.9507015985441356,1.2120833800703612,2.220164395451184,2.200651724310273,133.46153846153845,139.96153846153845
44,La Sarre Ã  Diedendorf,FR003295,0.6920002931404018,0.5769152417053487,0.640417002077748,,0.874862179138891,1.0317407476039238,1.8349622379426132,2.238472955577159,134.52,138.84
45,La Meurthe Ã  LunÃ©ville,FR003253,0.7123540811412044,0.6512894124251375,0.6909985092109677,,1.4149041810573662,1.4544341610224139,2.3023088777028162,2.119569799767464,140.89473684210526,141.21052631578948
46,La Meurthe Ã  DameleviÃ¨res,FR003262,0.809813339463521,0.6343893699502714,0.6819913823747039,,1.2114182847345858,1.2526947858624442,2.3265395283367276,2.1760574435973776,135.24,138.64
47,BundespegelFremersdorf,DEBU1957,0.8517737144035246,0.6064127198456731,0.618647152886728,0.817467565379281,0.8558204789088875,0.8864102913129701,2.049170615368509,2.3301630029050164,134.1153846153846,136.30769230769232
48,BundespegelCochem,DEBU1959,0.8545034038585322,0.6098823777540179,0.6278365384835017,0.8787163608032736,0.995652213866705,1.0352447798470632,2.5260576243304294,2.3400476544162134,132.23076923076923,135.30769230769232
49,A9013050,FR000184,0.534800079822229,0.7607683459067961,0.7503396494840338,,1.3461345641856322,1.2071330102907074,1.439657424216201,2.125704125629838,152.48,145.64
