,q_mean,q_runoff_ratio,q_elas_Sankarasubramanian,slope_sawicz,baseflow_index,hfd_mean,hfd_std,q_5,q_95,hq_freq,hq_dur,lq_freq,lq_dur,zero_q_freq,p_mean,pet_mean,aridity,p_seasonality,frac_snow,hp_freq,hp_dur,hp_time,lp_freq,lp_dur,lp_time,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens,lit_dom,bedrk_dep,lit_fra_su,lit_fra_ss,lit_fra_sm,lit_fra_sc,lit_fra_mt,lit_fra_pi,lit_fra_py,lit_fra_vi,lit_fra_ev,lit_fra_ig,lit_fra_pa,lit_fra_pb,lit_fra_va,lit_fra_vb,perm_high_regi,perm_medium_regi,perm_low_regi,perm_high_cont2,perm_medium_cont2,perm_low_cont2,perm_high_glob2,perm_medium_glob2,perm_low_glob2,root_dep_mean,root_dep_max,root_dep_min,soil_tawc_mean,soil_fra_sand_mean,soil_fra_silt_mean,soil_fra_clay_mean,soil_fra_grav_mean,soil_bd_mean,soil_oc_mean,lai_mean,ndvi_mean,lulc_2006_urban,lulc_2006_NonIrriAgri,lulc_2006_Agric,lulc_2006_forest,lulc_2006_grass,lulc_2006_agriculture,dam_num,res_num,lakes_num,lakes_tot_area,lakes_tot_vol,sno_cov_mean,irri_1990,irri_2005,stations_num_p_mean,nse_r1comp,nse_c1comp,nse_g1comp,nse_nogeo
q_mean,1.0,0.9374188026210499,-0.23613314182609815,-0.031706651178136126,0.08015589276340336,0.03002831789242719,0.1730634869163481,0.528997969958411,0.9565802900202516,-0.3239423649210414,-0.28100704506911095,-0.040317941526561776,0.007921031093621283,,0.9379993489793274,-0.44976989078910884,-0.8596826660288452,-0.8164025699300786,0.5823822456043001,-0.315056457726492,0.7951591596216891,0.13437431401677258,-0.6503227531681472,-0.5657466757719922,-0.39989320968032716,0.5875680768511232,0.8515126968587321,0.6657718692149778,0.7816478358982648,-0.5557586090108682,0.7975651435173234,0.03935554215617621,-0.2543533475150813,-0.6118507303064732,-0.2588227154131787,-0.00618014259184935,0.021777694109191472,-0.19899118206513566,-0.4614916008583161,0.3290860092169954,,,,,,0.8180633137279851,0.7201670295044647,0.1004549160728907,0.6277056202778633,-0.02719722306951999,-0.5749087268018506,0.5661871870534549,-0.16076536735759936,-0.35651973540942633,0.4195679647331781,0.018611073501117424,-0.49667872206232894,0.8928775570978059,-0.24594950598287477,-0.02414191980595451,-0.046315424431740006,-0.6153113216912607,0.6975767340211415,-0.5095936372730195,-0.6232286985420313,0.13158090082573407,0.6753895858506863,0.05197233594682157,0.5474075039599051,0.47142559993015737,-0.13481145206381723,-0.5302856880514829,-0.13492093285557802,0.5773991521092419,0.2918659549375555,-0.5567987899054808,0.014498274722738487,0.017025661470206233,-0.06891902837702044,-0.08992657252188842,-0.07036039825456517,0.7364414055178637,-0.07448527202511693,-0.08167079027081323,-0.06762304951087827,0.03837196372361704,0.03712600247207077,0.025688818750795733,0.042662607530218825
q_runoff_ratio,0.9374188026210499,1.0,-0.28546481879198565,-0.041906850136123774,0.1468641475956201,0.07595867198315721,0.06175386663361784,0.5862862672048044,0.8652830267394638,-0.37873824450440197,-0.29349847528572787,-0.07990537348761435,-0.062264052178506786,,0.8013430609047694,-0.5427130723594658,-0.8173493215572928,-0.7204228105226088,0.6378464356616972,-0.34889947950222067,0.6490885053938751,0.1594558472037563,-0.6647005994029954,-0.5971884200918909,-0.44273126293893034,0.5698955072351513,0.8565817028581694,0.6407933571666874,0.7500018049946088,-0.6184541024495112,0.715498705157823,-0.014589077497236978,-0.26181687350312705,-0.49720738157261135,-0.25234501036912405,0.014603842720092275,0.08211661997379674,-0.25721226074901304,-0.4363593253932747,0.3357640002378264,,,,,,0.7634519238168624,0.5366529779097245,0.14834809854725278,0.48695678047956953,-0.03867151908584706,-0.6169694514336647,0.6137872431128936,-0.14730235687142273,-0.43861948466055445,0.4846844231677239,0.08100850289782552,-0.5084407118076363,0.8066675727097835,-0.37034448601072406,-0.04202302107257761,-0.0795283190910993,-0.5472900468454877,0.6524909603086774,-0.40987101556384054,-0.6381213961138039,0.1676188127989251,0.6549840153669427,0.10944526326006519,0.5362025913942265,0.4598316733271757,-0.1536465723715601,-0.5757570019388556,-0.049705203657787494,0.5643587383652616,0.24445508173235417,-0.5294973260501016,0.04538327462544733,0.0488007433352657,-0.05720114482357169,-0.08596809444552503,-0.054281764877015644,0.794553531353327,-0.05813345606821882,-0.05214477549022514,-0.039281815229096906,0.038103110363017535,0.03448858339897821,0.023723075185927832,0.04068275289617063
q_elas_Sankarasubramanian,-0.23613314182609815,-0.28546481879198565,1.0,0.06554714514232911,-0.09280008804630871,0.10432182786776166,0.31114208697780055,-0.22542070999912436,-0.21840646764015936,0.2460191592937929,0.2594051083078949,0.09580862770075435,0.15300861217581013,,-0.27572358459895313,0.3244726691114326,0.3828710386874625,0.42362652138844503,-0.3576506754656864,0.19221066074756676,-0.24003404842099044,-0.26462004175153286,0.39108146356192935,0.24390895668883603,0.12241484596469644,-0.05902800027619253,-0.3396368885028113,-0.27276790230363457,-0.17609981066967156,0.2645596326246049,-0.10778425019000698,-0.08866878051756596,-0.003200719100287133,0.13935489473315413,0.1469599643918775,0.001528191217207259,-0.25685442441967904,0.3430087044862238,0.10812293611034643,-0.07274429506689377,,,,,,-0.15767697489734087,-0.039087005308599466,0.1236075948251522,-0.06959677721056613,-0.02145015353122215,0.3943697929536777,-0.3622650854275371,-0.047729422759898124,0.3881541676113857,-0.3177940057197613,-0.2544936007712101,0.3129836028316413,-0.14200099043717035,0.2646435643794653,0.0887238036111684,-0.12637446899783872,0.09652534012460628,-0.1921672420728416,0.005510413157053776,0.28341817812772535,0.04039185093570212,-0.20834599813384858,0.019903386186135193,-0.1398471293885732,-0.11524778410429203,-0.1862189190137173,0.34859016804375115,-0.27113131924780987,-0.1139351503006607,0.24389714071023208,0.08701510062836376,0.03985203146878411,0.04045933913213713,0.10832372293999837,0.13485736320037237,0.09261432089186336,-0.3209032467071218,0.018614040814228933,-0.02335972946836825,-0.06455357563030324,-0.09700334441783512,-0.07096852243750915,0.01913957957531153,0.006118296613973823
slope_sawicz,-0.031706651178136126,-0.041906850136123774,0.06554714514232911,1.0,-0.7483197117432455,-0.6672645374551018,-0.15839896426647343,-0.691997901830851,0.18425603237960614,0.7297769630243408,0.6783390261622977,0.947721464629086,0.7932971742594072,,-0.023292876233732804,-0.25139326704434434,-0.05859249781052457,-0.13575744084294372,0.19738063070939313,-0.20441305584472325,-0.07925200055702702,0.17941636066516226,-0.2551990175607468,-0.14520980094723235,0.2004852422147314,-0.20628750114031358,0.012311350859138193,0.07166002586669971,-0.20828607740435967,0.1343449818216693,-0.21203306731363275,0.1550138159536135,-0.13267699783175796,0.13697517439224882,-0.023182041299502427,-0.09220026501404315,0.06755952197944187,-0.06787266974723342,0.07951251062134015,-0.0729523452548973,,,,,,-0.1326553908788952,0.017021672076797098,-0.17270601508247413,0.01527682093228248,-0.6573096950879032,-0.0401325082422517,0.46640209983206016,-0.5977858421672867,-0.12969504406121632,0.4891493077686359,0.055356293251817595,0.014568776181837245,-0.12305387918243882,-0.38653000124814463,-0.4494030293559936,0.17702979344641948,0.4607430825480291,-0.28247925231389953,0.4683059711324637,0.03591368114143468,0.058817814038920384,-0.22560573287187224,0.08495890748299949,-0.20769715391013827,-0.2806527290661717,-0.22320924027593345,0.04026507947350855,0.4000132471421358,-0.2663864798775863,-0.24446864399777413,0.3445013085375534,-0.06846085143312725,-0.06944358431156562,-0.07291627751714902,-0.07510094177334846,-0.07729264092996066,0.11586748879108631,0.0021098936184480092,0.04779279725708185,-0.07407870379124608,0.24265674201914414,0.2614897897047174,0.009071747114937906,0.22523281464999975
baseflow_index,0.08015589276340336,0.1468641475956201,-0.09280008804630871,-0.7483197117432455,1.0,0.8521102708282737,0.13624362148847913,0.7399280219561312,-0.17782019612390915,-0.8254402126396129,-0.48899024674605385,-0.7799439951887229,-0.6646505686180237,,0.06901199208447602,0.08729007485675874,-0.08246562920509576,0.0452172958072099,-0.10924473565346135,0.03423461169719392,0.04704287495112204,-0.007193471131351463,0.05892650870185454,-0.019604349308955285,-0.2734867625940295,0.3285824026954291,0.11212179996788588,-0.07242402734792502,0.3575388221639632,-0.32019597740558925,0.31179138953166813,-0.1211389634864707,0.12820468915825955,0.04380883499801488,-0.03777596668474337,0.12302773683476692,0.35577216773990006,-0.19068432136322946,-0.3286380109391701,0.1722429419819669,,,,,,0.14898063761522473,-0.09792777688602237,0.3346962358767687,-0.15240688062194147,0.7124123459532019,-0.2314601924110725,-0.24318690734100348,0.5558217923589776,-0.1236603525245201,-0.23609484166220912,0.3691213046440767,-0.40367336736239895,0.11230258458675743,0.06251350446577085,0.14192180063425866,-0.31577937806773443,-0.4361802066512037,0.4221548764285497,-0.42702787040188245,-0.2782756644677796,-0.025865069528003316,0.3849062672336206,0.09280604961443947,0.4089200843260423,0.4437992448535275,0.03929327164107611,-0.17343564969127437,-0.4765304180573453,0.4734081779811423,0.35041961969761454,-0.5173885168175585,0.16352945497144084,0.1654580119337385,0.14454498282138992,0.13832244485660886,0.16965049267684232,0.03984880842176201,0.08022191858082049,0.02447053509032327,0.12759635878665948,-0.3338822812507238,-0.33018054316544326,-0.26485064669111574,-0.36600991084776374
hfd_mean,0.03002831789242719,0.07595867198315721,0.10432182786776166,-0.6672645374551018,0.8521102708282737,1.0,0.3670126834078491,0.6654533879740275,-0.20759656915041177,-0.6418617767946417,-0.4700644020541064,-0.6674121717708624,-0.5644106900472475,,0.00750942708536546,0.16886207157427394,0.006929065706535955,0.19845181199887663,-0.18114937250731553,0.08382066303986996,-0.03371567313355825,-0.09357040494368377,0.1817054048784646,0.026464547198628882,-0.21742319818569392,0.28439355482112455,0.05654460245824269,-0.058466453125837696,0.38716294417001623,-0.24399768938219074,0.39782802315360233,-0.09751474702275803,0.04698445360619474,0.044595216723492315,-0.09389484698544577,0.06322514555654679,0.22982346473804532,-0.16480184568131181,-0.20362979482619686,0.08725257561021778,,,,,,0.14568168170419477,-0.09923581897359261,0.5223732495915487,-0.15637862202478583,0.7087601390430033,-0.09663980216882875,-0.3694292491195856,0.531595736879189,0.006659590587109225,-0.3376744573207416,0.23704841334671578,-0.28711381868895225,0.12404318444902192,0.13088996631651065,0.18874486603898658,-0.29289999899608365,-0.4129637969579495,0.39491256804948627,-0.4527714530533268,-0.2184954636927838,-0.13808637584103656,0.3652417837445354,0.10611802668070623,0.4015247727190089,0.45654296562644914,-0.0320589985106922,-0.07657585229512519,-0.6285585225090125,0.4959974442216797,0.4843681788736298,-0.5526759921828998,0.04456630613814059,0.044387459242734184,0.05679341689824038,0.0677846342153813,0.08117035277255893,-0.002485181378715888,-0.02266471995992555,-0.0815824009672427,-0.015780579000720454,-0.5464485716494145,-0.5465718127487433,-0.4170252409305007,-0.5765135963638761
hfd_std,0.1730634869163481,0.06175386663361784,0.31114208697780055,-0.15839896426647343,0.13624362148847913,0.3670126834078491,1.0,0.2143509972086882,0.11220424239975925,-0.10039749493216578,-0.0997504629267499,-0.15963922072875644,-0.03771689351765886,,0.23598810107864548,0.3577460069427223,-0.060255000395185596,0.0653192756088148,-0.2662548500688539,-0.02852120024534902,0.19890362181019966,-0.31112736988264916,0.09669356780445328,-0.03553723474391229,-0.11739063168450188,0.24395420058242698,0.03603036256088497,0.06817216575322915,0.2019068744567357,0.13416441647563665,0.3591823359131565,0.0022094265732021555,-0.008129788752417396,-0.18467209647889388,-0.06083768518158087,0.1464034086050118,-0.1135622283214098,0.18372043556451403,-0.20253184926179674,0.004772591130685026,,,,,,0.29906785891028453,0.1768791192578141,0.33409537135436973,0.06478140917173701,0.23427695016897462,0.14524005591206865,-0.29114946625597515,0.09865837010691327,0.29497632027152376,-0.32570234668899567,-0.09387456552905259,-0.07725103729716946,0.3065492682419946,0.335427755630955,0.057447917787798376,0.04027168930696202,-0.3448131758015285,0.27919142120486945,-0.5288857211330383,0.02011993982892118,-0.22913214094969256,0.21018927207688065,-0.00962186084208337,0.2965993990840979,0.390039362498405,-0.23070525357726046,0.10227842203040746,-0.5521425018617819,0.3087594075009607,0.4662346315442758,-0.34091205704808925,-0.04313365186435011,-0.04384375002450089,-0.0037556580951207904,0.02584851125996357,0.02616080869126322,-0.07325843952696517,-0.10251976043131282,-0.1519146439783825,-0.17612135886552865,-0.40764537544259477,-0.39848717233091285,-0.23810531302402768,-0.20936853711395995
q_5,0.528997969958411,0.5862862672048044,-0.22542070999912436,-0.691997901830851,0.7399280219561312,0.6654533879740275,0.2143509972086882,1.0,0.2866427691566785,-0.7348724762756805,-0.5959545179600737,-0.7213489321782899,-0.6108480888775104,,0.46398345775746946,-0.11174167011497597,-0.4405186737662728,-0.3061683574510378,0.19143306372252147,-0.10822988134925615,0.4215180167000677,0.012806293391082723,-0.2174791205687482,-0.24278466613948518,-0.4988300978742274,0.5012670881581057,0.5005799708183706,0.30535523113211155,0.6319357451521943,-0.45543366074742464,0.6242712755775239,-0.10648104286814782,-0.044687986891924415,-0.3286655587012813,-0.16785955000948072,0.1271895210747157,0.12229399000131332,-0.21188669900235801,-0.36455516228727547,0.2645449822007619,,,,,,0.5705276465257929,0.2032305100305743,0.39192267542769615,0.1371417052563331,0.5633386038674622,-0.3994504617896604,0.014172634429082497,0.4114450102014626,-0.20693208765346027,-0.0714373664916943,0.13638462152995975,-0.42805375011081553,0.5609848242106483,-0.000552422522813125,0.20709508177825375,-0.20527983266072172,-0.6995818113829145,0.7023783117161918,-0.6550481820842862,-0.5100229655585311,-0.11403449744360342,0.671901863005485,0.007300121214265632,0.5643753486743263,0.5767840998768434,0.022739378863669567,-0.39221166087107173,-0.43387057884235225,0.6360685542868764,0.391253510318109,-0.6708639410023649,0.07387142397564274,0.07666038748189649,0.0016699954303915283,-0.004212138073343196,0.052735687430067395,0.3933184810290332,-0.05245915305012933,-0.09698618999589152,0.011462913430496567,-0.29719362551072126,-0.32787159166303753,-0.14728030084887686,-0.29299305867185094
q_95,0.9565802900202516,0.8652830267394638,-0.21840646764015936,0.18425603237960614,-0.17782019612390915,-0.20759656915041177,0.11220424239975925,0.2866427691566785,1.0,-0.08280637374819545,-0.09971471515185126,0.18314759370653572,0.19456869367748003,,0.900611850957604,-0.46424149641074575,-0.8142194338341516,-0.818987576532343,0.59080566772569,-0.309628458773429,0.7496329367859499,0.13072327907013115,-0.6529189042388948,-0.5446732689834628,-0.2706546182104334,0.480291689149649,0.7915099587710048,0.6576624082612575,0.6740846839471623,-0.467598540359456,0.7017928473701167,0.09486827738428778,-0.26914781027859497,-0.5770923363316377,-0.23533505988314743,-0.038823280741476736,-0.028773655640988095,-0.14116945085142119,-0.3895076076168022,0.24001353188346627,,,,,,0.7297825945409602,0.7760901393457593,-0.013262713137491028,0.6944005740910688,-0.21826780627734388,-0.5100202704203404,0.628729367528802,-0.3028393891178642,-0.324768085990871,0.47978841767557595,-0.03547622401037723,-0.41131339024425734,0.8275929586881519,-0.2795680783366423,-0.10289411841621764,0.030619519934963514,-0.4685382809997883,0.5489993299743618,-0.36005024293506704,-0.5249380313759172,0.17675138822340916,0.537391189147511,0.030811433482501236,0.4203367894335617,0.3298995514934372,-0.1408251519067999,-0.4703626768519024,-0.0017457905585820128,0.4343673778880621,0.1909878426061804,-0.4024387550703062,-0.013278180073468298,-0.011206637693494982,-0.08689938461474238,-0.10379286094076262,-0.08990734163640643,0.6983344478569484,-0.07383180544461825,-0.06831202940617014,-0.07679997696817607,0.14724299362839097,0.1531455338476377,0.08736306406979982,0.14494610968989102
hq_freq,-0.3239423649210414,-0.37873824450440197,0.2460191592937929,0.7297769630243408,-0.8254402126396129,-0.6418617767946417,-0.10039749493216578,-0.7348724762756805,-0.08280637374819545,1.0,0.7041214060460825,0.7964212014886902,0.6999631768200997,,-0.31241380507984473,0.10986124581432552,0.3441087882014048,0.214011249262344,-0.1494232951210877,0.15243640704286904,-0.29003221015477004,-0.1307836032110137,0.20614633138184402,0.2442936479032841,0.41094820895317674,-0.5085946040736928,-0.3400553011790478,-0.07173740502713112,-0.4440814443000842,0.4334378115369802,-0.3709197637323933,0.1747826990149305,-0.0581645899441153,0.16849010099619874,0.028989337924312165,-0.16313534988027317,-0.2100643234334068,0.211572509010264,0.32936565274330154,-0.3294433522437168,,,,,,-0.3185711143092672,-0.08627681693855718,-0.24873195698339248,-0.03434576241947615,-0.5378751486375248,0.35257340529574616,0.013964216564280853,-0.3711747208536853,0.24018569892406613,0.016532077046858114,-0.2280457958462502,0.3756543973887358,-0.304560112685553,-0.034561188010953946,-0.2635436112240254,0.2760746967234314,0.4702698762505416,-0.4817811241159891,0.4270956130861631,0.367032919855509,-0.03737772942350325,-0.42860483353702805,-0.17454726472188953,-0.44715204354402766,-0.45492191619637684,-0.10208150588732509,0.3339349040567801,0.2819634387887342,-0.4765301176419459,-0.20266916065083254,0.5033830678308904,-0.23532804308266098,-0.23916423536033582,-0.19223452453747175,-0.1669807332038957,-0.18463526211018502,-0.24374797208952445,-0.12880718580768652,-0.09829847708677995,-0.18342773500027396,0.07299331008721867,0.08910505218716164,-0.007411954894774425,0.07254048529136473
