,q_mean,q_runoff_ratio,q_elas_Sankarasubramanian,slope_sawicz,baseflow_index,hfd_mean,hfd_std,q_5,q_95,hq_freq,hq_dur,lq_freq,lq_dur,zero_q_freq,p_mean,pet_mean,aridity,p_seasonality,frac_snow,hp_freq,hp_dur,hp_time,lp_freq,lp_dur,lp_time,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens,lit_dom,bedrk_dep,lit_fra_su,lit_fra_ss,lit_fra_sm,lit_fra_sc,lit_fra_mt,lit_fra_pi,lit_fra_py,lit_fra_vi,lit_fra_ev,lit_fra_ig,lit_fra_pa,lit_fra_pb,lit_fra_va,lit_fra_vb,perm_high_regi,perm_medium_regi,perm_low_regi,perm_high_cont2,perm_medium_cont2,perm_low_cont2,perm_high_glob2,perm_medium_glob2,perm_low_glob2,root_dep_mean,root_dep_max,root_dep_min,soil_tawc_mean,soil_fra_sand_mean,soil_fra_silt_mean,soil_fra_clay_mean,soil_fra_grav_mean,soil_bd_mean,soil_oc_mean,lai_mean,ndvi_mean,lulc_2006_urban,lulc_2006_NonIrriAgri,lulc_2006_Agric,lulc_2006_forest,lulc_2006_grass,lulc_2006_agriculture,dam_num,res_num,lakes_num,lakes_tot_area,lakes_tot_vol,sno_cov_mean,irri_1990,irri_2005,stations_num_p_mean,nse_r1comp,nse_c1comp,nse_g1comp,nse_nogeo
q_mean,1.0,0.9533183754939256,-0.3454724737803682,-0.010637005633651348,0.24259999881929206,0.05192946187510508,0.02183119054933785,0.47088302487232975,0.8815409020840087,-0.4588479915470747,-0.2451114424845578,-0.08136183625709625,-0.01391282712089867,,0.8621912587828987,-0.6426186097117267,-0.8938994443442039,-0.6446120386234685,0.7639672047117296,-0.6116079828717668,0.41658411081474345,0.2598074561207773,-0.8321162494657082,-0.8160119852991731,-0.30922766738951507,0.6698872632118699,0.8338418375703109,0.5495680672992687,0.6681663801831217,-0.6582844677252118,0.5687337893313246,-0.04447133431758597,-0.2028649654800863,-0.08664899887594263,-0.362779774546176,0.04802528672327373,0.3542796889119827,-0.21117960595302032,-0.46355497103236876,0.536123035446979,,,,,,0.602510757708645,0.4862941759742007,0.1061883858134866,0.4042989881786562,0.11986388208713504,-0.7376627211145751,0.6909258977545764,-0.0704462557652629,-0.5328641791990502,0.5667367275409854,0.3413033532537853,-0.593073186575402,0.5868720573392616,-0.47978468760473075,-0.13325676727492095,-0.05702740422358613,-0.3593055174882378,0.670420307924016,-0.22862437156772472,-0.6967593806789543,0.1455444460057754,0.6354229476862701,0.3266389587112807,0.691265011491352,0.6318318291599518,-0.09061194428879059,-0.7216787067322623,0.06710969790032484,0.5899738951260325,0.09427861920175933,-0.46205603830791797,0.3234708528567035,0.3234708528567035,-0.12991064120618648,-0.14419226139990232,-0.11948158006511513,0.7966117036192913,-0.13155165553247591,-0.11234258815764783,0.14069431624834547,0.3165157827521416,0.26138775166237643,0.12659011718746294,0.22827187227621493
q_runoff_ratio,0.9533183754939256,1.0,-0.3125988453850623,0.028083906366448114,0.18722801176129147,-0.014486056999564779,-0.06749044905288845,0.4485190610711528,0.859036041749265,-0.40532378098617816,-0.1889141889144163,-0.05633642199553357,0.001663971138194233,,0.7019535828309917,-0.6647063033121258,-0.7779540349997699,-0.5747451190769055,0.7321336846401544,-0.514587595875889,0.34811956037675507,0.27433675070788965,-0.7386066455321271,-0.7157645019165275,-0.35415909272452073,0.5866488962926849,0.7948162814436761,0.4886566903457369,0.6323585457437438,-0.6396873187440169,0.511783886591576,-0.07993759167815308,-0.19644164659900906,-0.09203149817472815,-0.29459962224546343,0.016381735321232563,0.2735911195958124,-0.23526928334150063,-0.4122314476441707,0.5386515621013473,,,,,,0.5507156837916004,0.4445066840337792,0.059781960515380504,0.4339902455056613,0.027061888018670672,-0.6894719971823948,0.7055886297137867,-0.11202720088099793,-0.5210198340117742,0.5640452077883676,0.2563086003752373,-0.5185202047910896,0.5665432959296665,-0.512522359405058,-0.08737467533882684,-0.05875889292132908,-0.2977671647886027,0.60406856724106,-0.13627626820938604,-0.6795823293889873,0.2004563513971343,0.6052534438624172,0.31820964214718583,0.5644396354694571,0.48928522353401743,-0.05990613400045521,-0.6737224728746392,0.08442723110634213,0.5203292698612322,-0.00730430284785254,-0.3930403717218112,0.3098300271570587,0.3098300271570587,-0.1307239997062914,-0.14208559263278892,-0.11765319311719875,0.7776687447606772,-0.16825583765848376,-0.11446299096275013,0.2068026239285524,0.34742636135288596,0.29131624658644445,0.17085027389533836,0.2568756209169163
q_elas_Sankarasubramanian,-0.3454724737803682,-0.3125988453850623,1.0,0.09498903203245165,-0.10578203357662815,0.18449633451828307,0.2773768524069459,-0.2787195275782644,-0.30114894895403266,0.2315999066465002,0.27859630070191715,0.10996410383599865,0.09138645117302995,,-0.40019149515694824,0.35040135370786674,0.43134588228959986,0.5710392834067508,-0.4441622490343878,0.17488740107896528,-0.3412028997422235,-0.37180032349689657,0.4007335778638329,0.2808227661462599,0.12353013269018244,-0.09356913355511812,-0.3937713016191548,-0.2932756317046434,-0.2380496448941218,0.27229423002126474,-0.1845316210418489,-0.03627225640932291,0.024534368264810858,0.07404376486620559,0.1271379608656857,0.01757050178115144,-0.2660277071734758,0.25764197552530477,0.16350424868164024,-0.08878518077854024,,,,,,-0.11770517022874502,0.0032762630866215474,0.24970331168746232,-0.03804115649430058,-0.05673016774467797,0.43813252924035506,-0.3608008442137406,0.044206255454118805,0.3939229920916076,-0.32129980756641097,-0.2739162270195844,0.37118180190574185,-0.06352673888658794,0.24708294927652913,-0.062155236324015616,-0.12062340440151924,0.10071075826134071,-0.3746460155125691,0.004096574359069414,0.3586154498545546,0.0673578461525059,-0.3547096215516549,0.10570691589349254,-0.22031564959280353,-0.2016178995441418,-0.16225372782454037,0.3972873349261437,-0.22957133591376422,-0.1980907376564632,0.16539385348222505,0.16912780450818282,0.0035581781262145483,0.0035581781262145483,0.2923453198658385,0.3056490730306763,0.251955239387266,-0.3601358544943681,0.04200293584801738,0.12612775294273543,-0.24511080325920068,-0.10877833960896413,-0.06877957810535265,0.09449749085490586,-0.045838761694563926
slope_sawicz,-0.010637005633651348,0.028083906366448114,0.09498903203245165,1.0,-0.7296896895467614,-0.6956578693703801,-0.13505357700356418,-0.7654401856363243,0.33741958687385265,0.6877814906466431,0.7471675284747834,0.9353870556904864,0.764876177663822,,0.034409498519785274,-0.13892494870351718,-0.07723197699638543,-0.1753741576602411,0.09334768554654055,-0.17113568051593395,-0.06228717603706304,0.1529392796965518,-0.21898675990449407,-0.1040006859688244,0.1570730902246654,-0.13422719927896362,0.028723586686515857,-0.011922965164879876,-0.1783295979924673,0.060796021560965356,-0.25646876132482593,0.15168426969466628,-0.09861377248210161,0.11266622705053703,0.14472480781568395,-0.10485797630684551,-0.06592343885729604,-0.1043519627939758,-0.004278793109889797,0.006689313999710311,,,,,,-0.1324368210722114,-0.05917296693692709,-0.2012210575427932,-0.14508096278927032,-0.7466244361354668,-0.020281919469903473,0.3538125618086361,-0.6690892482145109,-0.16906360642772172,0.4299264674687996,-0.05452356992118885,0.04490428748835774,-0.23986171090678332,-0.21533368265612346,-0.3337089085537797,0.3118491507874039,0.48553725578984697,-0.22788331460744918,0.46687498811256917,-0.010705873106500795,0.1317429733065595,-0.16678656269395964,0.09530795979612251,-0.17902167228375254,-0.24503043289815782,-0.18051893278344314,-0.018100514522574752,0.29354039667452936,-0.22624800829012862,-0.24210573828392615,0.36809563165056614,-0.02540277916352803,-0.02540277916352803,0.04633654193711475,0.04725618429947425,0.03408461655412731,0.05999828515151598,0.21402214867217073,0.22190944147427444,0.03486472312569323,0.32451936819108884,0.34984661701566677,0.002834251090958032,0.09680753768326066
baseflow_index,0.24259999881929206,0.18722801176129147,-0.10578203357662815,-0.7296896895467614,1.0,0.8288439156905242,0.17281624658508934,0.7599220624228966,-0.14314534887010819,-0.9110778198094713,-0.5674437117386639,-0.7981877295776415,-0.6887378096587269,,0.18320467063834275,-0.024192069214473158,-0.14607887050062768,-0.040775440950658944,0.03913643169485802,-0.04065693260531241,0.16581709295112182,0.09091819296839661,0.002198472268133593,-0.061427390726087425,-0.28373060142629936,0.38383857043826614,0.1525342991197113,-0.07789194894866272,0.36725506758268567,-0.23152684767496418,0.47253239434355543,-0.17817209070280982,0.1077193308235636,0.09191499136061224,-0.1487513935358107,0.20223765778464317,0.37612741827733537,-0.08485785634685766,-0.27502129955824356,0.21557041444912906,,,,,,0.3331616539000501,0.24445003707506066,0.344214748739014,0.22123305905636678,0.6952090837119671,-0.199685885182993,-0.08624780096436603,0.513592018443216,-0.03891534103040151,-0.13824157400962722,0.36751856923150034,-0.367381293296276,0.3723412509869282,-0.031640926508696515,0.21232116722664032,-0.4774874992612225,-0.4704461336036334,0.42104135002172655,-0.44153010768924306,-0.20360662105418798,-0.1109282370058684,0.348504483784899,0.1386207950130322,0.3436338635041326,0.3684111487220712,0.10176615008298101,-0.10342414224111879,-0.4301932275287215,0.4270041090595962,0.2520110288994504,-0.49310565854614186,0.24383016872207822,0.24383016872207822,0.08841164126844164,0.08452835122685126,0.09488189838851101,0.104919040402411,-0.12679236068663108,-0.19531170191783648,0.07920305121612466,-0.12992092254503082,-0.15626429150605528,-0.005849847573985181,0.1123142151888018
hfd_mean,0.05192946187510508,-0.014486056999564779,0.18449633451828307,-0.6956578693703801,0.8288439156905242,1.0,0.426779019973039,0.6000681202206657,-0.27212253433238226,-0.717233593575093,-0.5341751892270391,-0.7203574547957399,-0.6497960283849699,,0.04714451077172086,0.13305735162532661,0.028043014859989578,0.22838447678139898,-0.1443736396313465,0.07176729221359361,0.010685350896667728,-0.1389690150988145,0.1897376293297444,0.024965702533661843,-0.1550534503708266,0.3076129287559474,-0.00731183922529922,-0.09181998975887332,0.27363015819332837,-0.14018758365764317,0.4143454951222493,-0.07790076466135358,0.02280194886253302,0.016055030202983957,-0.2438079814105634,0.11453878703403553,0.22984939804501273,-0.053331479772374735,-0.12222886888546564,0.09129216207517006,,,,,,0.22609965228647377,0.17942642415576004,0.4412906331807881,0.15300785691900903,0.6430589284189618,-0.0007282718670179615,-0.3081392273013722,0.4868426615639866,0.15760309491761915,-0.3535375218521616,0.22176121798289775,-0.21107132800871045,0.32350302123936603,0.10150930184628784,0.10040060601341115,-0.503480440944087,-0.4373161231062733,0.24670193180291328,-0.4717065165887334,-0.045269204936813176,-0.12672138253633303,0.16474875959734067,0.14459002103436044,0.30092739921005673,0.35353304705118344,0.009162509795992424,0.03080378999658293,-0.57943088336602,0.38153444568337436,0.40887206714339025,-0.48930606101578317,0.07230244033926767,0.07230244033926767,0.07326672201483335,0.0665570401671579,0.05684044113658187,-0.04651495123445725,-0.1509494452671184,-0.18448740427581212,-0.151854948920423,-0.32013470932552746,-0.33031412328283327,-0.08344070860558074,-0.08170206279630764
hfd_std,0.02183119054933785,-0.06749044905288845,0.2773768524069459,-0.13505357700356418,0.17281624658508934,0.426779019973039,1.0,0.15003489362041522,-0.033058166176827844,-0.14203579237185196,-0.14049720625151835,-0.1147421592948061,-0.07036113602081703,,0.14468701325454678,0.39079731626449715,0.00946517250327829,0.19212794384833048,-0.2854463978903996,-0.014071457666199093,0.14348729561575688,-0.396411926081497,0.09779357125275287,-0.032696924669157586,0.022519423637170594,0.21403037882417794,-0.09870744783495142,0.05124504304969699,0.015919364749705858,0.11043999752301925,0.17553177553894217,0.05985532228023709,-0.029909390185096866,-0.12641130923558247,-0.24248609647364355,0.10175094118571724,-0.08839179670823455,0.268172527302151,-0.20819331510615716,-0.1573946513012318,,,,,,0.3099182104133456,0.2614763470862799,0.25370183427550724,0.09813378520456159,0.1871791668583659,0.1393196020488426,-0.31608902148019763,0.10350046483591238,0.352124234059931,-0.29988048285793634,-0.0678062449656839,-0.08128083597217535,0.2963652064464087,0.3340661120498364,-0.07454116551031237,-0.12959457509794903,-0.35749262354592,0.1483898472615774,-0.6008235941398479,0.08188326751868454,-0.23851895604788195,0.038938580376174425,0.02067579186596961,0.2642676322124113,0.3608506780380126,-0.17715376779505787,0.10440677869295303,-0.5532639590240992,0.24906871959199078,0.5965754037394919,-0.3209658365602407,-0.017265457145536827,-0.017265457145536827,0.22056185718184257,0.2190220465487285,0.17554894248140654,-0.16111369130599565,0.0561160736381559,-0.11699014183374828,-0.4940780395109619,-0.28803883134502833,-0.26099217133118535,-0.13352323473899833,-0.16443302283865086
q_5,0.47088302487232975,0.4485190610711528,-0.2787195275782644,-0.7654401856363243,0.7599220624228966,0.6000681202206657,0.15003489362041522,1.0,0.12209389576257469,-0.8417359581413828,-0.7738067740219035,-0.8290131542583453,-0.705150535423171,,0.35764491803921067,-0.13408223115293222,-0.32988200213926144,-0.22107351963581154,0.2368531910733991,-0.0759837080930627,0.36127671458356425,0.09296068050705782,-0.1711980794095786,-0.22987859635101723,-0.35726508488632425,0.4597711505454856,0.35025366234404215,0.18915893384670002,0.46368099045034217,-0.34049860811193994,0.5384303923014279,-0.125389460186312,0.015633191658393074,-0.21611340065312606,-0.24972013017093836,0.15570143641987244,0.18613393787424132,-0.007549914762180391,-0.25293238366936927,0.253285252629575,,,,,,0.5172058946701487,0.40758045108395063,0.23013223543887576,0.4252535653179978,0.6718823777284191,-0.3229144939607432,0.024616387832792425,0.5191913089758708,-0.07683617455926628,-0.08581730365786143,0.17734732604460843,-0.3599769979423125,0.5609450166629558,0.005649690603980376,0.2557579225212978,-0.3952909407835671,-0.618317629777425,0.5361486250014864,-0.5676741698679011,-0.32466672568409355,-0.08741714290158242,0.47537863604525593,0.000445401409335721,0.44119287256846573,0.47362378171109737,0.18347203599508133,-0.28418493192562105,-0.3381543782769489,0.500834851799798,0.28378303122662074,-0.5836435657665533,0.2842713260514309,0.2842713260514309,-0.015976247267509586,-0.001770549631556049,0.03223823967815443,0.2892570646714679,-0.20745119420872218,-0.26813044165684247,0.1267629102082248,-0.05271406459530745,-0.09718709071692233,0.1566988211515126,0.11712754565962583
q_95,0.8815409020840087,0.859036041749265,-0.30114894895403266,0.33741958687385265,-0.14314534887010819,-0.27212253433238226,-0.033058166176827844,0.12209389576257469,1.0,-0.07062729537519113,0.0727565461361482,0.2996431153936961,0.3193982966944676,,0.7948544509347942,-0.6073424275801199,-0.8341594124643036,-0.6590966526190254,0.7204501299859638,-0.6183057566258098,0.3743780926115269,0.22909380018189981,-0.8432349522798256,-0.7758279031200986,-0.27975897525050636,0.5421106153485582,0.7553391907458779,0.5429173662978494,0.499164018996537,-0.5300548270162385,0.38005368366757236,0.05122800017036329,-0.21255848066618946,-0.1146891653349552,-0.26691119562339666,0.043488002514155306,0.2189750609886795,-0.15520954915693555,-0.4256819553001445,0.4786633709350253,,,,,,0.5291936331830664,0.4049310107627113,0.01939523308782496,0.32011584639400087,-0.20359500480347548,-0.6505091460567354,0.7581717235252389,-0.3421926872805032,-0.47972170119661267,0.6532860277347979,0.21633375490954837,-0.47724523161875815,0.48519822933873175,-0.46613300053826107,-0.2544391315493492,0.0998940680862189,-0.17204630339245394,0.49760519402713854,-0.06889800817897584,-0.6078534580080311,0.1817913334254262,0.48163358024844555,0.27038819806198205,0.5340858042327707,0.4699434071834558,-0.0969329689493863,-0.6464767234594733,0.22016563367426342,0.39920257636781553,0.022263288631718923,-0.2512003887001424,0.26028166299772154,0.26028166299772154,-0.07315221942555965,-0.08085514152564097,-0.06211670605748418,0.7311540614265792,-0.02614471046304024,-0.020032033218193645,0.10888406709108292,0.3922384945720123,0.3540216306602367,0.13449497102692082,0.21667337514083754
hq_freq,-0.4588479915470747,-0.40532378098617816,0.2315999066465002,0.6877814906466431,-0.9110778198094713,-0.717233593575093,-0.14203579237185196,-0.8417359581413828,-0.07062729537519113,1.0,0.6669127769335931,0.7619084644138807,0.6728212358554626,,-0.3767678596780717,0.14953052916713966,0.3459194246819642,0.22561182029798188,-0.21794635296181294,0.16028314405967065,-0.33824711796940465,-0.18170115335348597,0.18977573690743665,0.24735861826306532,0.3902701120736831,-0.5254062589559365,-0.34871518838207166,-0.0644540507069576,-0.49723959548998964,0.37156616634831113,-0.5733672805928611,0.1710363035399222,-0.03645452639464527,0.04374398985493043,0.18761239005617286,-0.14379849753057253,-0.34348982105755477,0.08735158021489124,0.3569018025952799,-0.3795964265683635,,,,,,-0.5167169123591515,-0.4126013304505736,-0.2736521839822508,-0.3609983873436541,-0.6547552427498248,0.3412347680120323,-0.07861654088949015,-0.4367989575368973,0.14754301756037538,-0.015206147135924388,-0.3367775490564387,0.44026661809118367,-0.5114689853188021,0.04859204073833798,-0.2056305279625436,0.42185025242891305,0.5323027995277719,-0.5454012818360326,0.4766414126391634,0.3289335168839582,0.07751044380826264,-0.45267320463129695,-0.18111860297749788,-0.4401768644176963,-0.4540837759626522,-0.1387717617307745,0.24533376035353108,0.37543081636831016,-0.5128950204351002,-0.24961347942778864,0.5781157708275866,-0.2888803585136271,-0.2888803585136271,-0.011467683234434235,0.002934219061393048,-0.010338694411457017,-0.2794374382249837,0.13859244380763797,0.1934800088025724,-0.14303741083193455,-0.0026008235941455205,0.0365067985815591,-0.09240545220298343,-0.17371691511885162
